	V1	error	rep	config	gwas_size	test_size	L	type
1	1	0.77510030490645	A1	C1	1000	100	300	FGr
2	2	0.546359332057809	A1	C1	1000	100	1000	FGr
3	3	0.0845373185874542	A1	C1	1000	100	10000	FGr
4	4	0.589495479819523	A1	C1	1000	1000	300	FGr
5	5	0.352944665642503	A1	C1	1000	1000	1000	FGr
6	6	0.0514561038687248	A1	C1	1000	1000	10000	FGr
7	7	0.581795996966543	A1	C1	1000	10000	300	FGr
8	8	0.321893154823324	A1	C1	1000	10000	1000	FGr
9	9	0.045785190547709	A1	C1	1000	10000	10000	FGr
10	10	0.866105318218004	A1	C1	10000	100	300	FGr
11	11	0.505541376165391	A1	C1	10000	100	1000	FGr
12	12	0.0881510250777439	A1	C1	10000	100	10000	FGr
13	13	0.555616731501959	A1	C1	10000	1000	300	FGr
14	14	0.384718885607855	A1	C1	10000	1000	1000	FGr
15	15	0.0466195241240962	A1	C1	10000	1000	10000	FGr
16	16	0.64219648436496	A1	C1	10000	10000	300	FGr
17	17	0.329759757690791	A1	C1	10000	10000	1000	FGr
18	18	0.0472895694991677	A1	C1	10000	10000	10000	FGr
19	19	0.977807618535738	A1	C2	1000	100	300	FGr
20	20	0.997933560778499	A1	C2	1000	100	1000	FGr
21	21	0.998823089953892	A1	C2	1000	100	10000	FGr
22	22	0.999838464741703	A1	C2	1000	1000	300	FGr
23	23	0.99997095247408	A1	C2	1000	1000	1000	FGr
24	24	0.999443758033727	A1	C2	1000	1000	10000	FGr
25	25	0.994359507509241	A1	C2	1000	10000	300	FGr
26	26	0.99985378058936	A1	C2	1000	10000	1000	FGr
27	27	0.999999050882989	A1	C2	1000	10000	10000	FGr
28	28	0.999504044384902	A1	C2	10000	100	300	FGr
29	29	0.999888687831134	A1	C2	10000	100	1000	FGr
30	30	0.999045596799237	A1	C2	10000	100	10000	FGr
31	31	0.999727865997899	A1	C2	10000	1000	300	FGr
32	32	0.998176992869944	A1	C2	10000	1000	1000	FGr
33	33	0.99847099932579	A1	C2	10000	1000	10000	FGr
34	34	0.980985743421014	A1	C2	10000	10000	300	FGr
35	35	0.993945642094521	A1	C2	10000	10000	1000	FGr
36	36	0.993403684523952	A1	C2	10000	10000	10000	FGr
37	37	0.318786248379077	A1	C1	1000	100	300	PC1
38	38	0.114466951023938	A1	C1	1000	100	1000	PC1
39	39	0.0130714889101412	A1	C1	1000	100	10000	PC1
40	40	0.28353616399432	A1	C1	1000	1000	300	PC1
41	41	0.126477838913494	A1	C1	1000	1000	1000	PC1
42	42	0.0123030175594927	A1	C1	1000	1000	10000	PC1
43	43	0.338666484429293	A1	C1	1000	10000	300	PC1
44	44	0.11529231508554	A1	C1	1000	10000	1000	PC1
45	45	0.012885479693923	A1	C1	1000	10000	10000	PC1
46	46	0.271968257529035	A1	C1	10000	100	300	PC1
47	47	0.106935802621618	A1	C1	10000	100	1000	PC1
48	48	0.011397744514453	A1	C1	10000	100	10000	PC1
49	49	0.25835194001649	A1	C1	10000	1000	300	PC1
50	50	0.10612991512809	A1	C1	10000	1000	1000	PC1
51	51	0.0112029318612227	A1	C1	10000	1000	10000	PC1
52	52	0.2943989092577	A1	C1	10000	10000	300	PC1
53	53	0.108491895171856	A1	C1	10000	10000	1000	PC1
54	54	0.0113728438247025	A1	C1	10000	10000	10000	PC1
55	55	0.519213189847579	A1	C2	1000	100	300	PC1
56	56	0.210879256196802	A1	C2	1000	100	1000	PC1
57	57	0.0269324284004757	A1	C2	1000	100	10000	PC1
58	58	0.46489586398793	A1	C2	1000	1000	300	PC1
59	59	0.22480227277965	A1	C2	1000	1000	1000	PC1
60	60	0.0260544779309118	A1	C2	1000	1000	10000	PC1
61	61	0.458645869096792	A1	C2	1000	10000	300	PC1
62	62	0.238757123870049	A1	C2	1000	10000	1000	PC1
63	63	0.0279361275300322	A1	C2	1000	10000	10000	PC1
64	64	0.466347975574533	A1	C2	10000	100	300	PC1
65	65	0.192320457579239	A1	C2	10000	100	1000	PC1
66	66	0.0228284758400534	A1	C2	10000	100	10000	PC1
67	67	0.408362477381725	A1	C2	10000	1000	300	PC1
68	68	0.179407246373147	A1	C2	10000	1000	1000	PC1
69	69	0.0226202614929674	A1	C2	10000	1000	10000	PC1
70	70	0.440142231386888	A1	C2	10000	10000	300	PC1
71	71	0.185045972652523	A1	C2	10000	10000	1000	PC1
72	72	0.0224602624589715	A1	C2	10000	10000	10000	PC1
73	1	0.761719752526525	A2	C1	1000	100	300	FGr
74	2	0.483832439560873	A2	C1	1000	100	1000	FGr
75	3	0.0896028486391856	A2	C1	1000	100	10000	FGr
76	4	0.703580368738168	A2	C1	1000	1000	300	FGr
77	5	0.349633717902453	A2	C1	1000	1000	1000	FGr
78	6	0.0519406054116018	A2	C1	1000	1000	10000	FGr
79	7	0.535364274561877	A2	C1	1000	10000	300	FGr
80	8	0.33692759493809	A2	C1	1000	10000	1000	FGr
81	9	0.0398820732124822	A2	C1	1000	10000	10000	FGr
82	10	0.799972130671176	A2	C1	10000	100	300	FGr
83	11	0.441922985109166	A2	C1	10000	100	1000	FGr
84	12	0.0898434571295841	A2	C1	10000	100	10000	FGr
85	13	0.598897888233727	A2	C1	10000	1000	300	FGr
86	14	0.312681328548817	A2	C1	10000	1000	1000	FGr
87	15	0.0480217376503116	A2	C1	10000	1000	10000	FGr
88	16	0.566973559021629	A2	C1	10000	10000	300	FGr
89	17	0.314654586392896	A2	C1	10000	10000	1000	FGr
90	18	0.0441501880164694	A2	C1	10000	10000	10000	FGr
91	19	0.998307823636657	A2	C2	1000	100	300	FGr
92	20	0.999930848120753	A2	C2	1000	100	1000	FGr
93	21	0.999146583179818	A2	C2	1000	100	10000	FGr
94	22	0.999702154164954	A2	C2	1000	1000	300	FGr
95	23	0.997979295699388	A2	C2	1000	1000	1000	FGr
96	24	0.974308369465337	A2	C2	1000	1000	10000	FGr
97	25	0.999758475677862	A2	C2	1000	10000	300	FGr
98	26	0.999655358121512	A2	C2	1000	10000	1000	FGr
99	27	0.996384754717306	A2	C2	1000	10000	10000	FGr
100	28	0.999999539428845	A2	C2	10000	100	300	FGr
101	29	0.998382048527894	A2	C2	10000	100	1000	FGr
102	30	0.997557403307435	A2	C2	10000	100	10000	FGr
103	31	0.999524931681458	A2	C2	10000	1000	300	FGr
104	32	0.994482451038516	A2	C2	10000	1000	1000	FGr
105	33	0.999946450702756	A2	C2	10000	1000	10000	FGr
106	34	0.996543298044444	A2	C2	10000	10000	300	FGr
107	35	0.995048679766873	A2	C2	10000	10000	1000	FGr
108	36	0.998666042839148	A2	C2	10000	10000	10000	FGr
109	37	0.298945271583105	A2	C1	1000	100	300	PC1
110	38	0.118276941156026	A2	C1	1000	100	1000	PC1
111	39	0.0124470398255346	A2	C1	1000	100	10000	PC1
112	40	0.332772209382735	A2	C1	1000	1000	300	PC1
113	41	0.120574494156552	A2	C1	1000	1000	1000	PC1
114	42	0.0130436234020311	A2	C1	1000	1000	10000	PC1
115	43	0.268759276333564	A2	C1	1000	10000	300	PC1
116	44	0.116424426311033	A2	C1	1000	10000	1000	PC1
117	45	0.012266476517943	A2	C1	1000	10000	10000	PC1
118	46	0.27968600550381	A2	C1	10000	100	300	PC1
119	47	0.100518657736917	A2	C1	10000	100	1000	PC1
120	48	0.0115014389426549	A2	C1	10000	100	10000	PC1
121	49	0.272160496585728	A2	C1	10000	1000	300	PC1
122	50	0.111238769063579	A2	C1	10000	1000	1000	PC1
123	51	0.0114489612039963	A2	C1	10000	1000	10000	PC1
124	52	0.262122802524272	A2	C1	10000	10000	300	PC1
125	53	0.102534671007105	A2	C1	10000	10000	1000	PC1
126	54	0.0113272788830843	A2	C1	10000	10000	10000	PC1
127	55	0.531850153888212	A2	C2	1000	100	300	PC1
128	56	0.226386780431917	A2	C2	1000	100	1000	PC1
129	57	0.0273585715745728	A2	C2	1000	100	10000	PC1
130	58	0.54182290965488	A2	C2	1000	1000	300	PC1
131	59	0.224900394655048	A2	C2	1000	1000	1000	PC1
132	60	0.027814294514794	A2	C2	1000	1000	10000	PC1
133	61	0.518630570156571	A2	C2	1000	10000	300	PC1
134	62	0.231325989736419	A2	C2	1000	10000	1000	PC1
135	63	0.0300703509056517	A2	C2	1000	10000	10000	PC1
136	64	0.428429589644235	A2	C2	10000	100	300	PC1
137	65	0.171276622297861	A2	C2	10000	100	1000	PC1
138	66	0.0231691204803431	A2	C2	10000	100	10000	PC1
139	67	0.426103806018282	A2	C2	10000	1000	300	PC1
140	68	0.187271137734829	A2	C2	10000	1000	1000	PC1
141	69	0.0231550441611529	A2	C2	10000	1000	10000	PC1
142	70	0.460983873818207	A2	C2	10000	10000	300	PC1
143	71	0.192840593565977	A2	C2	10000	10000	1000	PC1
144	72	0.0230875627661376	A2	C2	10000	10000	10000	PC1
145	1	0.723311743154883	A3	C1	1000	100	300	FGr
