	V1	c-q	nc-q	true-q	c-p	nc-p	c-bias	nc-bias	type	L	rep	config	gwas_size	test_size	h2	ts	num_causal	env
1	1	0.01292437594565	0.07960404056	0	0.095	0	0.01292437594565	0.07960404056	NoCorrection	10000	A1	C1	10000	10000	0	0.5	300	0
2	2	0.00360025208035001	0.03139822294	0	0.642	0.117	0.00360025208035001	0.03139822294	ID	10000	A1	C1	10000	10000	0	0.5	300	0
3	3	-0.00717378794170003	0.0486149824199998	0	0.304	0.022	-0.00717378794170003	0.0486149824199998	NoCorrection	10000	A1	C1	10000	10000	0	0.5	300	0.01
4	4	-0.0163557894884501	-0.00417796337499995	0	0.036	0.832	-0.0163557894884501	-0.00417796337499995	ID	10000	A1	C1	10000	10000	0	0.5	300	0.01
5	5	0.0221653118925416	0.0283594860250003	0	0	0	0.0221653118925416	0.0283594860250003	NoCorrection	10000	A1	C1	10000	10000	0	0.5	300	0.02
6	6	0.0132014819026501	-0.0309242048300003	0	0	0	0.0132014819026501	-0.0309242048300003	ID	10000	A1	C1	10000	10000	0	0.5	300	0.02
7	7	0.00262226203132999	0.0113287785649998	0	0.712	0.587	0.00262226203132999	0.0113287785649998	NoCorrection	10000	A1	C1	10000	10000	0	0.5	300	0.03
8	8	0.00151880683970001	0.00383686971999997	0	0.865	0.859	0.00151880683970001	0.00383686971999997	ID	10000	A1	C1	10000	10000	0	0.5	300	0.03
9	9	0.00226317266250002	0.026271628875	0	0.7	0.4	0.00226317266250002	0.026271628875	NoCorrection	10000	A1	C1	10000	10000	0	0.5	300	0.04
10	10	0.000220739572400011	0.014593878095	0	1	0.4	0.000220739572400011	0.014593878095	ID	10000	A1	C1	10000	10000	0	0.5	300	0.04
11	11	0.01346240800349	0.115030504485	0	0.1	0	0.01346240800349	0.115030504485	NoCorrection	10000	A1	C1	10000	10000	0	0.5	300	0.05
12	12	-0.000888201944099982	0.0242401285000001	0	1	0.2	-0.000888201944099982	0.0242401285000001	ID	10000	A1	C1	10000	10000	0	0.5	300	0.05
13	13	0.0196364764934001	0.12752527481	0	0.1	0	0.0196364764934001	0.12752527481	NoCorrection	10000	A1	C1	10000	10000	0	0.5	300	0.06
14	14	0.00129850041351997	0.0152963926300001	0	0.8	0.5	0.00129850041351997	0.0152963926300001	ID	10000	A1	C1	10000	10000	0	0.5	300	0.06
15	15	0.01517681128315	0.12631625321	0	0	0	0.01517681128315	0.12631625321	NoCorrection	10000	A1	C1	10000	10000	0	0.5	300	0.07
16	16	-0.00743861163620999	-0.00797802632499984	0	0.4	0.8	-0.00743861163620999	-0.00797802632499984	ID	10000	A1	C1	10000	10000	0	0.5	300	0.07
17	17	0.02253008588968	0.154677163694999	0	0	0	0.02253008588968	0.154677163694999	NoCorrection	10000	A1	C1	10000	10000	0	0.5	300	0.08
18	18	-0.00186007326452501	0.0233192096000003	0	0.9	0.1	-0.00186007326452501	0.0233192096000003	ID	10000	A1	C1	10000	10000	0	0.5	300	0.08
19	19	0.04174809062808	0.251000672365	0	0	0	0.04174809062808	0.251000672365	NoCorrection	10000	A1	C1	10000	10000	0	0.5	300	0.09
20	20	0.00536187623707997	0.0086253108849993	0	0.5	0.8	0.00536187623707997	0.0086253108849993	ID	10000	A1	C1	10000	10000	0	0.5	300	0.09
21	21	0.0762783452452823	0.320744521545	0	0	0	0.0762783452452823	0.320744521545	NoCorrection	10000	A1	C1	10000	10000	0	0.5	300	0.1
22	22	0.0251017360811499	-0.0264517480550004	0	0.006	0.234	0.0251017360811499	-0.0264517480550004	ID	10000	A1	C1	10000	10000	0	0.5	300	0.1
23	1	0.00102235888334998	-0.0659790746949993	0	0.912	0.004	0.00102235888334998	-0.0659790746949993	NoCorrection	10000	A2	C1	10000	10000	0	0.5	300	0
24	2	0.00881414434294973	-0.0148598240900003	0	0.297	0.51	0.00881414434294973	-0.0148598240900003	ID	10000	A2	C1	10000	10000	0	0.5	300	0
25	3	-0.00757891431551992	-0.006424749575	0	0.38	0.727	-0.00757891431551992	-0.006424749575	NoCorrection	10000	A2	C1	10000	10000	0	0.5	300	0.01
26	4	-0.00651418321894976	-0.000561818035000086	0	0.425	0.969	-0.00651418321894976	-0.000561818035000086	ID	10000	A2	C1	10000	10000	0	0.5	300	0.01
27	5	0.022720588920645	0.10244801555	0	0	0	0.022720588920645	0.10244801555	NoCorrection	10000	A2	C1	10000	10000	0	0.5	300	0.02
28	6	0.0114262069747501	0.0283118769749997	0	0.2	0.1	0.0114262069747501	0.0283118769749997	ID	10000	A2	C1	10000	10000	0	0.5	300	0.02
29	7	0.0114135619775	0.160872847675	0	0.147	0	0.0114135619775	0.160872847675	NoCorrection	10000	A2	C1	10000	10000	0	0.5	300	0.03
30	8	-0.00676846501043999	0.00970264908	0	0.421	0.609	-0.00676846501043999	0.00970264908	ID	10000	A2	C1	10000	10000	0	0.5	300	0.03
31	9	0.00961320541255006	0.05786680552	0	0.1	0	0.00961320541255006	0.05786680552	NoCorrection	10000	A2	C1	10000	10000	0	0.5	300	0.04
32	10	0.00395959204480002	0.017930039625	0	0.9	0.3	0.00395959204480002	0.017930039625	ID	10000	A2	C1	10000	10000	0	0.5	300	0.04
33	11	0.0166357415044401	0.184004621425	0	0.2	0	0.0166357415044401	0.184004621425	NoCorrection	10000	A2	C1	10000	10000	0	0.5	300	0.05
34	12	-0.00985339330635491	-0.021182067015	0	0.2	0.1	-0.00985339330635491	-0.021182067015	ID	10000	A2	C1	10000	10000	0	0.5	300	0.05
35	13	0.000856346811264985	0.11812158423	0	1	0	0.000856346811264985	0.11812158423	NoCorrection	10000	A2	C1	10000	10000	0	0.5	300	0.06
36	14	-0.0124534383242149	0.01225041949	0	0.1	0.3	-0.0124534383242149	0.01225041949	ID	10000	A2	C1	10000	10000	0	0.5	300	0.06
37	15	0.0111881751380799	0.04421277641	0	0.2	0	0.0111881751380799	0.04421277641	NoCorrection	10000	A2	C1	10000	10000	0	0.5	300	0.07
38	16	-0.00397494445334988	-0.060177469075	0	0.6	0	-0.00397494445334988	-0.060177469075	ID	10000	A2	C1	10000	10000	0	0.5	300	0.07
39	17	0.01363926135345	0.13066232079	0	0.1	0	0.01363926135345	0.13066232079	NoCorrection	10000	A2	C1	10000	10000	0	0.5	300	0.08
40	18	-0.00469882311057006	-0.01484025994	0	0.6	0.4	-0.00469882311057006	-0.01484025994	ID	10000	A2	C1	10000	10000	0	0.5	300	0.08
41	19	0.0358752113747001	0.245752146775	0	0	0	0.0358752113747001	0.245752146775	NoCorrection	10000	A2	C1	10000	10000	0	0.5	300	0.09
42	20	0.00291955618044994	-0.0125825001050002	0	0.8	0.4	0.00291955618044994	-0.0125825001050002	ID	10000	A2	C1	10000	10000	0	0.5	300	0.09
43	21	0.01590029560608	0.19593441713	0	0.06	0	0.01590029560608	0.19593441713	NoCorrection	10000	A2	C1	10000	10000	0	0.5	300	0.1
44	22	-0.0132520626821499	0.00893521006999936	0	0.072	0.682	-0.0132520626821499	0.00893521006999936	ID	10000	A2	C1	10000	10000	0	0.5	300	0.1
45	1	0.02334762040471	0.04846634576	0	0.008	0.063	0.02334762040471	0.04846634576	NoCorrection	10000	A3	C1	10000	10000	0	0.5	300	0
46	2	0.0144895582201	-0.00199677234500013	0	0.115	0.93	0.0144895582201	-0.00199677234500013	ID	10000	A3	C1	10000	10000	0	0.5	300	0
47	3	-0.00965845489034491	-0.0187425580200002	0	0.194	0.338	-0.00965845489034491	-0.0187425580200002	NoCorrection	10000	A3	C1	10000	10000	0	0.5	300	0.01
48	4	-0.00956619211915003	-0.0205812266100004	0	0.217	0.313	-0.00956619211915003	-0.0205812266100004	ID	10000	A3	C1	10000	10000	0	0.5	300	0.01
49	5	0.00421310354885002	0.0302186390900001	0	0.4	0.3	0.00421310354885002	0.0302186390900001	NoCorrection	10000	A3	C1	10000	10000	0	0.5	300	0.02
50	6	-0.00101132482300001	0.011366573435	0	0.8	0.5	-0.00101132482300001	0.011366573435	ID	10000	A3	C1	10000	10000	0	0.5	300	0.02
51	7	0.0155863562460001	0.0235927157099999	0	0.062	0.243	0.0155863562460001	0.0235927157099999	NoCorrection	10000	A3	C1	10000	10000	0	0.5	300	0.03
52	8	0.00993542833615003	-0.00510875560499999	0	0.236	0.811	0.00993542833615003	-0.00510875560499999	ID	10000	A3	C1	10000	10000	0	0.5	300	0.03
53	9	0.00857706263619999	0.0820491123500003	0	0.5	0	0.00857706263619999	0.0820491123500003	NoCorrection	10000	A3	C1	10000	10000	0	0.5	300	0.04
54	10	-0.00546824840159999	-0.0100391397150001	0	0.7	0.7	-0.00546824840159999	-0.0100391397150001	ID	10000	A3	C1	10000	10000	0	0.5	300	0.04
55	11	0.0189506874112598	0.179960972925	0	0	0	0.0189506874112598	0.179960972925	NoCorrection	10000	A3	C1	10000	10000	0	0.5	300	0.05
56	12	-0.00970939283645009	-0.00466063243000005	0	0.3	0.8	-0.00970939283645009	-0.00466063243000005	ID	10000	A3	C1	10000	10000	0	0.5	300	0.05
57	13	0.0331281333490949	0.159945901295	0	0	0	0.0331281333490949	0.159945901295	NoCorrection	10000	A3	C1	10000	10000	0	0.5	300	0.06
58	14	0.0054022682619449	-0.00251420954499993	0	0.6	0.9	0.0054022682619449	-0.00251420954499993	ID	10000	A3	C1	10000	10000	0	0.5	300	0.06
59	15	0.0247049141602886	0.179551736795	0	0	0	0.0247049141602886	0.179551736795	NoCorrection	10000	A3	C1	10000	10000	0	0.5	300	0.07
60	16	-0.00189611116780002	0.00955462736000002	0	0.9	0.5	-0.00189611116780002	0.00955462736000002	ID	10000	A3	C1	10000	10000	0	0.5	300	0.07
61	17	0.0319855547078647	0.198432554975	0	0	0	0.0319855547078647	0.198432554975	NoCorrection	10000	A3	C1	10000	10000	0	0.5	300	0.08
62	18	0.00166390309520004	-0.0100676150550003	0	0.8	0.8	0.00166390309520004	-0.0100676150550003	ID	10000	A3	C1	10000	10000	0	0.5	300	0.08
63	19	0.0292778025707501	0.132169834975	0	0	0	0.0292778025707501	0.132169834975	NoCorrection	10000	A3	C1	10000	10000	0	0.5	300	0.09
64	20	0.00562463672544998	-0.024660928135	0	0.5	0.4	0.00562463672544998	-0.024660928135	ID	10000	A3	C1	10000	10000	0	0.5	300	0.09
