	V1	c-q	nc-q	true-q	c-p	nc-p	c-bias	nc-bias	type	L	stan-c	stan-nc	rep	config	gwas_size	test_size	h2	ts	num_causal	env
1	1	0.01046868964655	0.00354132850000016	0	0	0.9	0.01046868964655	0.00354132850000016	NoCorrection	10000	2.30358994862841	0.225869512820544	A1	C2	10000	10000	0	0.5	300	0
2	2	0.00986999799257095	0.00496157867000009	0	0.2	0.8	0.00986999799257095	0.00496157867000009	ID	10000	1.33537024010782	0.393441685473838	A1	C2	10000	10000	0	0.5	300	0
3	3	0.00673311406669998	0.0134599785800001	0	0.4	0.2	0.00673311406669998	0.0134599785800001	NoCorrection	10000	0.856570152901366	1.05271583168337	A1	C2	10000	10000	0	0.5	300	0.01
4	4	0.00714580850361007	0.0128610931300001	0	0.4	0.3	0.00714580850361007	0.0128610931300001	ID	10000	1.17908368430629	1.10610483787424	A1	C2	10000	10000	0	0.5	300	0.01
5	5	-0.000587682303400372	0.00277687960999999	0	0.8	1	-0.000587682303400372	0.00277687960999999	NoCorrection	10000	-0.0975614850644828	0.150139416189412	A1	C2	10000	10000	0	0.5	300	0.02
6	6	-0.000533214201979862	0.00313402665000001	0	1	0.8	-0.000533214201979862	0.00313402665000001	ID	10000	-0.0720684300515725	0.191297050609843	A1	C2	10000	10000	0	0.5	300	0.02
7	7	-0.00418299522072002	-0.0104751109500002	0	0.7	0.4	-0.00418299522072002	-0.0104751109500002	NoCorrection	10000	-0.660477818787241	-0.797781430892448	A1	C2	10000	10000	0	0.5	300	0.03
8	8	-0.00410779866775004	-0.012175304385	0	0.8	0.6	-0.00410779866775004	-0.012175304385	ID	10000	-0.701999505051582	-0.964897680071762	A1	C2	10000	10000	0	0.5	300	0.03
9	9	6.75345528698821e-05	0.02556158302	0	0.9	0.1	6.75345528698821e-05	0.02556158302	NoCorrection	10000	0.0107438906777614	1.71553984122907	A1	C2	10000	10000	0	0.5	300	0.04
10	10	0.00100355756860014	0.0267458611399998	0	0.7	0	0.00100355756860014	0.0267458611399998	ID	10000	0.190435358145451	1.67709848813265	A1	C2	10000	10000	0	0.5	300	0.04
11	11	-0.00455629487087997	0.00131156423	0	0.3	1	-0.00455629487087997	0.00131156423	NoCorrection	10000	-0.841935831944994	0.0587705975250403	A1	C2	10000	10000	0	0.5	300	0.05
