	V1	c-q	nc-q	true-q	c-p	nc-p	c-bias	nc-bias	type	L	stan-c	stan-nc	rep	config	gwas_size	test_size	h2	ts	num_causal	env
1	1	-0.0293356281555	-0.026110540335	0.0293359910720601	0.3	0.2	-0.0586716192275602	-0.0554465314070601	1	10000	-1.46466685669068	-1.14239169502594	A1	C2	10000	10000	0.3	0.5	300	0
2	2	-0.03226383246135	-0.0231026789949999	0.0293359910720601	0.5	0.3	-0.0615998235334101	-0.05243867006706	FGr	10000	-0.970145530369163	-1.27361308231946	A1	C2	10000	10000	0.3	0.5	300	0
3	3	-0.0323247307307	-0.0244113881549999	0.0293359910720601	0.3	0.4	-0.0616607218027602	-0.05374737922706	NoCorrection	10000	-0.95119962054616	-0.870701383973887	A1	C2	10000	10000	0.3	0.5	300	0
4	4	-0.0292360942798	-0.026877354735	0.0293359910720601	0.1	0.2	-0.0585720853518601	-0.0562133458070602	ID	10000	-2.13341001611675	-1.72565982131017	A1	C2	10000	10000	0.3	0.5	300	0
5	5	-0.0230356069046501	-0.0197263518100006	0.0293359910720601	0.5	0.7	-0.0523715979767102	-0.0490623428820607	1	10000	-0.850971261907974	-0.631128334619786	A1	C2	10000	10000	0.3	0.5	300	-0.1
6	6	-0.0231376018775	-0.0188824159099993	0.0293359910720601	0.4	0.5	-0.0524735929495602	-0.0482184069820594	FGr	10000	-0.973425536826836	-0.730044091622839	A1	C2	10000	10000	0.3	0.5	300	-0.1
7	7	-0.0232233122294499	-0.0222198308199999	0.0293359910720601	0.2	0.5	-0.0525593033015101	-0.05155582189206	NoCorrection	10000	-1.15432519631966	-0.927105775180721	A1	C2	10000	10000	0.3	0.5	300	-0.1
8	8	-0.0229898662156499	-0.02075137358	0.0293359910720601	0	0.7	-0.0523258572877101	-0.0500873646520602	ID	10000	-2.11929005737663	-1.1595226956007	A1	C2	10000	10000	0.3	0.5	300	-0.1
9	9	-0.01206279883575	-0.00368194726500009	0.0293359910720601	0.5	0.7	-0.0413987899078102	-0.0330179383370602	1	10000	-0.447140988260248	-0.189545964794926	A1	C2	10000	10000	0.3	0.5	300	0.1
10	10	-0.01821708279699	-0.0246586815050001	0.0293359910720601	0.2	0.2	-0.0475530738690502	-0.0539946725770602	FGr	10000	-1.12446012877166	-1.1398692343547	A1	C2	10000	10000	0.3	0.5	300	0.1
11	11	-0.0183879596442446	-0.025505685245	0.0293359910720601	0.3	0.6	-0.0477239507163047	-0.0548416763170601	NoCorrection	10000	-0.831455722257648	-0.748335503867956	A1	C2	10000	10000	0.3	0.5	300	0.1
12	12	-0.0121812851602	0.00170593900999987	0.0293359910720601	0.9	1	-0.0415172762322602	-0.0276300520620603	ID	10000	-0.446113953634361	0.0606241474404628	A1	C2	10000	10000	0.3	0.5	300	0.1
13	13	0.00365166871940025	0.00369864585499991	-0.0101490453085581	0.7	0.8	0.0138007140279583	0.013847691163558	1	10000	0.211027726812227	0.186331131010069	A1	C2	10000	10000	0.3	0.53	300	0
14	14	0.00304546273055009	-0.00381682119999996	-0.0101490453085581	0.8	0.9	0.0131945080391082	0.00633222410855812	FGr	10000	0.188804953472452	-0.203862709367405	A1	C2	10000	10000	0.3	0.53	300	0
15	15	0.00305207884480014	-0.00487339622000042	-0.0101490453085581	1	0.9	0.0132011241533582	0.00527564908855766	NoCorrection	10000	0.222402837930637	-0.178916467675656	A1	C2	10000	10000	0.3	0.53	300	0
16	16	0.00361150329470005	0.00346454021499996	-0.0101490453085581	0.9	0.9	0.0137605486032581	0.013613585523558	ID	10000	0.245045487499972	0.19413514179062	A1	C2	10000	10000	0.3	0.53	300	0
17	17	0.00842280282724999	0.00337101937499996	-0.0101490453085581	0.7	1	0.0185718481358081	0.013520064683558	1	10000	0.383065481002373	0.137690774542968	A1	C2	10000	10000	0.3	0.53	300	-0.1
18	18	0.00862924677406995	0.000344546129999949	-0.0101490453085581	0.7	1	0.018778292082628	0.010493591438558	FGr	10000	0.42315383368127	0.0136446000649925	A1	C2	10000	10000	0.3	0.53	300	-0.1
19	19	0.00863140137259987	0.00344209901000014	-0.0101490453085581	0.4	0.7	0.0187804466811579	0.0135911443185582	NoCorrection	10000	0.768673808258684	0.200448452150809	A1	C2	10000	10000	0.3	0.53	300	-0.1
20	20	0.00845261128735004	0.000658469560000015	-0.0101490453085581	0.7	0.9	0.0186016565959081	0.0108075148685581	ID	10000	0.491108447071106	0.0291813463546259	A1	C2	10000	10000	0.3	0.53	300	-0.1
21	21	0.0122536141239	0.00121667984500023	-0.0101490453085581	0.6	0.9	0.0224026594324581	0.0113657251535583	1	10000	0.629929899305854	0.0545672383653373	A1	C2	10000	10000	0.3	0.53	300	0.1
22	22	0.01087133007025	0.031049526	-0.0101490453085581	0.4	0.3	0.0210203753788081	0.0411985713085581	FGr	10000	0.89159432620939	0.933314887685261	A1	C2	10000	10000	0.3	0.53	300	0.1
23	23	0.01087026785605	0.0310500906849998	-0.0101490453085581	0.5	0.4	0.0210193131646081	0.0411991359935578	NoCorrection	10000	0.633478865721944	0.927085581578257	A1	C2	10000	10000	0.3	0.53	300	0.1
24	24	0.0121628179893	0.0030098321150001	-0.0101490453085581	0.4	1	0.0223118632978581	0.0131588774235582	ID	10000	0.588115264289969	0.100397359580581	A1	C2	10000	10000	0.3	0.53	300	0.1
25	25	0.0477389708283501	0.06314424624	0.00369899797104837	0	0	0.0440399728573017	0.0594452482689516	1	10000	4.09307440267516	5.16663975538841	A1	C2	10000	10000	0.3	0.56	300	0
26	26	0.0483928576216002	0.0503683181749998	0.00369899797104837	0	0	0.0446938596505519	0.0466693202039514	FGr	10000	2.91943311997442	2.7312108730023	A1	C2	10000	10000	0.3	0.56	300	0
27	27	0.0483828025609501	0.0503077558300002	0.00369899797104837	0	0	0.0446838045899018	0.0466087578589518	NoCorrection	10000	3.69461994486557	2.27367254485474	A1	C2	10000	10000	0.3	0.56	300	0
28	28	0.0477389433875499	0.0630965415499996	0.00369899797104837	0	0	0.0440399454165015	0.0593975435789512	ID	10000	3.33490697506557	3.18276931340027	A1	C2	10000	10000	0.3	0.56	300	0
29	29	0.0450146944302002	0.0437501039499998	0.00369899797104837	0	0.1	0.0413156964591519	0.0400511059789514	1	10000	3.96774705221946	1.92404074757668	A1	C2	10000	10000	0.3	0.56	300	-0.1
30	30	0.0440704310249003	0.0421824718	0.00369899797104837	0	0	0.0403714330538519	0.0384834738289517	FGr	10000	3.59009960497592	2.51682494957334	A1	C2	10000	10000	0.3	0.56	300	-0.1
31	31	0.0440627357559995	0.0413758133800004	0.00369899797104837	0	0	0.0403637377849512	0.0376768154089521	NoCorrection	10000	2.56547074586656	4.09403122968649	A1	C2	10000	10000	0.3	0.56	300	-0.1
32	32	0.0450031693999505	0.0415533666350004	0.00369899797104837	0	0.1	0.0413041714289021	0.037854368663952	ID	10000	3.44011906757171	1.29405226633621	A1	C2	10000	10000	0.3	0.56	300	-0.1
33	33	0.0515462502716005	0.0365466783549995	0.00369899797104837	0	0.1	0.0478472523005521	0.0328476803839512	1	10000	3.67529291544356	2.4082311806798	A1	C2	10000	10000	0.3	0.56	300	0.1
34	34	0.0545285887978602	0.0633766598599999	0.00369899797104837	0	0	0.0508295908268118	0.0596776618889516	FGr	10000	3.64582443090376	2.8754182587267	A1	C2	10000	10000	0.3	0.56	300	0.1
35	35	0.0545206642262502	0.063389555895	0.00369899797104837	0	0	0.0508216662552018	0.0596905579239516	NoCorrection	10000	5.93228170446559	2.47691249646542	A1	C2	10000	10000	0.3	0.56	300	0.1
36	36	0.0514748605915495	0.0357592617349998	0.00369899797104837	0	0.2	0.0477758626205011	0.0320602637639514	ID	10000	3.66715654473035	1.54352122010185	A1	C2	10000	10000	0.3	0.56	300	0.1
