	V1	error	rep	config	gwas_size	test_size	L	type
1	1	0.20043907948883	B1	C1	1000	100	1000	FGr
2	2	0.0247848531939658	B1	C1	1000	100	10000	FGr
3	3	0.114515094837606	B1	C1	1000	1000	1000	FGr
4	4	0.0114556514327008	B1	C1	1000	1000	10000	FGr
5	5	0.095716902551214	B1	C1	1000	10000	1000	FGr
6	6	0.0106742384536684	B1	C1	1000	10000	10000	FGr
7	7	0.182271601690518	B1	C1	10000	100	1000	FGr
8	8	0.0223680187493799	B1	C1	10000	100	10000	FGr
9	9	0.119416002803023	B1	C1	10000	1000	1000	FGr
10	10	0.0125404977486212	B1	C1	10000	1000	10000	FGr
11	11	0.10316810204556	B1	C1	10000	10000	1000	FGr
12	12	0.0112475020270713	B1	C1	10000	10000	10000	FGr
13	13	0.999667880231433	B1	C2	1000	100	1000	FGr
14	14	0.999143938634069	B1	C2	1000	100	10000	FGr
15	15	0.9995964016653	B1	C2	1000	1000	1000	FGr
16	16	0.997410482432461	B1	C2	1000	1000	10000	FGr
17	17	0.999162245007816	B1	C2	1000	10000	1000	FGr
18	18	0.998458746173928	B1	C2	1000	10000	10000	FGr
19	19	0.999891238456146	B1	C2	10000	100	1000	FGr
20	20	0.999945909235336	B1	C2	10000	100	10000	FGr
21	21	0.999933622984821	B1	C2	10000	1000	1000	FGr
22	22	0.999779684305921	B1	C2	10000	1000	10000	FGr
23	23	0.999991469409589	B1	C2	10000	10000	1000	FGr
24	24	0.999999465414379	B1	C2	10000	10000	10000	FGr
25	25	0.119004674631538	B1	C1	1000	100	1000	PC1
26	26	0.0123312632061058	B1	C1	1000	100	10000	PC1
27	27	0.112424175120532	B1	C1	1000	1000	1000	PC1
28	28	0.0115075839421325	B1	C1	1000	1000	10000	PC1
29	29	0.106685273937935	B1	C1	1000	10000	1000	PC1
30	30	0.0119759197752228	B1	C1	1000	10000	10000	PC1
31	31	0.0999084313850027	B1	C1	10000	100	1000	PC1
32	32	0.011407243929124	B1	C1	10000	100	10000	PC1
33	33	0.110052955339204	B1	C1	10000	1000	1000	PC1
34	34	0.0113851816000562	B1	C1	10000	1000	10000	PC1
35	35	0.103546313779812	B1	C1	10000	10000	1000	PC1
36	36	0.0112160005053961	B1	C1	10000	10000	10000	PC1
37	37	0.999909634306396	B1	C2	1000	100	1000	PC1
38	38	0.998939064332276	B1	C2	1000	100	10000	PC1
39	39	0.996170960689015	B1	C2	1000	1000	1000	PC1
40	40	0.999944524572531	B1	C2	1000	1000	10000	PC1
41	41	0.998433688209294	B1	C2	1000	10000	1000	PC1
42	42	0.999987532287464	B1	C2	1000	10000	10000	PC1
43	43	0.999793194078213	B1	C2	10000	100	1000	PC1
44	44	0.999999909134808	B1	C2	10000	100	10000	PC1
45	45	0.999994458737475	B1	C2	10000	1000	1000	PC1
46	46	0.999884620544482	B1	C2	10000	1000	10000	PC1
47	47	0.999833512890234	B1	C2	10000	10000	1000	PC1
48	48	0.999988252060125	B1	C2	10000	10000	10000	PC1
49	1	0.184309694207166	B2	C1	1000	100	1000	FGr
50	2	0.0227628352956207	B2	C1	1000	100	10000	FGr
51	3	0.12602523576597	B2	C1	1000	1000	1000	FGr
52	4	0.012194707882474	B2	C1	1000	1000	10000	FGr
53	5	0.0987188438531574	B2	C1	1000	10000	1000	FGr
54	6	0.0107137811053493	B2	C1	1000	10000	10000	FGr
55	7	0.189465853046242	B2	C1	10000	100	1000	FGr
56	8	0.0228026692147462	B2	C1	10000	100	10000	FGr
57	9	0.112317249756897	B2	C1	10000	1000	1000	FGr
58	10	0.012185801834517	B2	C1	10000	1000	10000	FGr
59	11	0.0985507561381849	B2	C1	10000	10000	1000	FGr
60	12	0.0115402286147198	B2	C1	10000	10000	10000	FGr
61	13	0.997596904758576	B2	C2	1000	100	1000	FGr
62	14	0.998142384183041	B2	C2	1000	100	10000	FGr
63	15	0.999929992524742	B2	C2	1000	1000	1000	FGr
64	16	0.999978843815605	B2	C2	1000	1000	10000	FGr
65	17	0.998862170112308	B2	C2	1000	10000	1000	FGr
66	18	0.999417725943072	B2	C2	1000	10000	10000	FGr
67	19	0.999623011042026	B2	C2	10000	100	1000	FGr
68	20	0.999992565856521	B2	C2	10000	100	10000	FGr
69	21	0.999841261719924	B2	C2	10000	1000	1000	FGr
70	22	0.999948956611231	B2	C2	10000	1000	10000	FGr
71	23	0.99998379985204	B2	C2	10000	10000	1000	FGr
72	24	0.999958856021207	B2	C2	10000	10000	10000	FGr
73	25	0.108293773158534	B2	C1	1000	100	1000	PC1
74	26	0.0121475805636734	B2	C1	1000	100	10000	PC1
75	27	0.128685304064136	B2	C1	1000	1000	1000	PC1
76	28	0.0124193911408149	B2	C1	1000	1000	10000	PC1
77	29	0.106346120758986	B2	C1	1000	10000	1000	PC1
78	30	0.0119455247714787	B2	C1	1000	10000	10000	PC1
79	31	0.10108442518877	B2	C1	10000	100	1000	PC1
80	32	0.0113219238540195	B2	C1	10000	100	10000	PC1
81	33	0.103623003678543	B2	C1	10000	1000	1000	PC1
82	34	0.0110463592980682	B2	C1	10000	1000	10000	PC1
83	35	0.0988429742164908	B2	C1	10000	10000	1000	PC1
84	36	0.0115645359652611	B2	C1	10000	10000	10000	PC1
85	37	0.999871338099693	B2	C2	1000	100	1000	PC1
86	38	0.999497529387829	B2	C2	1000	100	10000	PC1
87	39	0.999519808124105	B2	C2	1000	1000	1000	PC1
88	40	0.999963974654763	B2	C2	1000	1000	10000	PC1
89	41	0.997950958533143	B2	C2	1000	10000	1000	PC1
90	42	0.997639522661514	B2	C2	1000	10000	10000	PC1
91	43	0.999998572174474	B2	C2	10000	100	1000	PC1
92	44	0.999999746492771	B2	C2	10000	100	10000	PC1
93	45	0.999976049486404	B2	C2	10000	1000	1000	PC1
94	46	0.999999757409309	B2	C2	10000	1000	10000	PC1
95	47	0.999849383309596	B2	C2	10000	10000	1000	PC1
96	48	0.999966265008669	B2	C2	10000	10000	10000	PC1
97	1	0.183825811978657	B3	C1	1000	100	1000	FGr
98	2	0.0234053418214094	B3	C1	1000	100	10000	FGr
99	3	0.107601862227655	B3	C1	1000	1000	1000	FGr
100	4	0.0128645976183536	B3	C1	1000	1000	10000	FGr
101	5	0.10068015705713	B3	C1	1000	10000	1000	FGr
102	6	0.0107391943904284	B3	C1	1000	10000	10000	FGr
103	7	0.184633563277783	B3	C1	10000	100	1000	FGr
104	8	0.0223626867919362	B3	C1	10000	100	10000	FGr
105	9	0.108627547376889	B3	C1	10000	1000	1000	FGr
106	10	0.0118188799199367	B3	C1	10000	1000	10000	FGr
107	11	0.102595007138604	B3	C1	10000	10000	1000	FGr
108	12	0.0110341129633345	B3	C1	10000	10000	10000	FGr
109	13	0.999705113513289	B3	C2	1000	100	1000	FGr
110	14	0.999945297309756	B3	C2	1000	100	10000	FGr
111	15	0.999266689067936	B3	C2	1000	1000	1000	FGr
112	16	0.996453064653577	B3	C2	1000	1000	10000	FGr
113	17	0.999334782912928	B3	C2	1000	10000	1000	FGr
114	18	0.99823603447208	B3	C2	1000	10000	10000	FGr
115	19	0.999992807221284	B3	C2	10000	100	1000	FGr
116	20	0.999999084198297	B3	C2	10000	100	10000	FGr
117	21	0.999826849845958	B3	C2	10000	1000	1000	FGr
118	22	0.999930783061535	B3	C2	10000	1000	10000	FGr
119	23	0.999482606589174	B3	C2	10000	10000	1000	FGr
120	24	0.999981500159693	B3	C2	10000	10000	10000	FGr
121	25	0.10550337756188	B3	C1	1000	100	1000	PC1
122	26	0.0127815405873163	B3	C1	1000	100	10000	PC1
123	27	0.110689156046879	B3	C1	1000	1000	1000	PC1
124	28	0.012784807846547	B3	C1	1000	1000	10000	PC1
125	29	0.111001197167461	B3	C1	1000	10000	1000	PC1
126	30	0.0120538474383542	B3	C1	1000	10000	10000	PC1
127	31	0.102346563902237	B3	C1	10000	100	1000	PC1
128	32	0.0108950664120179	B3	C1	10000	100	10000	PC1
129	33	0.100330446151356	B3	C1	10000	1000	1000	PC1
130	34	0.0108285796947686	B3	C1	10000	1000	10000	PC1
131	35	0.103077189724304	B3	C1	10000	10000	1000	PC1
132	36	0.0110215253542491	B3	C1	10000	10000	10000	PC1
133	37	0.998892091225583	B3	C2	1000	100	1000	PC1
134	38	0.999598542827646	B3	C2	1000	100	10000	PC1
135	39	0.997994321510203	B3	C2	1000	1000	1000	PC1
136	40	0.999128887984828	B3	C2	1000	1000	10000	PC1
137	41	0.999755695152678	B3	C2	1000	10000	1000	PC1
138	42	0.999988903047476	B3	C2	1000	10000	10000	PC1
139	43	0.999954509614081	B3	C2	10000	100	1000	PC1
140	44	0.999990085237665	B3	C2	10000	100	10000	PC1
141	45	0.999942549975461	B3	C2	10000	1000	1000	PC1
142	46	0.999791945484615	B3	C2	10000	1000	10000	PC1
143	47	0.999787116277927	B3	C2	10000	10000	1000	PC1
144	48	0.999978632899848	B3	C2	10000	10000	10000	PC1
145	1	0.189303918464827	B4	C1	1000	100	1000	FGr
146	2	0.0217280036785403	B4	C1	1000	100	10000	FGr
147	3	0.113469368560978	B4	C1	1000	1000	1000	FGr
148	4	0.0124373261640028	B4	C1	1000	1000	10000	FGr
149	5	0.107957722853785	B4	C1	1000	10000	1000	FGr
150	6	0.012180021048226	B4	C1	1000	10000	10000	FGr
151	7	0.18999701768102	B4	C1	10000	100	1000	FGr
152	8	0.0231502658021051	B4	C1	10000	100	10000	FGr
153	9	0.108743190391432	B4	C1	10000	1000	1000	FGr
154	10	0.0124991197844599	B4	C1	10000	1000	10000	FGr
155	11	0.0987695160716663	B4	C1	10000	10000	1000	FGr
156	12	0.0109445049677708	B4	C1	10000	10000	10000	FGr
157	13	0.999582895366842	B4	C2	1000	100	1000	FGr
158	14	0.99983366435929	B4	C2	1000	100	10000	FGr
159	15	0.999843575274842	B4	C2	1000	1000	1000	FGr
