	error	rep	config	gwas_size	test_size	L	type
1	0.958177009754363	B4	C1	1000	1000	500	FGr
2	0.92641918836707	B4	C1	1000	1000	1000	FGr
3	0.840920348819578	B4	C1	1000	1000	2000	FGr
4	0.784053093975274	B4	C1	1000	1000	3000	FGr
5	0.728280976212846	B4	C1	1000	1000	4000	FGr
6	0.666139107747039	B4	C1	1000	1000	5000	FGr
7	0.63156453764861	B4	C1	1000	1000	6000	FGr
8	0.612595129757767	B4	C1	1000	1000	7000	FGr
9	0.571226405251173	B4	C1	1000	1000	8000	FGr
10	0.998466769027171	B4	C1	1000	1000	500	PC1
11	0.996431659379973	B4	C1	1000	1000	1000	PC1
12	0.935895638533434	B4	C1	1000	1000	2000	PC1
13	0.914830247981291	B4	C1	1000	1000	3000	PC1
14	0.940632805534692	B4	C1	1000	1000	4000	PC1
15	0.724456589048468	B4	C1	1000	1000	5000	PC1
16	0.567383542598848	B4	C1	1000	1000	6000	PC1
17	0.524564179093565	B4	C1	1000	1000	7000	PC1
18	0.469266277693834	B4	C1	1000	1000	8000	PC1
