	V1	c-q	nc-q	true-q	c-p	nc-p	c-bias	nc-bias	type	L	rep	config	gwas_size	test_size	h2	ts	num_causal	env
1	1	0.00823572135	-0.073219249	0	0.834	0.271	0.00823572135	-0.073219249	1	1000	B1	C1	1000	100	0	0.5	300	0
2	2	0.007817745587	-0.069135859	0	0.84	0.336	0.007817745587	-0.069135859	FGr	1000	B1	C1	1000	100	0	0.5	300	0
3	3	-0.05811290006	-0.262426437	0	0.166	0	-0.05811290006	-0.262426437	NoCorrection	1000	B1	C1	1000	100	0	0.5	300	0
4	4	0.03524253025	-0.00805911150000006	0	0.389	0.912	0.03524253025	-0.00805911150000006	ID	1000	B1	C1	1000	100	0	0.5	300	0
5	5	0.0151988683650001	-0.0050574985	0	0.681	0.933	0.0151988683650001	-0.0050574985	1	1000	B1	C1	1000	100	0	0.5	300	0.1
6	6	0.048637493694	0.065539073	0	0.197	0.298	0.048637493694	0.065539073	FGr	1000	B1	C1	1000	100	0	0.5	300	0.1
7	7	0.16119137324	0.3526696935	0	0	0	0.16119137324	0.3526696935	NoCorrection	1000	B1	C1	1000	100	0	0.5	300	0.1
8	8	0.0134876781065	-0.0218673355	0	0.738	0.72	0.0134876781065	-0.0218673355	ID	1000	B1	C1	1000	100	0	0.5	300	0.1
9	9	0.00210881967000004	-0.0472519589999999	0	0.947	0.616	0.00210881967000004	-0.0472519589999999	1	10000	B1	C1	1000	100	0	0.5	300	0
10	10	0.00856790075000005	0.00307065399999995	0	0.796	0.966	0.00856790075000005	0.00307065399999995	FGr	10000	B1	C1	1000	100	0	0.5	300	0
11	11	0.036562090275	0.1638792075	0	0.288	0.091	0.036562090275	0.1638792075	NoCorrection	10000	B1	C1	1000	100	0	0.5	300	0
12	12	-0.00323861803200007	-0.069945883	0	0.927	0.442	-0.00323861803200007	-0.069945883	ID	10000	B1	C1	1000	100	0	0.5	300	0
13	13	0.012152163023	-0.0160697799999998	0	0.769	0.88	0.012152163023	-0.0160697799999998	1	10000	B1	C1	1000	100	0	0.5	300	0.1
14	14	0.01398864005	-0.00191349749999993	0	0.759	0.985	0.01398864005	-0.00191349749999993	FGr	10000	B1	C1	1000	100	0	0.5	300	0.1
15	15	0.07665150644	0.3290445415	0	0.068	0.004	0.07665150644	0.3290445415	NoCorrection	10000	B1	C1	1000	100	0	0.5	300	0.1
16	16	0.01085371811	-0.0372538500000001	0	0.779	0.711	0.01085371811	-0.0372538500000001	ID	10000	B1	C1	1000	100	0	0.5	300	0.1
17	17	-0.0274350793715	-0.00538652054999992	0	0.277	0.898	-0.0274350793715	-0.00538652054999992	1	1000	B1	C1	1000	1000	0	0.5	300	0
18	18	-0.0513722251676198	-0.0617834159499999	0	0.04	0.184	-0.0513722251676198	-0.0617834159499999	FGr	1000	B1	C1	1000	1000	0	0.5	300	0
19	19	-0.11154628468285	-0.2176736321	0	0	0	-0.11154628468285	-0.2176736321	NoCorrection	1000	B1	C1	1000	1000	0	0.5	300	0
20	20	-0.0263424256600001	-0.00266346435000028	0	0.273	0.967	-0.0263424256600001	-0.00266346435000028	ID	1000	B1	C1	1000	1000	0	0.5	300	0
21	21	-0.0309206643369999	0.0657904229500001	0	0.286	0.176	-0.0309206643369999	0.0657904229500001	1	1000	B1	C1	1000	1000	0	0.5	300	0.1
22	22	-0.0196714394255	0.08917002815	0	0.47	0.065	-0.0196714394255	0.08917002815	FGr	1000	B1	C1	1000	1000	0	0.5	300	0.1
23	23	0.0532536241231	0.27230894805	0	0.052	0	0.0532536241231	0.27230894805	NoCorrection	1000	B1	C1	1000	1000	0	0.5	300	0.1
24	24	-0.0263327886929001	0.0778075413000001	0	0.373	0.115	-0.0263327886929001	0.0778075413000001	ID	1000	B1	C1	1000	1000	0	0.5	300	0.1
25	25	-0.0094252707350001	0.0029278849999995	0	0.734	0.966	-0.0094252707350001	0.0029278849999995	1	10000	B1	C1	1000	1000	0	0.5	300	0
26	26	-0.00781778513750004	0.0077982584999998	0	0.768	0.912	-0.00781778513750004	0.0077982584999998	FGr	10000	B1	C1	1000	1000	0	0.5	300	0
27	27	0.0453483333830002	0.3586762755	0	0.07	0	0.0453483333830002	0.3586762755	NoCorrection	10000	B1	C1	1000	1000	0	0.5	300	0
28	28	-0.00848092419200007	0.00819684550000008	0	0.756	0.891	-0.00848092419200007	0.00819684550000008	ID	10000	B1	C1	1000	1000	0	0.5	300	0
29	29	0.018887049126	-0.0139972649999996	0	0.524	0.834	0.018887049126	-0.0139972649999996	1	10000	B1	C1	1000	1000	0	0.5	300	0.1
30	30	0.0190753815679999	-0.00472717849999981	0	0.53	0.957	0.0190753815679999	-0.00472717849999981	FGr	10000	B1	C1	1000	1000	0	0.5	300	0.1
31	31	0.0321965916955	0.0742417121	0	0.247	0.268	0.0321965916955	0.0742417121	NoCorrection	10000	B1	C1	1000	1000	0	0.5	300	0.1
32	32	0.0165905162418	-0.0161032124999996	0	0.545	0.803	0.0165905162418	-0.0161032124999996	ID	10000	B1	C1	1000	1000	0	0.5	300	0.1
33	33	-0.0285361441122	-0.00211479374499992	0	0.29	0.965	-0.0285361441122	-0.00211479374499992	1	1000	B1	C1	1000	10000	0	0.5	300	0
34	34	-0.01222371472422	0.030908780675	0	0.673	0.487	-0.01222371472422	0.030908780675	FGr	1000	B1	C1	1000	10000	0	0.5	300	0
35	35	-0.01863812700175	0.0181666129250002	0	0.483	0.665	-0.01863812700175	0.0181666129250002	NoCorrection	1000	B1	C1	1000	10000	0	0.5	300	0
36	36	-0.02157092956975	0.014452260905	0	0.42	0.753	-0.02157092956975	0.014452260905	ID	1000	B1	C1	1000	10000	0	0.5	300	0
37	37	-0.02024765108686	-0.00983734089500016	0	0.478	0.823	-0.02024765108686	-0.00983734089500016	1	1000	B1	C1	1000	10000	0	0.5	300	0.1
38	38	-0.0171442494755502	-0.00324713609	0	0.535	0.942	-0.0171442494755502	-0.00324713609	FGr	1000	B1	C1	1000	10000	0	0.5	300	0.1
39	39	0.0328932922381499	0.11639312153	0	0.287	0.007	0.0328932922381499	0.11639312153	NoCorrection	1000	B1	C1	1000	10000	0	0.5	300	0.1
40	40	-0.00998578500465502	0.0116963210499997	0	0.766	0.805	-0.00998578500465502	0.0116963210499997	ID	1000	B1	C1	1000	10000	0	0.5	300	0.1
41	41	-0.00446008973325001	0.0126910825700011	0	0.879	0.847	-0.00446008973325001	0.0126910825700011	1	10000	B1	C1	1000	10000	0	0.5	300	0
42	42	-0.01278491739565	-0.0408974116499998	0	0.648	0.527	-0.01278491739565	-0.0408974116499998	FGr	10000	B1	C1	1000	10000	0	0.5	300	0
43	43	-0.0854660747202451	-0.46263233716	0	0.005	0	-0.0854660747202451	-0.46263233716	NoCorrection	10000	B1	C1	1000	10000	0	0.5	300	0
44	44	-0.00999084233655	-0.0103602651400002	0	0.734	0.877	-0.00999084233655	-0.0103602651400002	ID	10000	B1	C1	1000	10000	0	0.5	300	0
45	45	0.0135527898135004	0.0379067914249992	0	0.596	0.538	0.0135527898135004	0.0379067914249992	1	10000	B1	C1	1000	10000	0	0.5	300	0.1
46	46	0.0158508518702998	0.0459776072699995	0	0.532	0.458	0.0158508518702998	0.0459776072699995	FGr	10000	B1	C1	1000	10000	0	0.5	300	0.1
47	47	0.0640766069322502	0.30742083535	0	0.005	0	0.0640766069322502	0.30742083535	NoCorrection	10000	B1	C1	1000	10000	0	0.5	300	0.1
48	48	0.0121230836854997	0.0243994058950002	0	0.63	0.679	0.0121230836854997	0.0243994058950002	ID	10000	B1	C1	1000	10000	0	0.5	300	0.1
49	49	0.00748752827000001	0.00616327350000001	0	0.574	0.804	0.00748752827000001	0.00616327350000001	1	1000	B1	C1	10000	100	0	0.5	300	0
50	50	0.00281143275200001	-0.00650806550000002	0	0.822	0.776	0.00281143275200001	-0.00650806550000002	FGr	1000	B1	C1	10000	100	0	0.5	300	0
51	51	0.02036760127	0.029417399	0	0.121	0.171	0.02036760127	0.029417399	NoCorrection	1000	B1	C1	10000	100	0	0.5	300	0
52	52	0.00168517492	-0.0086945235	0	0.889	0.683	0.00168517492	-0.0086945235	ID	1000	B1	C1	10000	100	0	0.5	300	0
53	53	0.00548766980200002	-0.00654812099999999	0	0.597	0.731	0.00548766980200002	-0.00654812099999999	1	1000	B1	C1	10000	100	0	0.5	300	0.1
