	V1	error	rep	config	gwas_size	test_size	L	type
1	1	0.999971447978621	C1	C1	1000	1000	500	FGr
2	2	0.999056709521047	C1	C1	1000	1000	810	FGr
3	3	0.995189241485535	C1	C1	1000	1000	1320	FGr
4	4	0.98563095403592	C1	C1	1000	1000	2100	FGr
5	5	0.983125050092803	C1	C1	1000	1000	3400	FGr
6	6	0.967860057054877	C1	C1	1000	1000	5500	FGr
7	7	0.950981007209753	C1	C1	1000	1000	9000	FGr
8	8	0.936973906469622	C1	C1	1000	1000	14600	FGr
9	9	0.911352549340913	C1	C1	1000	1000	23600	FGr
10	10	0.826903730917298	C1	C1	1000	1000	38200	FGr
11	11	0.788519087646716	C1	C1	1000	1000	61800	FGr
12	12	0.655954537805943	C1	C1	1000	1000	1e+05	FGr
13	13	0.998521529545032	C1	C1	1000	1000	500	PC1
14	14	0.999486370660473	C1	C1	1000	1000	810	PC1
15	15	0.968046098211749	C1	C1	1000	1000	1320	PC1
16	16	0.964395888619461	C1	C1	1000	1000	2100	PC1
17	17	0.970405466898172	C1	C1	1000	1000	3400	PC1
18	18	0.733119356253759	C1	C1	1000	1000	5500	PC1
19	19	0.465469139581369	C1	C1	1000	1000	9000	PC1
20	20	0.290564752728711	C1	C1	1000	1000	14600	PC1
21	21	0.169878646084957	C1	C1	1000	1000	23600	PC1
22	22	0.104490851617188	C1	C1	1000	1000	38200	PC1
23	23	0.0685142501578471	C1	C1	1000	1000	61800	PC1
24	24	0.0471186607088046	C1	C1	1000	1000	1e+05	PC1
25	1	0.999797909925093	C2	C1	1000	1000	500	FGr
26	2	0.99607388899653	C2	C1	1000	1000	810	FGr
27	3	0.990155732904492	C2	C1	1000	1000	1320	FGr
28	4	0.975519616695667	C2	C1	1000	1000	2100	FGr
29	5	0.977360175922904	C2	C1	1000	1000	3400	FGr
30	6	0.949552409469872	C2	C1	1000	1000	5500	FGr
31	7	0.948813005922215	C2	C1	1000	1000	9000	FGr
32	8	0.910286111115288	C2	C1	1000	1000	14600	FGr
33	9	0.802123065341925	C2	C1	1000	1000	23600	FGr
34	10	0.802374302685492	C2	C1	1000	1000	38200	FGr
35	11	0.745531641995227	C2	C1	1000	1000	61800	FGr
36	12	0.607141104445588	C2	C1	1000	1000	1e+05	FGr
37	13	0.999313837293158	C2	C1	1000	1000	500	PC1
38	14	0.957096870748968	C2	C1	1000	1000	810	PC1
39	15	0.999959284664313	C2	C1	1000	1000	1320	PC1
40	16	0.99917728100916	C2	C1	1000	1000	2100	PC1
41	17	0.791015630265245	C2	C1	1000	1000	3400	PC1
42	18	0.868482140470327	C2	C1	1000	1000	5500	PC1
43	19	0.438038016297222	C2	C1	1000	1000	9000	PC1
44	20	0.286037500679154	C2	C1	1000	1000	14600	PC1
45	21	0.188235110655619	C2	C1	1000	1000	23600	PC1
46	22	0.121959253685655	C2	C1	1000	1000	38200	PC1
47	23	0.0792850767025821	C2	C1	1000	1000	61800	PC1
48	24	0.0452856712989064	C2	C1	1000	1000	1e+05	PC1
49	1	0.997621110392402	C3	C1	1000	1000	500	FGr
50	2	0.988763648976652	C3	C1	1000	1000	810	FGr
51	3	0.979055308021444	C3	C1	1000	1000	1320	FGr
52	4	0.984718445474105	C3	C1	1000	1000	2100	FGr
53	5	0.970785084323983	C3	C1	1000	1000	3400	FGr
54	6	0.974485346486041	C3	C1	1000	1000	5500	FGr
55	7	0.929156464766831	C3	C1	1000	1000	9000	FGr
56	8	0.905729171952576	C3	C1	1000	1000	14600	FGr
57	9	0.86351887309425	C3	C1	1000	1000	23600	FGr
58	10	0.805114824770797	C3	C1	1000	1000	38200	FGr
59	11	0.736357708571333	C3	C1	1000	1000	61800	FGr
60	12	0.61292580107246	C3	C1	1000	1000	1e+05	FGr
61	13	0.998342292421145	C3	C1	1000	1000	500	PC1
62	14	0.999925128197277	C3	C1	1000	1000	810	PC1
63	15	0.983934311560457	C3	C1	1000	1000	1320	PC1
