	error	rep	config	gwas_size	test_size	L	type
1	0.911302729768731	C2	C1	1000	1000	500	FGr
2	0.815809383234179	C2	C1	1000	1000	1000	FGr
3	0.67087226070879	C2	C1	1000	1000	2000	FGr
4	0.589145983567767	C2	C1	1000	1000	3000	FGr
5	0.507574551995884	C2	C1	1000	1000	4000	FGr
6	0.453600635491978	C2	C1	1000	1000	5000	FGr
7	0.307432916039443	C2	C1	1000	1000	10000	FGr
8	0.181338413345165	C2	C1	1000	1000	20000	FGr
9	0.104650771468485	C2	C1	1000	1000	40000	FGr
10	0.0699315043270409	C2	C1	1000	1000	60000	FGr
11	0.052292113364131	C2	C1	1000	1000	80000	FGr
12	0.0376446793408282	C2	C1	1000	1000	1e+05	FGr
13	0.999974504251706	C2	C1	1000	1000	500	PC1
14	0.980490033430595	C2	C1	1000	1000	1000	PC1
15	0.954048286689229	C2	C1	1000	1000	2000	PC1
16	0.935846112025187	C2	C1	1000	1000	3000	PC1
17	0.772180217694251	C2	C1	1000	1000	4000	PC1
18	0.617605716206441	C2	C1	1000	1000	5000	PC1
19	0.436280251842624	C2	C1	1000	1000	10000	PC1
20	0.189446680128542	C2	C1	1000	1000	20000	PC1
21	0.116635727088728	C2	C1	1000	1000	40000	PC1
22	0.0786647500680436	C2	C1	1000	1000	60000	PC1
23	0.0548193873600027	C2	C1	1000	1000	80000	PC1
24	0.0417112510541182	C2	C1	1000	1000	1e+05	PC1
