	V1	c-q	nc-q	true-q	c-p	nc-p	c-bias	nc-bias	type	L	rep	config	gwas_size	test_size	h2	ts	num_causal	env
1	1	0.00166501441500001	0.014069607	0	0.451	0.058	0.00166501441500001	0.014069607	1	500	C1	C1	1000	1000	0	0.5	500	0
2	2	0.0017439645475	0.01334606825	0	0.39	0.072	0.0017439645475	0.01334606825	FGr	500	C1	C1	1000	1000	0	0.5	500	0
3	3	0.001740516108	0.0133313135999999	0	0.41	0.074	0.001740516108	0.0133313135999999	NoCorrection	500	C1	C1	1000	1000	0	0.5	500	0
4	4	0.001747797421	0.0133475912	0	0.405	0.068	0.001747797421	0.0133475912	ID	500	C1	C1	1000	1000	0	0.5	500	0
5	5	-0.00424901512	0.00554408800000002	0	0.183	0.522	-0.00424901512	0.00554408800000002	1	500	C1	C1	1000	1000	0	0.5	500	1
6	6	-0.004258025701	0.00595025450000001	0	0.185	0.484	-0.004258025701	0.00595025450000001	FGr	500	C1	C1	1000	1000	0	0.5	500	1
7	7	-0.0042627306355	0.006968591	0	0.162	0.394	-0.0042627306355	0.006968591	NoCorrection	500	C1	C1	1000	1000	0	0.5	500	1
8	8	-0.00445201511199999	0.00119026415	0	0.1	0.853	-0.00445201511199999	0.00119026415	ID	500	C1	C1	1000	1000	0	0.5	500	1
9	9	0.00599295378	-0.0160432419999998	0	0.184	0.155	0.00599295378	-0.0160432419999998	1	810	C1	C1	1000	1000	0	0.5	810	0
10	10	0.00595946281	-0.0145859685	0	0.188	0.191	0.00595946281	-0.0145859685	FGr	810	C1	C1	1000	1000	0	0.5	810	0
11	11	0.00595786913	-0.0145837516	0	0.213	0.2	0.00595786913	-0.0145837516	NoCorrection	810	C1	C1	1000	1000	0	0.5	810	0
12	12	0.006020943585	-0.0149073450000001	0	0.223	0.173	0.006020943585	-0.0149073450000001	ID	810	C1	C1	1000	1000	0	0.5	810	0
13	13	0.00163084998999998	0.0103147885	0	0.694	0.369	0.00163084998999998	0.0103147885	1	810	C1	C1	1000	1000	0	0.5	810	1
14	14	0.00160592683000004	0.0135615125000001	0	0.714	0.207	0.00160592683000004	0.0135615125000001	FGr	810	C1	C1	1000	1000	0	0.5	810	1
15	15	0.00159603236499999	0.0146834775	0	0.699	0.182	0.00159603236499999	0.0146834775	NoCorrection	810	C1	C1	1000	1000	0	0.5	810	1
16	16	0.000290703339999992	-0.000460843400000018	0	0.925	0.976	0.000290703339999992	-0.000460843400000018	ID	810	C1	C1	1000	1000	0	0.5	810	1
17	17	0.00315230921600002	0.0050384615	0	0.421	0.667	0.00315230921600002	0.0050384615	1	1320	C1	C1	1000	1000	0	0.5	1320	0
18	18	0.00312926084849997	0.00450810939999999	0	0.432	0.715	0.00312926084849997	0.00450810939999999	FGr	1320	C1	C1	1000	1000	0	0.5	1320	0
19	19	0.00304192271499996	0.00523194	0	0.424	0.666	0.00304192271499996	0.00523194	NoCorrection	1320	C1	C1	1000	1000	0	0.5	1320	0
20	20	0.00324756950099998	0.0064322278	0	0.417	0.579	0.00324756950099998	0.0064322278	ID	1320	C1	C1	1000	1000	0	0.5	1320	0
21	21	-0.00504254202500001	0.00264712049999999	0	0.471	0.871	-0.00504254202500001	0.00264712049999999	1	1320	C1	C1	1000	1000	0	0.5	1320	1
22	22	-0.00495218282000001	0.009577338	0	0.502	0.542	-0.00495218282000001	0.009577338	FGr	1320	C1	C1	1000	1000	0	0.5	1320	1
23	23	-0.00489625933	0.00960505	0	0.468	0.52	-0.00489625933	0.00960505	NoCorrection	1320	C1	C1	1000	1000	0	0.5	1320	1
24	24	-0.00994370466000001	-1.14412499999818e-05	0	0.107	1	-0.00994370466000001	-1.14412499999818e-05	ID	1320	C1	C1	1000	1000	0	0.5	1320	1
25	25	-0.00298957556500011	0.0136935403999998	0	0.741	0.419	-0.00298957556500011	0.0136935403999998	1	2100	C1	C1	1000	1000	0	0.5	2100	0
26	26	-0.00316843919049991	0.0150327093000005	0	0.722	0.397	-0.00316843919049991	0.0150327093000005	FGr	2100	C1	C1	1000	1000	0	0.5	2100	0
27	27	-0.00292996952249992	0.0136460680000001	0	0.726	0.396	-0.00292996952249992	0.0136460680000001	NoCorrection	2100	C1	C1	1000	1000	0	0.5	2100	0
28	28	-0.00327313310650005	0.01091174135	0	0.742	0.523	-0.00327313310650005	0.01091174135	ID	2100	C1	C1	1000	1000	0	0.5	2100	0
29	29	0.013258726354	0.0309364943000001	0	0.057	0.046	0.013258726354	0.0309364943000001	1	2100	C1	C1	1000	1000	0	0.5	2100	1
30	30	0.0136110931685001	0.017879316	0	0.049	0.268	0.0136110931685001	0.017879316	FGr	2100	C1	C1	1000	1000	0	0.5	2100	1
31	31	0.0141321658624999	0.0237817790000001	0	0.032	0.166	0.0141321658624999	0.0237817790000001	NoCorrection	2100	C1	C1	1000	1000	0	0.5	2100	1
32	32	0.0083561921185	0.00561153494999983	0	0.168	0.702	0.0083561921185	0.00561153494999983	ID	2100	C1	C1	1000	1000	0	0.5	2100	1
33	33	0.00370965309550005	0.0174583391499994	0	0.67	0.379	0.00370965309550005	0.0174583391499994	1	3400	C1	C1	1000	1000	0	0.5	3400	0
34	34	0.0033292470255	0.0149767893500005	0	0.692	0.442	0.0033292470255	0.0149767893500005	FGr	3400	C1	C1	1000	1000	0	0.5	3400	0
35	35	0.00369194850249992	0.0172847042999994	0	0.666	0.384	0.00369194850249992	0.0172847042999994	NoCorrection	3400	C1	C1	1000	1000	0	0.5	3400	0
36	36	0.00374719332299999	0.0155698817500002	0	0.677	0.411	0.00374719332299999	0.0155698817500002	ID	3400	C1	C1	1000	1000	0	0.5	3400	0
37	37	-0.00445410527800001	0.00546659649999966	0	0.625	0.795	-0.00445410527800001	0.00546659649999966	1	3400	C1	C1	1000	1000	0	0.5	3400	1
38	38	-0.00275444910999998	-0.00361807600000002	0	0.764	0.85	-0.00275444910999998	-0.00361807600000002	FGr	3400	C1	C1	1000	1000	0	0.5	3400	1
39	39	-0.00448159407499998	0.00382493300000006	0	0.611	0.86	-0.00448159407499998	0.00382493300000006	NoCorrection	3400	C1	C1	1000	1000	0	0.5	3400	1
40	40	-0.00716917308700005	-2.7388699999892e-05	0	0.346	0.999	-0.00716917308700005	-2.7388699999892e-05	ID	3400	C1	C1	1000	1000	0	0.5	3400	1
41	41	-0.00440701466700001	0.00172057780000074	0	0.679	0.953	-0.00440701466700001	0.00172057780000074	1	5500	C1	C1	1000	1000	0	0.5	5500	0
42	42	-0.0045894890595	-0.00515577954999986	0	0.671	0.822	-0.0045894890595	-0.00515577954999986	FGr	5500	C1	C1	1000	1000	0	0.5	5500	0
43	43	-0.004489125519	-0.00491461470000006	0	0.668	0.842	-0.004489125519	-0.00491461470000006	NoCorrection	5500	C1	C1	1000	1000	0	0.5	5500	0
44	44	-0.00409897106350002	-0.00170847519999951	0	0.677	0.929	-0.00409897106350002	-0.00170847519999951	ID	5500	C1	C1	1000	1000	0	0.5	5500	0
45	45	0.0191882313299999	0.0161630907499999	0	0.107	0.498	0.0191882313299999	0.0161630907499999	1	5500	C1	C1	1000	1000	0	0.5	5500	1
46	46	0.0218161960215	0.0396592578500001	0	0.064	0.134	0.0218161960215	0.0396592578500001	FGr	5500	C1	C1	1000	1000	0	0.5	5500	1
47	47	0.0218155521108501	0.0353702180499999	0	0.053	0.147	0.0218155521108501	0.0353702180499999	NoCorrection	5500	C1	C1	1000	1000	0	0.5	5500	1
48	48	0.0121593331555003	0.0104195098	0	0.258	0.626	0.0121593331555003	0.0104195098	ID	5500	C1	C1	1000	1000	0	0.5	5500	1
49	49	0.0103958215350001	0.0365088603	0	0.489	0.24	0.0103958215350001	0.0365088603	1	9000	C1	C1	1000	1000	0	0.5	9000	0
50	50	0.00997896010400007	0.0421149048000002	0	0.499	0.192	0.00997896010400007	0.0421149048000002	FGr	9000	C1	C1	1000	1000	0	0.5	9000	0
51	51	0.010000365279	0.0454117197000002	0	0.503	0.146	0.010000365279	0.0454117197000002	NoCorrection	9000	C1	C1	1000	1000	0	0.5	9000	0
52	52	0.0111534520260002	0.0393367941000003	0	0.426	0.222	0.0111534520260002	0.0393367941000003	ID	9000	C1	C1	1000	1000	0	0.5	9000	0
53	53	-0.000663916096099971	-0.0388149466999999	0	0.96	0.233	-0.000663916096099971	-0.0388149466999999	1	9000	C1	C1	1000	1000	0	0.5	9000	1
54	54	0.00312347659599998	0.00512946510000004	0	0.842	0.871	0.00312347659599998	0.00512946510000004	FGr	9000	C1	C1	1000	1000	0	0.5	9000	1
55	55	0.00317907040900001	-0.00649640269999998	0	0.82	0.834	0.00317907040900001	-0.00649640269999998	NoCorrection	9000	C1	C1	1000	1000	0	0.5	9000	1
56	56	-0.0105803380224	-0.0889393831999998	0	0.46	0.001	-0.0105803380224	-0.0889393831999998	ID	9000	C1	C1	1000	1000	0	0.5	9000	1
57	57	-0.016246569356	0.00811782654999971	0	0.361	0.826	-0.016246569356	0.00811782654999971	1	14600	C1	C1	1000	1000	0	0.5	14600	0
