	V1	c-q	nc-q	true-q	c-p	nc-p	c-bias	nc-bias	type	L	stan-c	stan-nc	rep	config	gwas_size	test_size	h2	ts	num_causal	env
1	1	0.0342388809999997	0.873811650000004	0	0.913	0.286	0.0342388809999997	0.873811650000004	1	500	0.111730248706298	1.08593270172234	C1	C1	1000	1000	0	0.5	500	
2	2	0.0375989099999984	0.79336309999999	0	0.921	0.302	0.0375989099999984	0.79336309999999	FGr	500	0.119280785410798	1.03924956949966	C1	C1	1000	1000	0	0.5	500	
3	3	0.0372798200000032	0.793093200000008	0	0.916	0.33	0.0372798200000032	0.793093200000008	NoCorrection	500	0.121494212769621	1.01276816669676	C1	C1	1000	1000	0	0.5	500	
4	4	0.000732159950000006	0.0108386058	0	0.722	0.08	0.000732159950000006	0.0108386058	ID	500	0.390348517573292	1.73082566732072	C1	C1	1000	1000	0	0.5	500	
5	5	0.162364256099994	1.28237048	0	0.703	0.138	0.162364256099994	1.28237048	1	810	0.422957507473033	1.52380303480739	C1	C1	1000	1000	0	0.5	810	
6	6	0.158400557900002	1.50938261	0	0.694	0.067	0.158400557900002	1.50938261	FGr	810	0.423317411313387	1.88344799295803	C1	C1	1000	1000	0	0.5	810	
7	7	0.160728234999999	1.266174185	0	0.705	0.119	0.160728234999999	1.266174185	NoCorrection	810	0.435444263050091	1.56531526209336	C1	C1	1000	1000	0	0.5	810	
8	8	0.00152710937	0.0134477322	0	0.586	0.129	0.00152710937	0.0134477322	ID	810	0.556005824007684	1.54938119361156	C1	C1	1000	1000	0	0.5	810	
9	9	0.340001950499998	-0.171418170000002	0	0.107	0.75	0.340001950499998	-0.171418170000002	1	1320	1.62913475830241	-0.317507978631437	C1	C1	1000	1000	0	0.5	1320	
10	10	0.361112451150001	0.533494429999998	0	0.111	0.346	0.361112451150001	0.533494429999998	FGr	1320	1.59055013952691	0.934276997865949	C1	C1	1000	1000	0	0.5	1320	
11	11	0.352166870999997	0.640684015	0	0.089	0.297	0.352166870999997	0.640684015	NoCorrection	1320	1.65597615574858	1.07355299147325	C1	C1	1000	1000	0	0.5	1320	
12	12	0.00608441310499999	0.0075226389	0	0.27	0.625	0.00608441310499999	0.0075226389	ID	1320	1.13095515899169	0.500087935981992	C1	C1	1000	1000	0	0.5	1320	
13	13	0.260399889000003	0.681644079999999	0	0.247	0.134	0.260399889000003	0.681644079999999	1	2100	1.19101197408853	1.51681937378566	C1	C1	1000	1000	0	0.5	2100	
14	14	0.262233895400002	0.548056165	0	0.227	0.234	0.262233895400002	0.548056165	FGr	2100	1.2386627840112	1.19531810550387	C1	C1	1000	1000	0	0.5	2100	
15	15	0.293750694408998	0.37219986	0	0.174	0.409	0.293750694408998	0.37219986	NoCorrection	2100	1.34861245285566	0.793833990400174	C1	C1	1000	1000	0	0.5	2100	
16	16	0.00277402173900005	-0.00413351505	0	0.712	0.781	0.00277402173900005	-0.00413351505	ID	2100	0.399544113031723	-0.288610945501736	C1	C1	1000	1000	0	0.5	2100	
17	17	0.0942186423215002	0.450193000000002	0	0.538	0.192	0.0942186423215002	0.450193000000002	1	3400	0.620429172600886	1.28197328599009	C1	C1	1000	1000	0	0.5	3400	
