	V1	c-q	nc-q	true-q	c-p	nc-p	c-bias	nc-bias	type	L	stan-c	stan-nc	rep	config	gwas_size	test_size	h2	ts	num_causal	env
1	1	-0.674279096000004	0.11384175	0	0.1	0.8	-0.674279096000004	0.11384175	J1	500	-1.33980338035466	0.13898775242185	C2	C1	1000	1000	0	0.5	500	
2	2	0.446199793500002	0.330611539999998	0	0.3	0.5	0.446199793500002	0.330611539999998	J1	810	1.1837404136731	0.54000254956478	C2	C1	1000	1000	0	0.5	810	
3	3	0.0575915874999999	2.023909805	0	0.9	0	0.0575915874999999	2.023909805	J1	1320	0.230952281605005	2.22318680261948	C2	C1	1000	1000	0	0.5	1320	
4	4	0.1889757064	0.851834534999999	0	0.1	0.2	0.1889757064	0.851834534999999	J1	2100	1.51874482090481	1.48409776933255	C2	C1	1000	1000	0	0.5	2100	
5	5	0.0123212474	0.34484962	0	1	0.4	0.0123212474	0.34484962	J1	3400	0.081651857901564	0.861958093889055	C2	C1	1000	1000	0	0.5	3400	
6	6	0.0953894050000002	0.292393971499998	0	0	0	0.0953894050000002	0.292393971499998	J1	5500	2.11886961483749	1.73529269064102	C2	C1	1000	1000	0	0.5	5500	
7	7	-0.17407336015	-0.4820941205	0	0	0	-0.17407336015	-0.4820941205	J1	9000	-3.1708294052241	-3.53745225805092	C2	C1	1000	1000	0	0.5	9000	
8	8	-0.0264552085074999	-0.310702439	0	0.4	0	-0.0264552085074999	-0.310702439	J1	14600	-0.504773220049959	-2.46318774329892	C2	C1	1000	1000	0	0.5	14600	
9	9	-0.0183199879013997	-0.1590650085	0	0.6	0.1	-0.0183199879013997	-0.1590650085	J1	23600	-0.590130266017192	-3.51633494933125	C2	C1	1000	1000	0	0.5	23600	
10	10	-0.0929733949159493	-0.3380655455	0	0	0	-0.0929733949159493	-0.3380655455	J1	38200	-3.87399671198587	-4.38396660303536	C2	C1	1000	1000	0	0.5	38200	
11	11	-0.0692547852385	-0.14904924075	0	0	0	-0.0692547852385	-0.14904924075	J1	61800	-1.78424663068046	-2.06325474168326	C2	C1	1000	1000	0	0.5	61800	
12	12	-0.0162605234956898	-0.0326934979000004	0	0.5	0.9	-0.0162605234956898	-0.0326934979000004	J1	1e+05	-0.554862921829117	-0.237921905552878	C2	C1	1000	1000	0	0.5	1e+05	
13	1	0.365972106	0.554283350000007	0	0.7	0.6	0.365972106	0.554283350000007	J1	500	0.776982590410893	0.490825168510509	C3	C1	1000	1000	0	0.5	500	
14	2	0.344810225600001	1.16875943	0	0.1	0	0.344810225600001	1.16875943	J1	810	1.3028289771207	2.20996802646446	C3	C1	1000	1000	0	0.5	810	
15	3	0.025054289999997	1.55083068	0	0.9	0	0.025054289999997	1.55083068	J1	1320	0.128012288116324	1.94246782152044	C3	C1	1000	1000	0	0.5	1320	
16	4	-0.0162219311500022	0.524737554999999	0	1	0.5	-0.0162219311500022	0.524737554999999	J1	2100	-0.0524584528122731	1.11371032607904	C3	C1	1000	1000	0	0.5	2100	
17	5	0.46130648085	0.695673225	0	0	0	0.46130648085	0.695673225	J1	3400	4.11874612609064	2.0376754730073	C3	C1	1000	1000	0	0.5	3400	
18	6	-0.0612110080129999	-0.107983055999998	0	0.3	0.6	-0.0612110080129999	-0.107983055999998	J1	5500	-0.863457531116441	-0.469615675273413	C3	C1	1000	1000	0	0.5	5500	
19	7	-0.0467298522104999	-0.544672403	0	0.4	0	-0.0467298522104999	-0.544672403	J1	9000	-0.862079022780478	-4.35564286456805	C3	C1	1000	1000	0	0.5	9000	
20	8	-0.1410231501933	-0.4080775265	0	0	0	-0.1410231501933	-0.4080775265	J1	14600	-2.45822701172198	-4.08875913716628	C3	C1	1000	1000	0	0.5	14600	
21	9	-0.113899650539	-0.396823986999999	0	0	0	-0.113899650539	-0.396823986999999	J1	23600	-2.56276501605183	-3.32483018684578	C3	C1	1000	1000	0	0.5	23600	
22	10	-0.0514512939136451	-0.204995151050001	0	0.2	0.1	-0.0514512939136451	-0.204995151050001	J1	38200	-1.45584390711657	-2.19047654124547	C3	C1	1000	1000	0	0.5	38200	
23	11	-0.0705619027421501	-0.153092709999999	0	0	0.1	-0.0705619027421501	-0.153092709999999	J1	61800	-2.15805366178636	-1.67214053300856	C3	C1	1000	1000	0	0.5	61800	
24	12	-0.0194617583594341	-0.06416821495	0	0.4	0.3	-0.0194617583594341	-0.06416821495	J1	1e+05	-0.448500051390422	-0.707934287905907	C3	C1	1000	1000	0	0.5	1e+05	
25	1	-0.315422874000002	0.728425049999996	0	0.6	0.6	-0.315422874000002	0.728425049999996	J1	500	-0.689159014559162	0.717725611688794	C4	C1	1000	1000	0	0.5	500	
26	2	0.1167218946	0.231290875000002	0	0.6	0.6	0.1167218946	0.231290875000002	J1	810	0.373637703691282	0.422155957356489	C4	C1	1000	1000	0	0.5	810	
27	3	0.1023950999	1.48731559	0	0.6	0	0.1023950999	1.48731559	J1	1320	0.626868790968897	2.36248143118095	C4	C1	1000	1000	0	0.5	1320	
28	4	0.0679292229000001	0.408167644999997	0	0.6	0.3	0.0679292229000001	0.408167644999997	J1	2100	0.314302313166577	0.867362260337549	C4	C1	1000	1000	0	0.5	2100	
29	5	0.218255124349998	0.328766885	0	0.1	0	0.218255124349998	0.328766885	J1	3400	1.53027583671492	2.56248191251676	C4	C1	1000	1000	0	0.5	3400	
30	6	0.0779796687250002	0.130457382999999	0	0.2	0.7	0.0779796687250002	0.130457382999999	J1	5500	1.30516986685833	0.542409179182189	C4	C1	1000	1000	0	0.5	5500	
31	7	-0.0825898375626201	-0.391547709000003	0	0.1	0.3	-0.0825898375626201	-0.391547709000003	J1	9000	-1.49961087778691	-1.52269924226023	C4	C1	1000	1000	0	0.5	9000	
32	8	-0.0995684962	-0.577687006000001	0	0	0	-0.0995684962	-0.577687006000001	J1	14600	-4.89008718275847	-4.91204039960521	C4	C1	1000	1000	0	0.5	14600	
33	9	-0.1063760277575	-0.3197899245	0	0	0	-0.1063760277575	-0.3197899245	J1	23600	-3.84527777959677	-3.22705943399654	C4	C1	1000	1000	0	0.5	23600	
34	10	-0.0950172227254506	-0.18941414645	0	0	0	-0.0950172227254506	-0.18941414645	J1	38200	-4.50582426465406	-2.63663951661464	C4	C1	1000	1000	0	0.5	38200	
35	11	-0.0358139977124499	-0.0937818689499998	0	0.5	0.1	-0.0358139977124499	-0.0937818689499998	J1	61800	-0.95827816852016	-1.72428866666505	C4	C1	1000	1000	0	0.5	61800	
36	12	-0.0295283668483001	-0.112808285700001	0	0.3	0.3	-0.0295283668483001	-0.112808285700001	J1	1e+05	-0.580926090460053	-1.02437640034456	C4	C1	1000	1000	0	0.5	1e+05	
37	1	0.678857603	0.31367555	0	0.1	0.7	0.678857603	0.31367555	J1	500	1.28887945682773	0.268805955573759	C5	C1	1000	1000	0	0.5	500	
38	2	-0.4285216284	1.04369371	0	0	0.3	-0.4285216284	1.04369371	J1	810	-1.93680131089377	0.934163838822959	C5	C1	1000	1000	0	0.5	810	
39	3	0.1129137266	0.652893885000009	0	0.7	0.3	0.1129137266	0.652893885000009	J1	1320	0.408708429891023	0.905654436797942	C5	C1	1000	1000	0	0.5	1320	
40	4	0.183727314100003	0.303377235000001	0	0.4	0.5	0.183727314100003	0.303377235000001	J1	2100	0.836326832672633	0.928854000111724	C5	C1	1000	1000	0	0.5	2100	
41	5	0.0457851344250013	1.14363956	0	0.6	0	0.0457851344250013	1.14363956	J1	3400	0.444365940338732	2.19024812733854	C5	C1	1000	1000	0	0.5	3400	
42	6	-0.0410997017560005	0.0701847965000001	0	1	0.6	-0.0410997017560005	0.0701847965000001	J1	5500	-0.376198279035378	0.404624275127525	C5	C1	1000	1000	0	0.5	5500	
43	7	0.0236333219324997	-0.382770894999999	0	0.8	0	0.0236333219324997	-0.382770894999999	J1	9000	0.392154830199941	-2.94047085928847	C5	C1	1000	1000	0	0.5	9000	
44	8	-0.0484490740805	-0.42039525	0	0	0	-0.0484490740805	-0.42039525	J1	14600	-1.74085615149517	-3.26530299234677	C5	C1	1000	1000	0	0.5	14600	
45	9	-0.0254373241404997	-0.343955083500001	0	0.4	0	-0.0254373241404997	-0.343955083500001	J1	23600	-0.80553605971606	-3.55044602680398	C5	C1	1000	1000	0	0.5	23600	
46	10	-0.0321160299491	-0.18916800185	0	0.3	0	-0.0321160299491	-0.18916800185	J1	38200	-0.858534865370732	-1.95145898219202	C5	C1	1000	1000	0	0.5	38200	
47	11	-0.0221137453440002	-0.00375535844999794	0	0.6	1	-0.0221137453440002	-0.00375535844999794	J1	61800	-0.665177482640259	-0.0482150026651882	C5	C1	1000	1000	0	0.5	61800	
48	12	-0.0238121782044093	-0.201196645300001	0	0.8	0.1	-0.0238121782044093	-0.201196645300001	J1	1e+05	-0.538935401397666	-1.86964171516167	C5	C1	1000	1000	0	0.5	1e+05	
49	1	0.700481999999998	1.34351155	0	0.3	0	0.700481999999998	1.34351155	J1	500	1.28070488449708	2.64034238992998	C6	C1	1000	1000	0	0.5	500	
50	2	-0.0037963604499992	1.543701935	0	0.9	0.1	-0.0037963604499992	1.543701935	J1	810	-0.0110123841008801	1.7736911174471	C6	C1	1000	1000	0	0.5	810	
51	3	0.235526767500003	0.308506265000003	0	0	0.4	0.235526767500003	0.308506265000003	J1	1320	2.04256790271191	0.764989187936797	C6	C1	1000	1000	0	0.5	1320	
52	4	0.1706279355	1.047635885	0	0.2	0	0.1706279355	1.047635885	J1	2100	1.15573207281999	2.53721840021053	C6	C1	1000	1000	0	0.5	2100	
53	5	0.217434816499999	1.155405985	0	0.2	0	0.217434816499999	1.155405985	J1	3400	1.19846868729652	3.01788949550082	C6	C1	1000	1000	0	0.5	3400	
