	V1	c-q	nc-q	true-q	c-p	nc-p	c-bias	nc-bias	type	L	stan-c	stan-nc	rep	config	gwas_size	test_size	h2	ts	num_causal	env
1	1	-0.704875896500007	0.425866500000009	0	0.2	0.5	-0.704875896500007	0.425866500000009	J10	500	-1.51971808524102	0.455889799652494	C2	C1	1000	1000	0	0.5	500	
2	2	0.326985120499999	0.503717024999998	0	0.3	0.7	0.326985120499999	0.503717024999998	J10	810	0.840265318942447	0.591032317913216	C2	C1	1000	1000	0	0.5	810	
3	3	-0.0308763363000003	1.527573285	0	0.8	0	-0.0308763363000003	1.527573285	J10	1320	-0.1617992814699	2.48866600914021	C2	C1	1000	1000	0	0.5	1320	
4	4	0.13473995971	-0.118345830000002	0	0.4	0.8	0.13473995971	-0.118345830000002	J10	2100	0.884647173228298	-0.236906856233457	C2	C1	1000	1000	0	0.5	2100	
5	5	-0.0180288492	-0.220421995000001	0	0.9	0.6	-0.0180288492	-0.220421995000001	J10	3400	-0.113730206452939	-0.595560750215365	C2	C1	1000	1000	0	0.5	3400	
6	6	0.02251767589	0.213337791500002	0	0.6	0.4	0.02251767589	0.213337791500002	J10	5500	0.45470987247867	1.38988688522951	C2	C1	1000	1000	0	0.5	5500	
7	7	-0.06253554607	-0.148368891	0	0.2	0.4	-0.06253554607	-0.148368891	J10	9000	-1.04399320703379	-0.865119054656488	C2	C1	1000	1000	0	0.5	9000	
8	8	0.0325308691500001	-0.1299167	0	0.8	0.2	0.0325308691500001	-0.1299167	J10	14600	0.716275172020029	-1.29120830083896	C2	C1	1000	1000	0	0.5	14600	
9	9	0.0266771877249646	0.0271426260000019	0	0.5	0.5	0.0266771877249646	0.0271426260000019	J10	23600	0.717629793107284	0.440244054757872	C2	C1	1000	1000	0	0.5	23600	
10	10	-0.0519990565351997	0.0568082442999996	0	0	0.4	-0.0519990565351997	0.0568082442999996	J10	38200	-1.95770920116033	0.606299960514821	C2	C1	1000	1000	0	0.5	38200	
11	11	-0.0349951321484002	-0.0152459432000001	0	0.5	0.8	-0.0349951321484002	-0.0152459432000001	J10	61800	-0.969671625599252	-0.143940903011872	C2	C1	1000	1000	0	0.5	61800	
12	12	-0.02508502991473	-0.11113740515	0	0.7	0.4	-0.02508502991473	-0.11113740515	J10	1e+05	-0.559517397515487	-1.13040526054042	C2	C1	1000	1000	0	0.5	1e+05	
13	1	0.422154979	0.296020599999997	0	0.5	0.8	0.422154979	0.296020599999997	J10	500	0.775513996020764	0.333489947225811	C3	C1	1000	1000	0	0.5	500	
14	2	0.41450198641	1.967450025	0	0.4	0	0.41450198641	1.967450025	J10	810	1.18226256215625	3.34868472985157	C3	C1	1000	1000	0	0.5	810	
15	3	0.0282491453499994	1.90464231999999	0	1	0	0.0282491453499994	1.90464231999999	J10	1320	0.0863542720054768	2.637455337384	C3	C1	1000	1000	0	0.5	1320	
16	4	-0.146410254100001	0.52215108	0	0.6	0.1	-0.146410254100001	0.52215108	J10	2100	-0.591604922261636	1.50096917360269	C3	C1	1000	1000	0	0.5	2100	
17	5	0.14878661015	0.238713679999996	0	0.1	0.4	0.14878661015	0.238713679999996	J10	3400	1.37427965309595	0.736045377638534	C3	C1	1000	1000	0	0.5	3400	
18	6	-0.1195849396	-0.1243272285	0	0.2	0.5	-0.1195849396	-0.1243272285	J10	5500	-1.21837303096794	-0.567136197832746	C3	C1	1000	1000	0	0.5	5500	
19	7	0.00589588148499998	-0.195897118	0	0.9	0.1	0.00589588148499998	-0.195897118	J10	9000	0.0814644613800337	-1.86970596257291	C3	C1	1000	1000	0	0.5	9000	
20	8	-0.0678358457000002	-0.1291971125	0	0.3	0.3	-0.0678358457000002	-0.1291971125	J10	14600	-1.4861096134426	-1.55200356960457	C3	C1	1000	1000	0	0.5	14600	
21	9	-0.018012239221	0.0473766475000001	0	0.4	0.7	-0.018012239221	0.0473766475000001	J10	23600	-0.811881146505353	0.530501420696122	C3	C1	1000	1000	0	0.5	23600	
22	10	-0.0229294780674499	0.0326381248500001	0	0.5	0.9	-0.0229294780674499	0.0326381248500001	J10	38200	-0.730100697055097	0.465641072842711	C3	C1	1000	1000	0	0.5	38200	
23	11	-0.0422181727342502	-0.07393559	0	0.2	0.3	-0.0422181727342502	-0.07393559	J10	61800	-1.11392177268269	-0.936997024485975	C3	C1	1000	1000	0	0.5	61800	
24	12	0.0188997047261452	0.1237305814	0	0.7	0.3	0.0188997047261452	0.1237305814	J10	1e+05	0.540730232680859	1.27757213940247	C3	C1	1000	1000	0	0.5	1e+05	
25	1	-0.241478340000007	-0.111931750000004	0	0.5	1	-0.241478340000007	-0.111931750000004	J10	500	-0.773300030991619	-0.122414292500789	C4	C1	1000	1000	0	0.5	500	
26	2	-0.00134968430000112	0.626955400000004	0	1	0.3	-0.00134968430000112	0.626955400000004	J10	810	-0.00389669287240557	1.03994962980052	C4	C1	1000	1000	0	0.5	810	
27	3	-0.0440718196750015	0.953011385	0	1	0.2	-0.0440718196750015	0.953011385	J10	1320	-0.288750275199452	1.72755024296405	C4	C1	1000	1000	0	0.5	1320	
28	4	0.00851619410499923	0.29184608	0	1	0.3	0.00851619410499923	0.29184608	J10	2100	0.0426730279366403	0.738920809756763	C4	C1	1000	1000	0	0.5	2100	
29	5	0.0152407476999995	0.142962594999992	0	0.9	0.6	0.0152407476999995	0.142962594999992	J10	3400	0.123935630570961	0.56325251686412	C4	C1	1000	1000	0	0.5	3400	
30	6	0.0788697919550001	-0.00290256399999537	0	0.3	1	0.0788697919550001	-0.00290256399999537	J10	5500	1.2491934232476	-0.0145767386180975	C4	C1	1000	1000	0	0.5	5500	
31	7	-0.0358480280200008	-0.178445866499997	0	0.6	0.1	-0.0358480280200008	-0.178445866499997	J10	9000	-0.793549195310657	-2.11388129908008	C4	C1	1000	1000	0	0.5	9000	
32	8	-0.00221622347600028	-0.191826840500001	0	1	0.2	-0.00221622347600028	-0.191826840500001	J10	14600	-0.0372287815804034	-1.31740820415084	C4	C1	1000	1000	0	0.5	14600	
33	9	-0.0606391686056	0.0303799215000001	0	0	0.9	-0.0606391686056	0.0303799215000001	J10	23600	-2.17065831337249	0.304413368553065	C4	C1	1000	1000	0	0.5	23600	
34	10	-0.0505237026082007	0.0189362329999997	0	0	0.9	-0.0505237026082007	0.0189362329999997	J10	38200	-2.14180260444186	0.282825079123469	C4	C1	1000	1000	0	0.5	38200	
35	11	-0.000930597170029866	0.0955273758500003	0	1	0.3	-0.000930597170029866	0.0955273758500003	J10	61800	-0.0299450713765679	1.11299695877649	C4	C1	1000	1000	0	0.5	61800	
36	12	-0.00403088379380008	0.0220363195999993	0	1	0.9	-0.00403088379380008	0.0220363195999993	J10	1e+05	-0.120139014850927	0.280423713744181	C4	C1	1000	1000	0	0.5	1e+05	
37	1	0.591065364799998	0.036787949999995	0	0.3	1	0.591065364799998	0.036787949999995	J10	500	1.17009817307937	0.0409718093265653	C5	C1	1000	1000	0	0.5	500	
38	2	-0.4851630405	0.928334615	0	0	0.1	-0.4851630405	0.928334615	J10	810	-3.48859908118715	1.37369912772877	C5	C1	1000	1000	0	0.5	810	
39	3	0.0604101880000008	0.646328505000003	0	0.6	0.2	0.0604101880000008	0.646328505000003	J10	1320	0.268187891274096	1.14232930891042	C5	C1	1000	1000	0	0.5	1320	
40	4	0.260649213399999	0.272625535000006	0	0.2	0	0.260649213399999	0.272625535000006	J10	2100	1.44141953692576	2.28737792226269	C5	C1	1000	1000	0	0.5	2100	
41	5	0.0482327548199986	1.08710441	0	0.9	0	0.0482327548199986	1.08710441	J10	3400	0.370022660101058	3.0766509915762	C5	C1	1000	1000	0	0.5	3400	
42	6	-0.0541150592000009	0.0295591830000007	0	0.7	0.9	-0.0541150592000009	0.0295591830000007	J10	5500	-0.787588713249181	0.140386042116	C5	C1	1000	1000	0	0.5	5500	
43	7	0.0413114884749999	-0.400736384	0	0.4	0	0.0413114884749999	-0.400736384	J10	9000	0.868479661384771	-2.83409402487942	C5	C1	1000	1000	0	0.5	9000	
44	8	0.00363858495305088	-0.1626118235	0	0.9	0	0.00363858495305088	-0.1626118235	J10	14600	0.101476219202315	-1.96545623800964	C5	C1	1000	1000	0	0.5	14600	
45	9	0.0208159699460002	-0.155611744500001	0	0.5	0.1	0.0208159699460002	-0.155611744500001	J10	23600	0.815503992885725	-2.13509436712493	C5	C1	1000	1000	0	0.5	23600	
46	10	-0.00152746075640005	-0.065566769	0	1	0.3	-0.00152746075640005	-0.065566769	J10	38200	-0.0607939585584003	-1.24655867575242	C5	C1	1000	1000	0	0.5	38200	
