	V1	error	rep	config	gwas_size	test_size	L	type
1	1	0.961401131036854	D1	C1	1000	1000	500	FGr
2	2	0.92073882244226	D1	C1	1000	1000	810	FGr
3	3	0.882690842885512	D1	C1	1000	1000	1320	FGr
4	4	0.830733056617367	D1	C1	1000	1000	2100	FGr
5	5	0.758477585480545	D1	C1	1000	1000	3400	FGr
6	6	0.608732629999624	D1	C1	1000	1000	5500	FGr
7	7	0.552838717861334	D1	C1	1000	1000	9000	FGr
8	8	0.391120036076789	D1	C1	1000	1000	14600	FGr
9	9	0.290603416946303	D1	C1	1000	1000	23600	FGr
10	10	0.198160557705616	D1	C1	1000	1000	38200	FGr
11	11	0.131826551194554	D1	C1	1000	1000	61800	FGr
12	12	0.0858599840909301	D1	C1	1000	1000	1e+05	FGr
13	13	0.997355780566687	D1	C1	1000	1000	500	PC1
14	14	0.998196929936748	D1	C1	1000	1000	810	PC1
15	15	0.994055466771156	D1	C1	1000	1000	1320	PC1
16	16	0.984658490114958	D1	C1	1000	1000	2100	PC1
17	17	0.885415958411451	D1	C1	1000	1000	3400	PC1
18	18	0.662862486961506	D1	C1	1000	1000	5500	PC1
19	19	0.398928069261763	D1	C1	1000	1000	9000	PC1
20	20	0.258580622816117	D1	C1	1000	1000	14600	PC1
21	21	0.186145504129461	D1	C1	1000	1000	23600	PC1
22	22	0.113291732004982	D1	C1	1000	1000	38200	PC1
23	23	0.067343116762055	D1	C1	1000	1000	61800	PC1
24	24	0.0429725967883439	D1	C1	1000	1000	1e+05	PC1
25	1	0.958934680220599	D2	C1	1000	1000	500	FGr
26	2	0.943254121088359	D2	C1	1000	1000	810	FGr
27	3	0.934879823863025	D2	C1	1000	1000	1320	FGr
28	4	0.841870989806908	D2	C1	1000	1000	2100	FGr
29	5	0.775450471251601	D2	C1	1000	1000	3400	FGr
30	6	0.665833368700378	D2	C1	1000	1000	5500	FGr
31	7	0.521519394671141	D2	C1	1000	1000	9000	FGr
32	8	0.401728938496481	D2	C1	1000	1000	14600	FGr
33	9	0.306708184349777	D2	C1	1000	1000	23600	FGr
34	10	0.20454735496747	D2	C1	1000	1000	38200	FGr
35	11	0.137876276210084	D2	C1	1000	1000	61800	FGr
36	12	0.0899563477103401	D2	C1	1000	1000	1e+05	FGr
37	13	0.969153927408956	D2	C1	1000	1000	500	PC1
38	14	0.981714089824532	D2	C1	1000	1000	810	PC1
39	15	0.999801783474221	D2	C1	1000	1000	1320	PC1
40	16	0.98029128139404	D2	C1	1000	1000	2100	PC1
41	17	0.859475924568325	D2	C1	1000	1000	3400	PC1
42	18	0.598398180602821	D2	C1	1000	1000	5500	PC1
43	19	0.403002762978223	D2	C1	1000	1000	9000	PC1
44	20	0.261221256663742	D2	C1	1000	1000	14600	PC1
45	21	0.177400538697955	D2	C1	1000	1000	23600	PC1
46	22	0.110458771699956	D2	C1	1000	1000	38200	PC1
47	23	0.0719022429258648	D2	C1	1000	1000	61800	PC1
48	24	0.0483407174390493	D2	C1	1000	1000	1e+05	PC1
49	1	0.947725342562289	D3	C1	1000	1000	500	FGr
50	2	0.91587407267602	D3	C1	1000	1000	810	FGr
51	3	0.862132148154593	D3	C1	1000	1000	1320	FGr
52	4	0.816881007898726	D3	C1	1000	1000	2100	FGr
53	5	0.749065569622705	D3	C1	1000	1000	3400	FGr
54	6	0.590731104655518	D3	C1	1000	1000	5500	FGr
55	7	0.507761934666883	D3	C1	1000	1000	9000	FGr
56	8	0.378103120247971	D3	C1	1000	1000	14600	FGr
57	9	0.283717859629056	D3	C1	1000	1000	23600	FGr
58	10	0.213973576699953	D3	C1	1000	1000	38200	FGr
59	11	0.130367964534248	D3	C1	1000	1000	61800	FGr
60	12	0.0862866422177917	D3	C1	1000	1000	1e+05	FGr
61	13	0.999458340372601	D3	C1	1000	1000	500	PC1
62	14	0.992735425271925	D3	C1	1000	1000	810	PC1
63	15	0.996339948195571	D3	C1	1000	1000	1320	PC1
64	16	0.85654064400212	D3	C1	1000	1000	2100	PC1
65	17	0.81726282533134	D3	C1	1000	1000	3400	PC1
66	18	0.555314490690982	D3	C1	1000	1000	5500	PC1
67	19	0.418665814396889	D3	C1	1000	1000	9000	PC1
68	20	0.245476695698476	D3	C1	1000	1000	14600	PC1
69	21	0.176271373631815	D3	C1	1000	1000	23600	PC1
70	22	0.109214084133433	D3	C1	1000	1000	38200	PC1
71	23	0.067460243280342	D3	C1	1000	1000	61800	PC1
72	24	0.0424080700074278	D3	C1	1000	1000	1e+05	PC1
73	1	0.956898923950462	D4	C1	1000	1000	500	FGr
74	2	0.941757947636755	D4	C1	1000	1000	810	FGr
75	3	0.933642823117705	D4	C1	1000	1000	1320	FGr
76	4	0.805883908296726	D4	C1	1000	1000	2100	FGr
77	5	0.760597896569628	D4	C1	1000	1000	3400	FGr
78	6	0.711147049599408	D4	C1	1000	1000	5500	FGr
79	7	0.52190134420664	D4	C1	1000	1000	9000	FGr
80	8	0.402891721665353	D4	C1	1000	1000	14600	FGr
81	9	0.298911087957498	D4	C1	1000	1000	23600	FGr
82	10	0.223359438649408	D4	C1	1000	1000	38200	FGr
83	11	0.136115175348896	D4	C1	1000	1000	61800	FGr
84	12	0.0939114357669122	D4	C1	1000	1000	1e+05	FGr
