	error	rep	config	gwas_size	test_size	L	type
1	0.956224502908699	D62	C1	1000	1000	500	FGr
2	0.936372040718567	D62	C1	1000	1000	810	FGr
3	0.907999150596219	D62	C1	1000	1000	1320	FGr
4	0.79343153911074	D62	C1	1000	1000	2100	FGr
5	0.74514257290529	D62	C1	1000	1000	3400	FGr
6	0.617908958046887	D62	C1	1000	1000	5500	FGr
7	0.547989771463283	D62	C1	1000	1000	9000	FGr
8	0.410295158089154	D62	C1	1000	1000	14600	FGr
9	0.316952431092391	D62	C1	1000	1000	23600	FGr
10	0.206682464885185	D62	C1	1000	1000	38200	FGr
11	0.131829467170859	D62	C1	1000	1000	61800	FGr
12	0.0942881047330621	D62	C1	1000	1000	1e+05	FGr
13	0.992223226852123	D62	C1	1000	1000	500	PC1
14	0.973607205714245	D62	C1	1000	1000	810	PC1
15	0.993675819037974	D62	C1	1000	1000	1320	PC1
16	0.934340592680176	D62	C1	1000	1000	2100	PC1
17	0.993863807207301	D62	C1	1000	1000	3400	PC1
18	0.623236679996869	D62	C1	1000	1000	5500	PC1
19	0.402455972757692	D62	C1	1000	1000	9000	PC1
20	0.267468898092949	D62	C1	1000	1000	14600	PC1
21	0.185664879782419	D62	C1	1000	1000	23600	PC1
22	0.118419982301016	D62	C1	1000	1000	38200	PC1
23	0.0738916277199443	D62	C1	1000	1000	61800	PC1
24	0.0431653844129284	D62	C1	1000	1000	1e+05	PC1
