	V1	c-q	nc-q	true-q	c-p	nc-p	c-bias	nc-bias	type	L	stan-c	stan-nc	rep	config	gwas_size	test_size	h2	ts	num_causal	env
1	1	0.331954000000002	2.02775534999999	0	0.409	0.016	0.331954000000002	2.02775534999999	1	500	0.854520011650765	2.33403242445917	D1	C1	1000	1000	0	0.5	500	
2	2	0.240715794500001	2.5238314	0	0.546	0.004	0.240715794500001	2.5238314	FGr	500	0.596615681271619	2.82177644147608	D1	C1	1000	1000	0	0.5	500	
3	3	0.281684069999998	2.35756205	0	0.485	0.003	0.281684069999998	2.35756205	NoCorrection	500	0.681949789402667	2.87773062290927	D1	C1	1000	1000	0	0.5	500	
4	4	0.00389751128500001	0.000324918149999981	0	0.224	0.959	0.00389751128500001	0.000324918149999981	ID	500	1.24719516243428	0.0509514664510002	D1	C1	1000	1000	0	0.5	500	
5	5	0.220738833999999	2.46519972000001	0	0.465	0.002	0.220738833999999	2.46519972000001	1	810	0.746948565721067	3.1547510794742	D1	C1	1000	1000	0	0.5	810	
6	6	0.0743691499999998	2.49763132	0	0.785	0.001	0.0743691499999998	2.49763132	FGr	810	0.263642519335361	2.85818136953309	D1	C1	1000	1000	0	0.5	810	
7	7	0.2075197516	2.77476495000002	0	0.498	0.003	0.2075197516	2.77476495000002	NoCorrection	810	0.706361390018797	3.10619272650922	D1	C1	1000	1000	0	0.5	810	
8	8	-0.00354491396000002	0.01528337165	0	0.306	0.174	-0.00354491396000002	0.01528337165	ID	810	-1.03516149211265	1.35853979712306	D1	C1	1000	1000	0	0.5	810	
9	9	0.00764258264999415	1.73881452	0	0.969	0	0.00764258264999415	1.73881452	1	1320	0.034581995242762	3.52718733746764	D1	C1	1000	1000	0	0.5	1320	
10	10	0.107766722500002	1.560279985	0	0.574	0	0.107766722500002	1.560279985	FGr	1320	0.537444714530594	3.23042367504363	D1	C1	1000	1000	0	0.5	1320	
11	11	0.0273215944999998	1.503614345	0	0.905	0	0.0273215944999998	1.503614345	NoCorrection	1320	0.120827414358055	3.12690766800892	D1	C1	1000	1000	0	0.5	1320	
12	12	0.0079996366829	0.01064002375	0	0.029	0.442	0.0079996366829	0.01064002375	ID	1320	2.19448437813157	0.780435419980665	D1	C1	1000	1000	0	0.5	1320	
13	13	0.695227316899999	2.419756395	0	0	0	0.695227316899999	2.419756395	1	2100	3.13015679664888	4.74005699286657	D1	C1	1000	1000	0	0.5	2100	
14	14	0.58788857	2.10518545	0	0.002	0	0.58788857	2.10518545	FGr	2100	2.89123901072481	4.83177618384209	D1	C1	1000	1000	0	0.5	2100	
15	15	0.685869900950002	2.278889335	0	0	0	0.685869900950002	2.278889335	NoCorrection	2100	3.21038059933227	4.50053277200771	D1	C1	1000	1000	0	0.5	2100	
16	16	-0.00137110159999998	0.0106324304	0	0.807	0.474	-0.00137110159999998	0.0106324304	ID	2100	-0.255174838343943	0.682849303802511	D1	C1	1000	1000	0	0.5	2100	
17	17	0.41819212767	2.153020675	0	0.001	0	0.41819212767	2.153020675	1	3400	2.88048876651781	5.77330641250693	D1	C1	1000	1000	0	0.5	3400	
