	V1	c-q	nc-q	true-q	c-p	nc-p	c-bias	nc-bias	type	L	stan-c	stan-nc	rep	config	gwas_size	test_size	h2	ts	num_causal	env
1	1	0.0783973999999999	2.25743305	0	0.9	0	0.0783973999999999	2.25743305	LMMNoCorrection	500	0.172283732871505	3.7453738121578	D1	C1	1000	1000	0	0.5	500	
2	2	0.104414662675	2.694388495	0	0.7	0	0.104414662675	2.694388495	LMMNoCorrection	810	0.461812391345887	3.53452121396479	D1	C1	1000	1000	0	0.5	810	
3	3	0.0256066430500043	1.668431205	0	0.8	0	0.0256066430500043	1.668431205	LMMNoCorrection	1320	0.150998362749203	4.82152153559476	D1	C1	1000	1000	0	0.5	1320	
4	4	0.29667027445	1.374840365	0	0	0	0.29667027445	1.374840365	LMMNoCorrection	2100	2.46777364045068	3.30277001689839	D1	C1	1000	1000	0	0.5	2100	
5	5	0.3592467931	1.75881613	0	0	0	0.3592467931	1.75881613	LMMNoCorrection	3400	2.35708769828884	6.38921512163816	D1	C1	1000	1000	0	0.5	3400	
6	6	0.401134431035001	1.843004867	0	0	0	0.401134431035001	1.843004867	LMMNoCorrection	5500	4.25437536529545	8.32495383403101	D1	C1	1000	1000	0	0.5	5500	
7	7	0.421808410135	1.713573147	0	0	0	0.421808410135	1.713573147	LMMNoCorrection	9000	4.65509655963147	10.0781187945236	D1	C1	1000	1000	0	0.5	9000	
8	8	0.357462100864	1.9129018135	0	0	0	0.357462100864	1.9129018135	LMMNoCorrection	14600	7.16734988256391	28.3223369323647	D1	C1	1000	1000	0	0.5	14600	
9	9	0.247888897098	1.5706419885	0	0	0	0.247888897098	1.5706419885	LMMNoCorrection	23600	5.97207443950939	17.3549649563355	D1	C1	1000	1000	0	0.5	23600	
10	10	0.32495964343185	1.7699156565	0	0	0	0.32495964343185	1.7699156565	LMMNoCorrection	38200	8.69622086238564	19.8261828219828	D1	C1	1000	1000	0	0.5	38200	
11	11	0.28849396192995	1.71260125	0	0	0	0.28849396192995	1.71260125	LMMNoCorrection	61800	6.28669043482695	17.7615002220309	D1	C1	1000	1000	0	0.5	61800	
12	12	0.32699416417725	1.83323126815	0	0	0	0.32699416417725	1.83323126815	LMMNoCorrection	1e+05	6.78874238244476	21.4255673680556	D1	C1	1000	1000	0	0.5	1e+05	
13	1	0.1864122075	1.31758145	0	0.6	0.2	0.1864122075	1.31758145	LMMNoCorrection	500	0.573819829430273	1.33376583860725	D2	C1	1000	1000	0	0.5	500	
14	2	-0.0510506735499989	1.589298145	0	0.8	0	-0.0510506735499989	1.589298145	LMMNoCorrection	810	-0.241549443583429	2.04310706087836	D2	C1	1000	1000	0	0.5	810	
15	3	0.13354935	2.306990165	0	0.6	0	0.13354935	2.306990165	LMMNoCorrection	1320	0.467920526591594	4.78490370047768	D2	C1	1000	1000	0	0.5	1320	
16	4	0.33986181452	1.875352805	0	0	0	0.33986181452	1.875352805	LMMNoCorrection	2100	3.53959908250561	5.97507075025816	D2	C1	1000	1000	0	0.5	2100	
17	5	0.0685164087699989	1.58039634	0	0.5	0	0.0685164087699989	1.58039634	LMMNoCorrection	3400	0.768753259448466	6.20621715353426	D2	C1	1000	1000	0	0.5	3400	
18	6	0.259042367717999	1.5114119055	0	0	0	0.259042367717999	1.5114119055	LMMNoCorrection	5500	3.47114889968921	5.83340926076408	D2	C1	1000	1000	0	0.5	5500	
19	7	0.314765661735	1.884542872	0	0	0	0.314765661735	1.884542872	LMMNoCorrection	9000	4.26506845340143	16.4897139190153	D2	C1	1000	1000	0	0.5	9000	
20	8	0.2836305698274	1.5977760325	0	0	0	0.2836305698274	1.5977760325	LMMNoCorrection	14600	5.01101288402093	21.2479532469448	D2	C1	1000	1000	0	0.5	14600	
21	9	0.3557850875379	1.848528147	0	0	0	0.3557850875379	1.848528147	LMMNoCorrection	23600	9.16866963333485	20.8716336438561	D2	C1	1000	1000	0	0.5	23600	
22	10	0.35147777835675	1.8119624345	0	0	0	0.35147777835675	1.8119624345	LMMNoCorrection	38200	15.3027484642844	15.0642114261005	D2	C1	1000	1000	0	0.5	38200	
23	11	0.36987026378815	1.8020411435	0	0	0	0.36987026378815	1.8020411435	LMMNoCorrection	61800	11.0213056697212	19.5821457264243	D2	C1	1000	1000	0	0.5	61800	
24	12	0.2089090631714	1.50607553335	0	0	0	0.2089090631714	1.50607553335	LMMNoCorrection	1e+05	6.69017673131283	14.9052815589094	D2	C1	1000	1000	0	0.5	1e+05	
25	1	1.39039369250001	3.3681368	0	0	0	1.39039369250001	3.3681368	LMMNoCorrection	500	2.01546158550594	2.61671427591008	D3	C1	1000	1000	0	0.5	500	
26	2	0.3817055135	2.31947748	0	0	0	0.3817055135	2.31947748	LMMNoCorrection	810	1.70386344403945	3.2589051170108	D3	C1	1000	1000	0	0.5	810	
27	3	0.120919252350011	2.424434765	0	0.8	0	0.120919252350011	2.424434765	LMMNoCorrection	1320	0.490072874187439	6.36641646093312	D3	C1	1000	1000	0	0.5	1320	
28	4	0.364907738399997	2.66612586	0	0	0	0.364907738399997	2.66612586	LMMNoCorrection	2100	3.60806974298784	5.54959586988708	D3	C1	1000	1000	0	0.5	2100	
29	5	0.312065718249999	1.543594985	0	0	0	0.312065718249999	1.543594985	LMMNoCorrection	3400	3.99113915438186	4.98802824231951	D3	C1	1000	1000	0	0.5	3400	
30	6	0.370049076055	2.0505346155	0	0	0	0.370049076055	2.0505346155	LMMNoCorrection	5500	3.14088871035284	14.6534497579427	D3	C1	1000	1000	0	0.5	5500	
31	7	0.3415823328135	1.670084358	0	0	0	0.3415823328135	1.670084358	LMMNoCorrection	9000	8.17280989811519	11.3324729073686	D3	C1	1000	1000	0	0.5	9000	
32	8	0.37614918195	1.73253796	0	0	0	0.37614918195	1.73253796	LMMNoCorrection	14600	5.32407981850308	9.68666879383196	D3	C1	1000	1000	0	0.5	14600	
