	V1	c-q	nc-q	true-q	c-p	nc-p	c-bias	nc-bias	type	L	stan-c	stan-nc	rep	config	gwas_size	test_size	h2	ts	num_causal	env
1	1	-0.00575750000000153	1.05499495	0	1	0.2	-0.00575750000000153	1.05499495	J10	500	-0.0117792469547663	1.13104058487614	D1	C1	1000	1000	0	0.5	500	
2	2	0.157740615500002	2.787722685	0	0.7	0	0.157740615500002	2.787722685	J10	810	0.540968846442026	2.13006795784683	D1	C1	1000	1000	0	0.5	810	
3	3	-0.125012317499998	0.709845720000001	0	0.6	0.1	-0.125012317499998	0.709845720000001	J10	1320	-0.45378589721615	1.46431577025944	D1	C1	1000	1000	0	0.5	1320	
4	4	0.3326718603	0.9154563	0	0	0	0.3326718603	0.9154563	J10	2100	2.15067351743557	3.25927146941329	D1	C1	1000	1000	0	0.5	2100	
5	5	0.1854571829	0.953535865	0	0.2	0	0.1854571829	0.953535865	J10	3400	1.23622756476601	3.09965450963778	D1	C1	1000	1000	0	0.5	3400	
6	6	0.074407467785	0.216812878	0	0.5	0.2	0.074407467785	0.216812878	J10	5500	0.678617130799258	1.41681110242816	D1	C1	1000	1000	0	0.5	5500	
7	7	0.0738057000420001	-0.239998679500001	0	0	0	0.0738057000420001	-0.239998679500001	J10	9000	1.83515288898758	-2.72755995450837	D1	C1	1000	1000	0	0.5	9000	
8	8	0.0266255978543999	-0.00220010499999967	0	0.7	1	0.0266255978543999	-0.00220010499999967	J10	14600	0.643177465688961	-0.0424336632705289	D1	C1	1000	1000	0	0.5	14600	
9	9	-0.0217536592594009	0.0457364295000002	0	0.5	0.2	-0.0217536592594009	0.0457364295000002	J10	23600	-0.696240044447283	1.34140090023567	D1	C1	1000	1000	0	0.5	23600	
10	10	0.0177382095368504	0.0886440816500001	0	0.7	0.1	0.0177382095368504	0.0886440816500001	J10	38200	0.679645667930148	1.40643179159753	D1	C1	1000	1000	0	0.5	38200	
11	11	-0.0360221626771949	-0.06271760105	0	0.2	0.2	-0.0360221626771949	-0.06271760105	J10	61800	-1.35748030215713	-1.01460231921743	D1	C1	1000	1000	0	0.5	61800	
12	12	-0.0150665339910504	-0.150405102100001	0	0.9	0.4	-0.0150665339910504	-0.150405102100001	J10	1e+05	-0.248882992329139	-1.00132089467397	D1	C1	1000	1000	0	0.5	1e+05	
13	1	0.244755739599995	1.67173695	0	0.1	0.1	0.244755739599995	1.67173695	J10	500	0.891250110596252	1.59829672263538	D2	C1	1000	1000	0	0.5	500	
14	2	-0.140788046	0.723594080000002	0	0.5	0.1	-0.140788046	0.723594080000002	J10	810	-0.593841144364505	1.63452322925109	D2	C1	1000	1000	0	0.5	810	
15	3	0.2042032025	2.060124595	0	0.5	0	0.2042032025	2.060124595	J10	1320	1.0789146721863	4.44617011940172	D2	C1	1000	1000	0	0.5	1320	
16	4	0.293944161785	1.320024775	0	0.1	0	0.293944161785	1.320024775	J10	2100	1.71706704177261	2.73933618048804	D2	C1	1000	1000	0	0.5	2100	
17	5	0.0393775581599993	0.734023800000001	0	0.8	0	0.0393775581599993	0.734023800000001	J10	3400	0.375403189033872	2.51029785529216	D2	C1	1000	1000	0	0.5	3400	
18	6	-0.0233716479075	-0.0535012594999997	0	0.8	0.5	-0.0233716479075	-0.0535012594999997	J10	5500	-0.381159941052405	-0.278991681193518	D2	C1	1000	1000	0	0.5	5500	
19	7	0.00956389451800045	0.0911053720000016	0	0.8	0.6	0.00956389451800045	0.0911053720000016	J10	9000	0.252815311662561	0.742519832854767	D2	C1	1000	1000	0	0.5	9000	
20	8	-0.00991394779299959	-0.1488617635	0	0.8	0.1	-0.00991394779299959	-0.1488617635	J10	14600	-0.352312423142486	-1.70047581971623	D2	C1	1000	1000	0	0.5	14600	
21	9	-0.00400487470949997	-0.0663393035000002	0	0.7	0.3	-0.00400487470949997	-0.0663393035000002	J10	23600	-0.129308978044727	-0.845576928563195	D2	C1	1000	1000	0	0.5	23600	
22	10	0.0270738122874	-0.14401930145	0	0.3	0.1	0.0270738122874	-0.14401930145	J10	38200	0.952982292777841	-2.01633079620962	D2	C1	1000	1000	0	0.5	38200	
23	11	0.0111448323195497	-0.12998567695	0	0.6	0.1	0.0111448323195497	-0.12998567695	J10	61800	0.384434406502048	-1.15347615910795	D2	C1	1000	1000	0	0.5	61800	
24	12	-0.0698051882583504	-0.1299427364	0	0	0.2	-0.0698051882583504	-0.1299427364	J10	1e+05	-2.71584337793654	-1.30885257095427	D2	C1	1000	1000	0	0.5	1e+05	
25	1	1.61349454	4.2497953	0	0.1	0	1.61349454	4.2497953	J10	500	1.8871659472815	2.85568195119761	D3	C1	1000	1000	0	0.5	500	
26	2	0.2969853895	1.762282155	0	0.2	0	0.2969853895	1.762282155	J10	810	1.11906618434766	1.9843806294531	D3	C1	1000	1000	0	0.5	810	
27	3	0.143064580500006	2.697659625	0	0.3	0	0.143064580500006	2.697659625	J10	1320	0.785340695783967	6.00570828683968	D3	C1	1000	1000	0	0.5	1320	
28	4	0.18873906235	1.08024629	0	0.1	0.1	0.18873906235	1.08024629	J10	2100	1.78297652076063	1.88056521462138	D3	C1	1000	1000	0	0.5	2100	
29	5	0.1358340666	0.757510115	0	0.2	0	0.1358340666	0.757510115	J10	3400	1.55750216697124	3.33245944386844	D3	C1	1000	1000	0	0.5	3400	
30	6	-0.0592356203434997	0.4191828645	0	0.5	0	-0.0592356203434997	0.4191828645	J10	5500	-1.10468735456707	2.59935729031831	D3	C1	1000	1000	0	0.5	5500	
31	7	0.0614405550359999	0.0681819204999997	0	0.1	0.7	0.0614405550359999	0.0681819204999997	J10	9000	1.99206868851151	0.567257660984627	D3	C1	1000	1000	0	0.5	9000	
32	8	0.032221509215	0.0124478020000001	0	0.6	1	0.032221509215	0.0124478020000001	J10	14600	0.800794697733548	0.132394258498005	D3	C1	1000	1000	0	0.5	14600	
33	9	-0.03038893928845	-0.0434842639999995	0	0.4	0.5	-0.03038893928845	-0.0434842639999995	J10	23600	-0.819415788180316	-0.561726390745088	D3	C1	1000	1000	0	0.5	23600	
34	10	0.0204132448263003	-0.0687433230499997	0	0.4	0.4	0.0204132448263003	-0.0687433230499997	J10	38200	0.692485269718692	-0.95354955790926	D3	C1	1000	1000	0	0.5	38200	
35	11	0.046158845721475	0.0796843617499998	0	0.2	0.3	0.046158845721475	0.0796843617499998	J10	61800	1.09537795344871	1.13155438325245	D3	C1	1000	1000	0	0.5	61800	
36	12	0.00777619382543005	0.0953216485500001	0	1	0.3	0.00777619382543005	0.0953216485500001	J10	1e+05	0.15641767663465	0.975145231211024	D3	C1	1000	1000	0	0.5	1e+05	
37	1	0.7839443515	2.9218705	0	0	0	0.7839443515	2.9218705	J10	500	2.3616646185324	3.12080286011258	D4	C1	1000	1000	0	0.5	500	
38	2	0.8937381075	1.09746263000001	0	0	0.2	0.8937381075	1.09746263000001	J10	810	3.66671055880921	1.60224897392296	D4	C1	1000	1000	0	0.5	810	
39	3	0.248672339500001	1.61137260499999	0	0.5	0	0.248672339500001	1.61137260499999	J10	1320	0.761346085796073	3.3288401393846	D4	C1	1000	1000	0	0.5	1320	
40	4	0.437174108549999	1.601154855	0	0	0	0.437174108549999	1.601154855	J10	2100	2.73328930826539	5.01646775647337	D4	C1	1000	1000	0	0.5	2100	
41	5	0.188590810430001	0.527981285	0	0.3	0	0.188590810430001	0.527981285	J10	3400	1.18635044254104	2.56933299674591	D4	C1	1000	1000	0	0.5	3400	
42	6	0.0675242946399999	0.354706593	0	0.4	0	0.0675242946399999	0.354706593	J10	5500	1.00258081119237	1.92920297423739	D4	C1	1000	1000	0	0.5	5500	
43	7	-0.0396224593680002	0.0596323725000001	0	0.4	0.6	-0.0396224593680002	0.0596323725000001	J10	9000	-0.972275945430104	0.662338107588518	D4	C1	1000	1000	0	0.5	9000	
