	V1	c-q	nc-q	true-q	c-p	nc-p	c-bias	nc-bias	type	L	stan-c	stan-nc	rep	config	gwas_size	test_size	h2	ts	num_causal	env
1	1	0.177002800000001	4.0673587	0	0.523	0	0.177002800000001	4.0673587	1	500	0.714363216161599	3.48651212500078	E1	C1	1000	1000	0	0.5	500	
2	2	0.130589884	4.1549382	0	0.6	0	0.130589884	4.1549382	FGr	500	0.594939514042938	3.63153293889076	E1	C1	1000	1000	0	0.5	500	
3	3	0.2183859755	4.16848354999999	0	0.401	0	0.2183859755	4.16848354999999	NoCorrection	500	0.893650309497295	3.45606554769046	E1	C1	1000	1000	0	0.5	500	
4	4	0.000623411039999994	0.00431328809999995	0	0.863	0.622	0.000623411039999994	0.00431328809999995	ID	500	0.180461107599456	0.54058513768693	E1	C1	1000	1000	0	0.5	500	
5	5	0.974157797650003	4.30724866000001	0	0.05	0	0.974157797650003	4.30724866000001	1	810	1.92436658710765	4.44937443500888	E1	C1	1000	1000	0	0.5	810	
6	6	0.703303219000003	3.400261155	0	0.133	0	0.703303219000003	3.400261155	FGr	810	1.56545751355848	4.20829763932379	E1	C1	1000	1000	0	0.5	810	
7	7	0.984605269999993	4.46693750000001	0	0.037	0	0.984605269999993	4.46693750000001	NoCorrection	810	2.04599788832378	4.40159565496341	E1	C1	1000	1000	0	0.5	810	
8	8	0.00965011057	0.00588056390000001	0	0.007	0.458	0.00965011057	0.00588056390000001	ID	810	2.60267667709176	0.796192828714127	E1	C1	1000	1000	0	0.5	810	
9	9	0.669441224699999	3.11871158499999	0	0.005	0	0.669441224699999	3.11871158499999	1	1320	2.52645001762449	4.94482199892545	E1	C1	1000	1000	0	0.5	1320	
10	10	0.634118485955	2.76558002	0	0.001	0	0.634118485955	2.76558002	FGr	1320	2.79792792284629	4.77658363569994	E1	C1	1000	1000	0	0.5	1320	
11	11	0.725120529500001	2.59003957	0	0.003	0	0.725120529500001	2.59003957	NoCorrection	1320	2.66812749192895	4.20964382259471	E1	C1	1000	1000	0	0.5	1320	
12	12	-0.001834802675	0.0030705105	0	0.723	0.785	-0.001834802675	0.0030705105	ID	1320	-0.385181526877963	0.288627782590891	E1	C1	1000	1000	0	0.5	1320	
13	13	0.59341169415	3.92404758999999	0	0.007	0	0.59341169415	3.92404758999999	1	2100	2.67750914834176	7.02480362311354	E1	C1	1000	1000	0	0.5	2100	
14	14	0.47328303651	2.91546610500001	0	0.006	0	0.47328303651	2.91546610500001	FGr	2100	2.38587523185867	6.39066586040919	E1	C1	1000	1000	0	0.5	2100	
15	15	0.589893794090001	4.27774734	0	0.004	0	0.589893794090001	4.27774734	NoCorrection	2100	2.75080972681081	6.60114947354762	E1	C1	1000	1000	0	0.5	2100	
16	16	0.00801556120500006	0.0305390582000001	0	0.31	0.057	0.00801556120500006	0.0305390582000001	ID	2100	1.0234802161163	1.9219561011552	E1	C1	1000	1000	0	0.5	2100	
17	17	0.76967376209	4.63863058	0	0	0	0.76967376209	4.63863058	1	3400	4.86430449208539	8.95800915365353	E1	C1	1000	1000	0	0.5	3400	
18	18	0.490183371215	2.38425252	0	0	0	0.490183371215	2.38425252	FGr	3400	4.48373584580042	7.95860157850306	E1	C1	1000	1000	0	0.5	3400	
19	19	0.757666552050001	4.58127329	0	0	0	0.757666552050001	4.58127329	NoCorrection	3400	4.72266883851595	8.94811115336039	E1	C1	1000	1000	0	0.5	3400	
20	20	0.00556534076999993	-0.0305339872999998	0	0.539	0.143	0.00556534076999993	-0.0305339872999998	ID	3400	0.59553784357547	-1.44453488697613	E1	C1	1000	1000	0	0.5	3400	
21	21	0.2964159199075	1.9108797545	0	0	0	0.2964159199075	1.9108797545	1	5500	3.53993697265047	8.7453768598947	E1	C1	1000	1000	0	0.5	5500	
22	22	0.348152141415	1.7690182275	0	0	0	0.348152141415	1.7690182275	FGr	5500	4.23543797417614	8.33758193657731	E1	C1	1000	1000	0	0.5	5500	
23	23	0.66868031863	4.00398279	0	0	0	0.66868031863	4.00398279	NoCorrection	5500	5.17736827249831	11.6058778626357	E1	C1	1000	1000	0	0.5	5500	
24	24	0.011868934342	0.00729077044999997	0	0.254	0.795	0.011868934342	0.00729077044999997	ID	5500	1.12439938999444	0.274163577920457	E1	C1	1000	1000	0	0.5	5500	
25	25	0.264615848555	1.313645649	0	0	0	0.264615848555	1.313645649	1	9000	4.43449725033789	9.31309817458458	E1	C1	1000	1000	0	0.5	9000	
26	26	0.25890624465	1.5174655935	0	0	0	0.25890624465	1.5174655935	FGr	9000	4.45545928122838	10.9797996614937	E1	C1	1000	1000	0	0.5	9000	
27	27	0.801874799394	3.8420505395	0	0	0	0.801874799394	3.8420505395	NoCorrection	9000	7.55456452286134	14.3893891735609	E1	C1	1000	1000	0	0.5	9000	
