	V1	c-q	nc-q	true-q	c-p	nc-p	c-bias	nc-bias	type	L	stan-c	stan-nc	rep	config	gwas_size	test_size	h2	ts	num_causal	env
1	1	0.0342245017499997	3.68952195	0	1	0	0.0342245017499997	3.68952195	LMMNoCorrection	500	0.130501466803928	2.58500768254847	E1	C1	1000	1000	0	0.5	500	
2	2	0.734029432999999	3.783934915	0	0.1	0	0.734029432999999	3.783934915	LMMNoCorrection	810	1.66049198830711	3.71051184038957	E1	C1	1000	1000	0	0.5	810	
3	3	0.438271532850001	2.299020435	0	0	0	0.438271532850001	2.299020435	LMMNoCorrection	1320	2.14369314494204	2.93861307084642	E1	C1	1000	1000	0	0.5	1320	
4	4	0.478487802309997	2.52700311	0	0	0	0.478487802309997	2.52700311	LMMNoCorrection	2100	2.29286457680218	6.85412020879166	E1	C1	1000	1000	0	0.5	2100	
5	5	0.53955678758	2.88336136	0	0	0	0.53955678758	2.88336136	LMMNoCorrection	3400	3.83286612147195	8.13533667702374	E1	C1	1000	1000	0	0.5	3400	
6	6	0.42101509284	2.5648290435	0	0	0	0.42101509284	2.5648290435	LMMNoCorrection	5500	4.17942717742655	11.2290075860302	E1	C1	1000	1000	0	0.5	5500	
7	7	0.519311185940001	2.3202706475	0	0	0	0.519311185940001	2.3202706475	LMMNoCorrection	9000	7.8204673584339	13.1636818669122	E1	C1	1000	1000	0	0.5	9000	
8	8	0.472972858392	2.703277024	0	0	0	0.472972858392	2.703277024	LMMNoCorrection	14600	6.64605383757612	18.5316014599402	E1	C1	1000	1000	0	0.5	14600	
9	9	0.54590660721661	2.5742413685	0	0	0	0.54590660721661	2.5742413685	LMMNoCorrection	23600	14.6458867603454	17.4162759113046	E1	C1	1000	1000	0	0.5	23600	
10	10	0.476446608667	2.5166481115	0	0	0	0.476446608667	2.5166481115	LMMNoCorrection	38200	16.4278741487609	40.2876593236496	E1	C1	1000	1000	0	0.5	38200	
11	11	0.453759074007	2.532761226	0	0	0	0.453759074007	2.532761226	LMMNoCorrection	61800	8.43624665088086	21.8655200198764	E1	C1	1000	1000	0	0.5	61800	
12	12	0.46634678839905	2.6680207073	0	0	0	0.46634678839905	2.6680207073	LMMNoCorrection	1e+05	10.6633358298939	17.5896914265273	E1	C1	1000	1000	0	0.5	1e+05	
