	V1	c-q	nc-q	true-q	c-p	nc-p	c-bias	nc-bias	type	L	stan-c	stan-nc	rep	config	gwas_size	test_size	h2	ts	num_causal	env
1	1	0.236061444499999	4.20208764999999	0	0.2	0	0.236061444499999	4.20208764999999	J1	500	0.780528275082877	4.91056421468909	E1	C1	1000	1000	0	0.5	500	
2	2	0.847283274999995	4.472576425	0	0	0	0.847283274999995	4.472576425	J1	810	2.57730631978715	5.76356464786502	E1	C1	1000	1000	0	0.5	810	
3	3	0.452284087149999	1.7804842	0	0.1	0	0.452284087149999	1.7804842	J1	1320	2.17474407005349	3.32191439697971	E1	C1	1000	1000	0	0.5	1320	
4	4	0.445365669270002	1.726870565	0	0	0	0.445365669270002	1.726870565	J1	2100	2.53547116061065	4.21389464019878	E1	C1	1000	1000	0	0.5	2100	
5	5	0.2327774042	1.014959975	0	0	0	0.2327774042	1.014959975	J1	3400	2.6469860155645	6.09015860141647	E1	C1	1000	1000	0	0.5	3400	
6	6	0.0118079981199998	0.350553529	0	0.8	0.2	0.0118079981199998	0.350553529	J1	5500	0.187705239546509	1.35214461975272	E1	C1	1000	1000	0	0.5	5500	
7	7	0.0836484783059998	0.091438543	0	0.2	0.1	0.0836484783059998	0.091438543	J1	9000	1.32661646876584	1.19958951623882	E1	C1	1000	1000	0	0.5	9000	
8	8	-0.0256846076924998	0.05881279	0	0.6	0.4	-0.0256846076924998	0.05881279	J1	14600	-0.913325707499825	0.859221722684948	E1	C1	1000	1000	0	0.5	14600	
9	9	0.0397139589245	-0.011750899	0	0.1	1	0.0397139589245	-0.011750899	J1	23600	1.62276301710889	-0.206746620228353	E1	C1	1000	1000	0	0.5	23600	
10	10	0.0141539048639998	-0.08082641325	0	0.6	0.3	0.0141539048639998	-0.08082641325	J1	38200	0.379948641578358	-1.39705347392342	E1	C1	1000	1000	0	0.5	38200	
11	11	-0.0220676940219404	-0.11596983875	0	0.5	0.1	-0.0220676940219404	-0.11596983875	J1	61800	-0.691021075603891	-1.30514636499698	E1	C1	1000	1000	0	0.5	61800	
12	12	0.00846034706017424	0.24685941445	0	0.9	0	0.00846034706017424	0.24685941445	J1	1e+05	0.176380138449821	2.4999979002428	E1	C1	1000	1000	0	0.5	1e+05	
13	1	1.8286739464	5.14730149999999	0	0	0	1.8286739464	5.14730149999999	J1	500	2.46791204855953	4.35812101862525	E2	C1	1000	1000	0	0.5	500	
14	2	0.263622206299998	3.675187355	0	0.1	0	0.263622206299998	3.675187355	J1	810	1.27123073965752	3.78909614545614	E2	C1	1000	1000	0	0.5	810	
15	3	0.4146839155	3.22804415	0	0	0	0.4146839155	3.22804415	J1	1320	2.32709620605159	5.62329662189707	E2	C1	1000	1000	0	0.5	1320	
16	4	0.597151493450001	1.97229172	0	0	0	0.597151493450001	1.97229172	J1	2100	3.60165741009574	5.758761201732	E2	C1	1000	1000	0	0.5	2100	
17	5	0.13172896427	0.883681315	0	0	0	0.13172896427	0.883681315	J1	3400	1.77026852840914	4.69105660048894	E2	C1	1000	1000	0	0.5	3400	
18	6	0.21836942379	0.713631206500001	0	0	0	0.21836942379	0.713631206500001	J1	5500	5.60637751355902	4.74870954710115	E2	C1	1000	1000	0	0.5	5500	
19	7	0.0153149564579998	0.178667664	0	0.7	0	0.0153149564579998	0.178667664	J1	9000	0.565203682513782	2.96100375390739	E2	C1	1000	1000	0	0.5	9000	
20	8	0.0435012809139999	-0.0474791649999998	0	0.2	0.6	0.0435012809139999	-0.0474791649999998	J1	14600	1.36314240627091	-0.572179941530473	E2	C1	1000	1000	0	0.5	14600	
