	V1	c-q	nc-q	true-q	c-p	nc-p	c-bias	nc-bias	type	L	stan-c	stan-nc	rep	config	gwas_size	test_size	h2	ts	num_causal	env
1	1	0.2303177745	2.53111379999999	0	0.5	0	0.2303177745	2.53111379999999	J10	500	0.79889766628026	3.0487208262115	E1	C1	1000	1000	0	0.5	500	
2	2	0.5005291443	2.04260209500001	0	0.5	0	0.5005291443	2.04260209500001	J10	810	0.764230852071941	3.11454143458069	E1	C1	1000	1000	0	0.5	810	
3	3	0.173928164949999	1.02357088	0	0.3	0	0.173928164949999	1.02357088	J10	1320	1.09465825788863	3.02042220444916	E1	C1	1000	1000	0	0.5	1320	
4	4	0.324257788940002	1.195492605	0	0	0	0.324257788940002	1.195492605	J10	2100	2.93013719767957	5.2119118918533	E1	C1	1000	1000	0	0.5	2100	
5	5	0.23829822835	1.10736823	0	0	0	0.23829822835	1.10736823	J10	3400	2.60956446052988	6.18237322667074	E1	C1	1000	1000	0	0.5	3400	
6	6	-0.0131322359554999	0.2848822905	0	0.9	0	-0.0131322359554999	0.2848822905	J10	5500	-0.168398354607366	1.86439598345391	E1	C1	1000	1000	0	0.5	5500	
7	7	0.0885482889034999	-0.0203151200000001	0	0	0.8	0.0885482889034999	-0.0203151200000001	J10	9000	1.76204840318288	-0.178151093152219	E1	C1	1000	1000	0	0.5	9000	
8	8	-0.021042016383	0.0462827375000001	0	0.4	0.7	-0.021042016383	0.0462827375000001	J10	14600	-0.54028049313626	0.564408472075042	E1	C1	1000	1000	0	0.5	14600	
9	9	0.04137831573325	-0.025704553	0	0	0.5	0.04137831573325	-0.025704553	J10	23600	2.09068828277487	-0.598472936424261	E1	C1	1000	1000	0	0.5	23600	
10	10	0.0157780693053	-0.0901707317500002	0	0.5	0.2	0.0157780693053	-0.0901707317500002	J10	38200	0.649528452250811	-1.32922413636458	E1	C1	1000	1000	0	0.5	38200	
11	11	-0.0237406542428852	-0.1339362263	0	0.5	0	-0.0237406542428852	-0.1339362263	J10	61800	-0.639155216119005	-2.12731495623101	E1	C1	1000	1000	0	0.5	61800	
12	12	0.00231953301690061	0.22983041225	0	0.9	0	0.00231953301690061	0.22983041225	J10	1e+05	0.0493615962118831	1.82803768560072	E1	C1	1000	1000	0	0.5	1e+05	
13	1	1.90948854499999	5.1817507	0	0	0	1.90948854499999	5.1817507	J10	500	2.86069441919644	3.76175810283559	E2	C1	1000	1000	0	0.5	500	
14	2	0.168907125000001	3.35659048	0	0.7	0	0.168907125000001	3.35659048	J10	810	0.633271302191231	3.59939775431894	E2	C1	1000	1000	0	0.5	810	
15	3	0.3562961845	2.801616135	0	0.1	0	0.3562961845	2.801616135	J10	1320	1.84970378743013	3.13215969261756	E2	C1	1000	1000	0	0.5	1320	
16	4	0.5863081327	1.442791665	0	0	0	0.5863081327	1.442791665	J10	2100	3.42810732866283	6.29150116957426	E2	C1	1000	1000	0	0.5	2100	
