	V1	error	rep	config	gwas_size	test_size	L	type
1	1	0.653412705115973	A1	C1	1000	100	300	FGr
2	2	0.728555875855561	A1	C1	1000	100	300	FGr
3	3	0.719294179747005	A1	C1	1000	100	300	FGr
4	4	0.691961206075321	A1	C1	1000	100	300	FGr
5	5	0.730504290522739	A1	C1	1000	100	300	FGr
6	6	0.723392073640574	A1	C1	1000	100	300	FGr
7	7	0.477606687624547	A1	C1	1000	100	300	FGr
8	8	0.515062416401654	A1	C1	1000	100	300	FGr
9	9	0.492178522735941	A1	C1	1000	100	300	FGr
10	10	0.502143554576894	A1	C1	1000	100	300	FGr
11	11	0.525220459169726	A1	C1	1000	100	300	FGr
12	12	0.516508818670468	A1	C1	1000	100	300	FGr
13	13	0.812715977832028	A1	C1	1000	100	300	PC1
14	14	0.191196701138585	A1	C1	1000	100	300	PC1
15	15	0.808399415484051	A1	C1	1000	100	300	PC1
16	16	0.820259145311053	A1	C1	1000	100	300	PC1
17	17	0.817568779119549	A1	C1	1000	100	300	PC1
18	18	0.180727693175963	A1	C1	1000	100	300	PC1
19	19	0.684834742762808	A1	C1	1000	100	300	PC1
20	20	0.301742706541664	A1	C1	1000	100	300	PC1
21	21	0.293750295131116	A1	C1	1000	100	300	PC1
22	22	0.250620954469324	A1	C1	1000	100	300	PC1
23	23	0.748941829972519	A1	C1	1000	100	300	PC1
24	24	0.752207153596175	A1	C1	1000	100	300	PC1
