	error	rep	config	gwas_size	test_size	L	type
1	0.77510030490645	A1	C1	1000	100	300	FGr
2	0.546359332057809	A1	C1	1000	100	1000	FGr
3	0.0845373185874542	A1	C1	1000	100	10000	FGr
4	0.589495479819523	A1	C1	1000	1000	300	FGr
5	0.352944665642503	A1	C1	1000	1000	1000	FGr
6	0.0514561038687248	A1	C1	1000	1000	10000	FGr
7	0.581795996966543	A1	C1	1000	10000	300	FGr
8	0.321893154823324	A1	C1	1000	10000	1000	FGr
9	0.045785190547709	A1	C1	1000	10000	10000	FGr
10	0.866105318218004	A1	C1	10000	100	300	FGr
11	0.505541376165391	A1	C1	10000	100	1000	FGr
12	0.0881510250777439	A1	C1	10000	100	10000	FGr
13	0.555616731501959	A1	C1	10000	1000	300	FGr
14	0.384718885607855	A1	C1	10000	1000	1000	FGr
15	0.0466195241240962	A1	C1	10000	1000	10000	FGr
16	0.64219648436496	A1	C1	10000	10000	300	FGr
17	0.329759757690791	A1	C1	10000	10000	1000	FGr
18	0.0472895694991677	A1	C1	10000	10000	10000	FGr
19	0.977807618535738	A1	C2	1000	100	300	FGr
20	0.997933560778499	A1	C2	1000	100	1000	FGr
21	0.998823089953892	A1	C2	1000	100	10000	FGr
22	0.999838464741703	A1	C2	1000	1000	300	FGr
23	0.99997095247408	A1	C2	1000	1000	1000	FGr
24	0.999443758033727	A1	C2	1000	1000	10000	FGr
25	0.994359507509241	A1	C2	1000	10000	300	FGr
26	0.99985378058936	A1	C2	1000	10000	1000	FGr
27	0.999999050882989	A1	C2	1000	10000	10000	FGr
28	0.999504044384902	A1	C2	10000	100	300	FGr
29	0.999888687831134	A1	C2	10000	100	1000	FGr
30	0.999045596799237	A1	C2	10000	100	10000	FGr
31	0.999727865997899	A1	C2	10000	1000	300	FGr
32	0.998176992869944	A1	C2	10000	1000	1000	FGr
33	0.99847099932579	A1	C2	10000	1000	10000	FGr
34	0.980985743421014	A1	C2	10000	10000	300	FGr
35	0.993945642094521	A1	C2	10000	10000	1000	FGr
36	0.993403684523952	A1	C2	10000	10000	10000	FGr
37	0.318786248379077	A1	C1	1000	100	300	PC1
38	0.114466951023938	A1	C1	1000	100	1000	PC1
39	0.0130714889101412	A1	C1	1000	100	10000	PC1
40	0.28353616399432	A1	C1	1000	1000	300	PC1
41	0.126477838913494	A1	C1	1000	1000	1000	PC1
42	0.0123030175594927	A1	C1	1000	1000	10000	PC1
43	0.338666484429293	A1	C1	1000	10000	300	PC1
44	0.11529231508554	A1	C1	1000	10000	1000	PC1
45	0.012885479693923	A1	C1	1000	10000	10000	PC1
46	0.271968257529035	A1	C1	10000	100	300	PC1
47	0.106935802621618	A1	C1	10000	100	1000	PC1
48	0.011397744514453	A1	C1	10000	100	10000	PC1
49	0.25835194001649	A1	C1	10000	1000	300	PC1
50	0.10612991512809	A1	C1	10000	1000	1000	PC1
51	0.0112029318612227	A1	C1	10000	1000	10000	PC1
52	0.2943989092577	A1	C1	10000	10000	300	PC1
53	0.108491895171856	A1	C1	10000	10000	1000	PC1
54	0.0113728438247025	A1	C1	10000	10000	10000	PC1
55	0.519213189847579	A1	C2	1000	100	300	PC1
56	0.210879256196802	A1	C2	1000	100	1000	PC1
57	0.0269324284004757	A1	C2	1000	100	10000	PC1
58	0.46489586398793	A1	C2	1000	1000	300	PC1
59	0.22480227277965	A1	C2	1000	1000	1000	PC1
60	0.0260544779309118	A1	C2	1000	1000	10000	PC1
61	0.458645869096792	A1	C2	1000	10000	300	PC1
62	0.238757123870049	A1	C2	1000	10000	1000	PC1
63	0.0279361275300322	A1	C2	1000	10000	10000	PC1
64	0.466347975574533	A1	C2	10000	100	300	PC1
65	0.192320457579239	A1	C2	10000	100	1000	PC1
66	0.0228284758400534	A1	C2	10000	100	10000	PC1
67	0.408362477381725	A1	C2	10000	1000	300	PC1
68	0.179407246373147	A1	C2	10000	1000	1000	PC1
69	0.0226202614929674	A1	C2	10000	1000	10000	PC1
70	0.440142231386888	A1	C2	10000	10000	300	PC1
71	0.185045972652523	A1	C2	10000	10000	1000	PC1
72	0.0224602624589715	A1	C2	10000	10000	10000	PC1
