	V1	c-q	nc-q	true-q	c-p	nc-p	c-bias	nc-bias	type	L	rep	gwas_size	test_size	h2	num_causal	env	pheno	test
1	1	-0.0629991495520832	-0.0511890851736126	0	1	1	-0.0629991495520832	-0.0511890851736126	10	20000	A1	1440	1440	0	300	0.2	DIAG	LAT
2	2	-0.0480079620986113	0.0369693252777768	0	0	1	-0.0480079620986113	0.0369693252777768	FGr	20000	A1	1440	1440	0	300	0.2	DIAG	LAT
3	3	-0.051542306556979	-0.00413417753472061	0	0.5	1	-0.051542306556979	-0.00413417753472061	NoCorrection	20000	A1	1440	1440	0	300	0.2	DIAG	LAT
4	4	-0.00469989238483797	-0.00413521732831782	0	0	0.5	-0.00469989238483797	-0.00413521732831782	10	20000	A1	1440	1440	0	300	0.2	DIAG	PS
5	5	-0.00367927683352624	-0.00379571535108019	0	0	0.5	-0.00367927683352624	-0.00379571535108019	FGr	20000	A1	1440	1440	0	300	0.2	DIAG	PS
6	6	-0.00432074299341243	-0.0117160657156635	0	0	0	-0.00432074299341243	-0.0117160657156635	NoCorrection	20000	A1	1440	1440	0	300	0.2	DIAG	PS
7	7	-0.0740952780041661	0.0516974532291667	0	0	1	-0.0740952780041661	0.0516974532291667	10	20000	A1	1440	1440	0	300	0.2	LAT	LAT
8	8	-0.0945366911861117	-0.00183516243055561	0	0	1	-0.0945366911861117	-0.00183516243055561	FGr	20000	A1	1440	1440	0	300	0.2	LAT	LAT
9	9	0.169643532868055	1.93440371652778	0	0	0	0.169643532868055	1.93440371652778	NoCorrection	20000	A1	1440	1440	0	300	0.2	LAT	LAT
10	10	0.000267175318364225	0.00716950972415123	0	1	0	0.000267175318364225	0.00716950972415123	10	20000	A1	1440	1440	0	300	0.2	LAT	PS
11	11	0.000702758267195243	0.00876726474151233	0	0.5	0	0.000702758267195243	0.00876726474151233	FGr	20000	A1	1440	1440	0	300	0.2	LAT	PS
12	12	0.00540963512746916	0.0412459129976852	0	0	0	0.00540963512746916	0.0412459129976852	NoCorrection	20000	A1	1440	1440	0	300	0.2	LAT	PS
13	13	-0.0375007209097223	-0.0562228621527774	0	0.5	0.5	-0.0375007209097223	-0.0562228621527774	10	20000	A1	1440	1440	0	300	0.2	PS	LAT
14	14	-0.0328783624141493	-0.18944463673611	0	1	0.5	-0.0328783624141493	-0.18944463673611	FGr	20000	A1	1440	1440	0	300	0.2	PS	LAT
15	15	-0.0383953959527778	-0.247848813923609	0	1	0	-0.0383953959527778	-0.247848813923609	NoCorrection	20000	A1	1440	1440	0	300	0.2	PS	LAT
16	16	-0.00506065663811728	-0.00178916172453708	0	0	1	-0.00506065663811728	-0.00178916172453708	10	20000	A1	1440	1440	0	300	0.2	PS	PS
17	17	-0.00537429729890046	-0.0133299917534723	0	0	0	-0.00537429729890046	-0.0133299917534723	FGr	20000	A1	1440	1440	0	300	0.2	PS	PS
18	18	-0.00581252555416667	-0.0155323186786266	0	0	0	-0.00581252555416667	-0.0155323186786266	NoCorrection	20000	A1	1440	1440	0	300	0.2	PS	PS
19	1	0.0226464376773265	-0.308203998020833	0	0.5	0	0.0226464376773265	-0.308203998020833	10	20000	A2	1440	1440	0	300	0.2	DIAG	LAT
20	2	0.00445566669107653	-0.363276062083333	0	1	0	0.00445566669107653	-0.363276062083333	FGr	20000	A2	1440	1440	0	300	0.2	DIAG	LAT
21	3	0.0158462124548612	-0.241522035868056	0	0.5	0	0.0158462124548612	-0.241522035868056	NoCorrection	20000	A2	1440	1440	0	300	0.2	DIAG	LAT
22	4	0.00017761550686535	-0.00775390081597221	0	1	0.5	0.00017761550686535	-0.00775390081597221	10	20000	A2	1440	1440	0	300	0.2	DIAG	PS
23	5	0.000165272708275462	-0.00390689566358024	0	1	1	0.000165272708275462	-0.00390689566358024	FGr	20000	A2	1440	1440	0	300	0.2	DIAG	PS
24	6	-0.00296073889324846	-0.0225161956114969	0	0.5	0	-0.00296073889324846	-0.0225161956114969	NoCorrection	20000	A2	1440	1440	0	300	0.2	DIAG	PS
