	V1	c-q	nc-q	true-q	c-p	nc-p	c-bias	nc-bias	type	L	rep	gwas_size	test_size	h2	num_causal	env	pheno	test
1	1	0.0316770408548608	-0.123439334305556	0	0.2	0.2	0.0316770408548608	-0.123439334305556	10	20000	A1	1440	1440	0	20000		LAT	LAT
2	2	0.0245488929854167	-0.117010913854167	0	0.5	0.5	0.0245488929854167	-0.117010913854167	35	20000	A1	1440	1440	0	20000		LAT	LAT
3	3	0.0319011529378474	-0.0668714966666656	0	0.6	0.6	0.0319011529378474	-0.0668714966666656	FGr	20000	A1	1440	1440	0	20000		LAT	LAT
4	4	0.277757679479166	1.66311420510417	0	0	0	0.277757679479166	1.66311420510417	NoCorrection	20000	A1	1440	1440	0	20000		LAT	LAT
5	5	0.0864040940833334	0.137146073194444	0	0	0.3	0.0864040940833334	0.137146073194444	10	10000	A1	1440	1440	0	10000		LAT	LAT
6	6	0.0859464774674306	0.2434651796875	0	0.1	0	0.0859464774674306	0.2434651796875	35	10000	A1	1440	1440	0	10000		LAT	LAT
7	7	0.0774306171715279	0.0451984322916668	0	0.1	0.7	0.0774306171715279	0.0451984322916668	FGr	10000	A1	1440	1440	0	10000		LAT	LAT
8	8	0.249980320760417	1.25782541701389	0	0	0	0.249980320760417	1.25782541701389	NoCorrection	10000	A1	1440	1440	0	10000		LAT	LAT
9	9	-0.0267246404861111	-0.0118375215277778	0	0	0.9	-0.0267246404861111	-0.0118375215277778	10	2000	A1	1440	1440	0	2000		LAT	LAT
10	10	-0.0304827914201389	-0.050757440625	0	0.2	0.5	-0.0304827914201389	-0.050757440625	35	2000	A1	1440	1440	0	2000		LAT	LAT
11	11	-0.0114558549409722	0.198697460763889	0	0.7	0	-0.0114558549409722	0.198697460763889	FGr	2000	A1	1440	1440	0	2000		LAT	LAT
12	12	0.1788910389375	1.25128794444445	0	0	0	0.1788910389375	1.25128794444445	NoCorrection	2000	A1	1440	1440	0	2000		LAT	LAT
13	1	-0.0127924355482639	0.0171436117361112	0	0.7	1	-0.0127924355482639	0.0171436117361112	10	20000	A2	1440	1440	0	20000		LAT	LAT
14	2	-0.00583759326597179	0.0825653624652778	0	0.9	0.4	-0.00583759326597179	0.0825653624652778	35	20000	A2	1440	1440	0	20000		LAT	LAT
15	3	-0.0183753934923609	0.00947426274305509	0	0.6	1	-0.0183753934923609	0.00947426274305509	FGr	20000	A2	1440	1440	0	20000		LAT	LAT
16	4	0.241648559343751	2.17566537586805	0	0	0	0.241648559343751	2.17566537586805	NoCorrection	20000	A2	1440	1440	0	20000		LAT	LAT
17	5	0.0564034092645834	-0.0422514356944444	0	0.2	0.6	0.0564034092645834	-0.0422514356944444	10	10000	A2	1440	1440	0	10000		LAT	LAT
18	6	0.0488508219031252	-0.182090156354166	0	0	0.2	0.0488508219031252	-0.182090156354166	35	10000	A2	1440	1440	0	10000		LAT	LAT
19	7	0.0760734789137155	0.0244784511111118	0	0	0.8	0.0760734789137155	0.0244784511111118	FGr	10000	A2	1440	1440	0	10000		LAT	LAT
20	8	0.337260893165972	1.70818325208333	0	0	0	0.337260893165972	1.70818325208333	NoCorrection	10000	A2	1440	1440	0	10000		LAT	LAT
21	9	0.00597093363541672	0.0328931114583332	0	0.6	0.7	0.00597093363541672	0.0328931114583332	10	2000	A2	1440	1440	0	2000		LAT	LAT
22	10	0.00846282105347238	0.0186182513194444	0	0.9	0.7	0.00846282105347238	0.0186182513194444	35	2000	A2	1440	1440	0	2000		LAT	LAT
23	11	0.02878494290625	0.170681801388889	0	0.3	0	0.02878494290625	0.170681801388889	FGr	2000	A2	1440	1440	0	2000		LAT	LAT
24	12	0.137927550895833	1.34460564201389	0	0	0	0.137927550895833	1.34460564201389	NoCorrection	2000	A2	1440	1440	0	2000		LAT	LAT
25	1	-0.114400714313889	0.315109771631944	0	0	0	-0.114400714313889	0.315109771631944	10	20000	A3	1440	1440	0	20000		LAT	LAT
26	2	-0.0965110554355555	0.132396748090278	0	0.3	0.6	-0.0965110554355555	0.132396748090278	35	20000	A3	1440	1440	0	20000		LAT	LAT
27	3	-0.115100250289504	0.208458877638889	0	0.2	0.2	-0.115100250289504	0.208458877638889	FGr	20000	A3	1440	1440	0	20000		LAT	LAT
28	4	0.0895890811145832	1.49980808194444	0	0.4	0	0.0895890811145832	1.49980808194444	NoCorrection	20000	A3	1440	1440	0	20000		LAT	LAT
29	5	-0.0241051475885417	-0.121283505451389	0	0.4	0.3	-0.0241051475885417	-0.121283505451389	10	10000	A3	1440	1440	0	10000		LAT	LAT
30	6	-0.02857249866875	-0.0462888744791667	0	0.8	0.9	-0.02857249866875	-0.0462888744791667	35	10000	A3	1440	1440	0	10000		LAT	LAT
31	7	-0.0170740776111111	-0.0982750563194449	0	0.8	0.5	-0.0170740776111111	-0.0982750563194449	FGr	10000	A3	1440	1440	0	10000		LAT	LAT
32	8	0.140768270543056	1.00719390291667	0	0	0	0.140768270543056	1.00719390291667	NoCorrection	10000	A3	1440	1440	0	10000		LAT	LAT
33	9	0.0142218707465278	0.0276721388888887	0	0.6	0.5	0.0142218707465278	0.0276721388888887	10	2000	A3	1440	1440	0	2000		LAT	LAT
34	10	0.0109636929097224	0.0133944618055564	0	0.9	0.9	0.0109636929097224	0.0133944618055564	35	2000	A3	1440	1440	0	2000		LAT	LAT
35	11	0.0221015104652778	0.101893934027777	0	0.5	0	0.0221015104652778	0.101893934027777	FGr	2000	A3	1440	1440	0	2000		LAT	LAT
36	12	0.152074948895833	1.402837496875	0	0	0	0.152074948895833	1.402837496875	NoCorrection	2000	A3	1440	1440	0	2000		LAT	LAT
37	1	-0.00693663586909745	0.284572466111111	0	0.9	0	-0.00693663586909745	0.284572466111111	10	20000	A4	1440	1440	0	20000		LAT	LAT
38	2	-0.0227814807947911	0.221160543298611	0	0.8	0	-0.0227814807947911	0.221160543298611	35	20000	A4	1440	1440	0	20000		LAT	LAT
39	3	0.00851357364826411	0.380080915868055	0	0.9	0	0.00851357364826411	0.380080915868055	FGr	20000	A4	1440	1440	0	20000		LAT	LAT
40	4	0.128736513846215	1.07924515809028	0	0	0	0.128736513846215	1.07924515809028	NoCorrection	20000	A4	1440	1440	0	20000		LAT	LAT
41	5	-0.0161137299611112	0.305418803993056	0	0.7	0	-0.0161137299611112	0.305418803993056	10	10000	A4	1440	1440	0	10000		LAT	LAT
42	6	-0.0159054823749999	0.264727689409722	0	0.7	0	-0.0159054823749999	0.264727689409722	35	10000	A4	1440	1440	0	10000		LAT	LAT
43	7	0.0011003809895832	0.410234427916667	0	0.9	0	0.0011003809895832	0.410234427916667	FGr	10000	A4	1440	1440	0	10000		LAT	LAT
44	8	0.16314868565625	1.33111701246528	0	0	0	0.16314868565625	1.33111701246528	NoCorrection	10000	A4	1440	1440	0	10000		LAT	LAT
45	9	0.0116179396006944	-0.0298825168750001	0	0.7	0.5	0.0116179396006944	-0.0298825168750001	10	2000	A4	1440	1440	0	2000		LAT	LAT
46	10	0.00619347185416669	0.0184156899305556	0	0.7	0.6	0.00619347185416669	0.0184156899305556	35	2000	A4	1440	1440	0	2000		LAT	LAT
47	11	0.02829825021875	0.135148577777778	0	0.1	0	0.02829825021875	0.135148577777778	FGr	2000	A4	1440	1440	0	2000		LAT	LAT
48	12	0.229690677013889	1.25266657638889	0	0	0	0.229690677013889	1.25266657638889	NoCorrection	2000	A4	1440	1440	0	2000		LAT	LAT
49	1	0.0389681882340281	0.0548724556249998	0	0.6	0.9	0.0389681882340281	0.0548724556249998	10	20000	A5	1440	1440	0	20000		LAT	LAT
50	2	0.0477203088959722	0.0197509871875012	0	0.3	0.9	0.0477203088959722	0.0197509871875012	35	20000	A5	1440	1440	0	20000		LAT	LAT
51	3	0.0386261268611806	0.0193231219791667	0	0.8	1	0.0386261268611806	0.0193231219791667	FGr	20000	A5	1440	1440	0	20000		LAT	LAT
52	4	0.498335789018402	2.90555724625	0	0	0	0.498335789018402	2.90555724625	NoCorrection	20000	A5	1440	1440	0	20000		LAT	LAT
