	V1	c-q	nc-q	true-q	c-p	nc-p	c-bias	nc-bias	type	L	rep	gwas_size	test_size	h2	num_causal	env	pheno	test
1	1	0.133398202497291	0.753506364409723	0	0.1	0	0.133398202497291	0.753506364409723	LMMNoCorrection	20000	A1	1440	1440	0	20000		LAT	LAT
2	2	0.232398221492361	0.958195139722222	0	0	0	0.232398221492361	0.958195139722222	LMMNoCorrection	19000	A1	1440	1440	0	19000		LAT	LAT
3	3	0.127830347307291	1.24466315680555	0	0	0	0.127830347307291	1.24466315680555	LMMNoCorrection	18000	A1	1440	1440	0	18000		LAT	LAT
4	4	0.162261162339201	0.733841180451389	0	0	0	0.162261162339201	0.733841180451389	LMMNoCorrection	17000	A1	1440	1440	0	17000		LAT	LAT
5	5	0.0558020402416668	0.998998620034721	0	0.4	0	0.0558020402416668	0.998998620034721	LMMNoCorrection	16000	A1	1440	1440	0	16000		LAT	LAT
6	6	0.0770297134201389	1.05880187670139	0	0.2	0	0.0770297134201389	1.05880187670139	LMMNoCorrection	15000	A1	1440	1440	0	15000		LAT	LAT
7	7	-0.0157228058479167	0.665649040694443	0	0.8	0	-0.0157228058479167	0.665649040694443	LMMNoCorrection	14000	A1	1440	1440	0	14000		LAT	LAT
8	8	0.112348794046805	0.874205433020834	0	0	0	0.112348794046805	0.874205433020834	LMMNoCorrection	13000	A1	1440	1440	0	13000		LAT	LAT
9	9	0.143680307478819	0.672576186527778	0	0.1	0	0.143680307478819	0.672576186527778	LMMNoCorrection	12000	A1	1440	1440	0	12000		LAT	LAT
10	10	0.0335161450659718	0.6504174428125	0	0.3	0	0.0335161450659718	0.6504174428125	LMMNoCorrection	11000	A1	1440	1440	0	11000		LAT	LAT
11	11	0.155446076767361	0.645235226284723	0	0	0	0.155446076767361	0.645235226284723	LMMNoCorrection	10000	A1	1440	1440	0	10000		LAT	LAT
12	12	0.154371317010417	0.7010717953125	0	0	0	0.154371317010417	0.7010717953125	LMMNoCorrection	9000	A1	1440	1440	0	9000		LAT	LAT
13	13	0.0842097445326388	0.552673637222221	0	0	0	0.0842097445326388	0.552673637222221	LMMNoCorrection	8000	A1	1440	1440	0	8000		LAT	LAT
14	14	0.130039130697917	0.585016892395833	0	0	0	0.130039130697917	0.585016892395833	LMMNoCorrection	7000	A1	1440	1440	0	7000		LAT	LAT
