	V1	c-q	nc-q	true-q	c-p	nc-p	c-bias	nc-bias	type	L	rep	gwas_size	test_size	h2	num_causal	env	pheno	test
1	1	-0.0740952780041661	0.0516974532291667	0	0	1	-0.0740952780041661	0.0516974532291667	10	20000	A1	1440	1440	0	300	0.2	LAT	LAT
2	2	-0.0945366911861117	-0.00183516243055561	0	0	1	-0.0945366911861117	-0.00183516243055561	FGr	20000	A1	1440	1440	0	300	0.2	LAT	LAT
3	3	0.169643532868055	1.93440371652778	0	0	0	0.169643532868055	1.93440371652778	NoCorrection	20000	A1	1440	1440	0	300	0.2	LAT	LAT
4	4	0.0621724693367363	1.17832833256944	0	0.5	0	0.0621724693367363	1.17832833256944	LMMNoCorrection	20000	A1	1440	1440	0	300	0.2	LAT	LAT
5	5	0.000267175318364225	0.00716950972415123	0	1	0	0.000267175318364225	0.00716950972415123	10	20000	A1	1440	1440	0	300	0.2	LAT	PS
6	6	0.000702758267195243	0.00876726474151233	0	0.5	0	0.000702758267195243	0.00876726474151233	FGr	20000	A1	1440	1440	0	300	0.2	LAT	PS
7	7	0.00540963512746916	0.0412459129976852	0	0	0	0.00540963512746916	0.0412459129976852	NoCorrection	20000	A1	1440	1440	0	300	0.2	LAT	PS
8	8	0.00324815807281638	0.0279766526388889	0	0	0	0.00324815807281638	0.0279766526388889	LMMNoCorrection	20000	A1	1440	1440	0	300	0.2	LAT	PS
9	9	-0.00184829128472219	-0.191336959201389	0	1	0	-0.00184829128472219	-0.191336959201389	10	20000	A1	1440	1440	0	300	0.2	DIAG	LAT
10	10	-0.00816834962708375	-0.135126564826389	0	1	0	-0.00816834962708375	-0.135126564826389	FGr	20000	A1	1440	1440	0	300	0.2	DIAG	LAT
11	11	-0.0534162958760416	-0.436807174270833	0	0	0	-0.0534162958760416	-0.436807174270833	NoCorrection	20000	A1	1440	1440	0	300	0.2	DIAG	LAT
12	12	-0.0534151623758329	-0.436808076111111	0	0	0	-0.0534151623758329	-0.436808076111111	LMMNoCorrection	20000	A1	1440	1440	0	300	0.2	DIAG	LAT
13	13	4.40848306712781e-05	-0.00454188393325617	0	1	0.5	4.40848306712781e-05	-0.00454188393325617	10	20000	A1	1440	1440	0	300	0.2	DIAG	PS
14	14	0.000126318650526609	0.000679540142746904	0	1	1	0.000126318650526609	0.000679540142746904	FGr	20000	A1	1440	1440	0	300	0.2	DIAG	PS
15	15	0.000244245040895051	0.000632866946373435	0	1	0.5	0.000244245040895051	0.000632866946373435	NoCorrection	20000	A1	1440	1440	0	300	0.2	DIAG	PS
16	16	0.000244245423271575	0.000632770794753082	0	1	1	0.000244245423271575	0.000632770794753082	LMMNoCorrection	20000	A1	1440	1440	0	300	0.2	DIAG	PS
17	17	-0.0375007209097223	-0.0562228621527774	0	0.5	0.5	-0.0375007209097223	-0.0562228621527774	10	20000	A1	1440	1440	0	300	0.2	PS	LAT
18	18	-0.0328783624141493	-0.18944463673611	0	1	0.5	-0.0328783624141493	-0.18944463673611	FGr	20000	A1	1440	1440	0	300	0.2	PS	LAT
19	19	-0.0383953959527778	-0.247848813923609	0	1	0	-0.0383953959527778	-0.247848813923609	NoCorrection	20000	A1	1440	1440	0	300	0.2	PS	LAT
20	20	-0.0355008994418403	-0.154031973784724	0	0.5	0.5	-0.0355008994418403	-0.154031973784724	LMMNoCorrection	20000	A1	1440	1440	0	300	0.2	PS	LAT
21	21	-0.00506065663811728	-0.00178916172453708	0	0	1	-0.00506065663811728	-0.00178916172453708	10	20000	A1	1440	1440	0	300	0.2	PS	PS
22	22	-0.00537429729890046	-0.0133299917534723	0	0	0	-0.00537429729890046	-0.0133299917534723	FGr	20000	A1	1440	1440	0	300	0.2	PS	PS
23	23	-0.00581252555416667	-0.0155323186786266	0	0	0	-0.00581252555416667	-0.0155323186786266	NoCorrection	20000	A1	1440	1440	0	300	0.2	PS	PS
24	24	-0.00570560568178048	-0.012071637177855	0	0	0	-0.00570560568178048	-0.012071637177855	LMMNoCorrection	20000	A1	1440	1440	0	300	0.2	PS	PS
25	1	0.0745351959975697	0.104481972256944	0	0.5	0.5	0.0745351959975697	0.104481972256944	10	20000	A2	1440	1440	0	300	0.2	LAT	LAT
26	2	0.0621077216076388	0.00692567829861127	0	0	1	0.0621077216076388	0.00692567829861127	FGr	20000	A2	1440	1440	0	300	0.2	LAT	LAT
27	3	0.119413592517708	0.596657669652777	0	0	0	0.119413592517708	0.596657669652777	NoCorrection	20000	A2	1440	1440	0	300	0.2	LAT	LAT
28	4	0.119412886424999	0.596659129374999	0	0	0	0.119412886424999	0.596659129374999	LMMNoCorrection	20000	A2	1440	1440	0	300	0.2	LAT	LAT
29	5	0.0093725626342014	-0.00742621858603397	0	0	0.5	0.0093725626342014	-0.00742621858603397	10	20000	A2	1440	1440	0	300	0.2	LAT	PS
30	6	0.00826269019072341	-0.0138964919290124	0	0	0	0.00826269019072341	-0.0138964919290124	FGr	20000	A2	1440	1440	0	300	0.2	LAT	PS
31	7	0.00793017487725696	-0.0135796962268519	0	0	0	0.00793017487725696	-0.0135796962268519	NoCorrection	20000	A2	1440	1440	0	300	0.2	LAT	PS
32	8	0.00793014558611113	-0.0135796815200618	0	0	0.5	0.00793014558611113	-0.0135796815200618	LMMNoCorrection	20000	A2	1440	1440	0	300	0.2	LAT	PS
33	9	0.113382857365972	0.00799352861111127	0	0	1	0.113382857365972	0.00799352861111127	10	20000	A2	1440	1440	0	300	0.2	DIAG	LAT
