	V1	c-q	nc-q	true-q	c-p	nc-p	c-bias	nc-bias	type	L	rep	gwas_size	test_size	h2	num_causal	env	pheno	test
1	1	0.0467529621975523	-0.128557956163195	0	0	0.5	0.0467529621975523	-0.128557956163195	LMMNoCorrection	20000	A1	1440	1440	0	300	0.2	LAT	LAT
2	2	0.0467529621975523	-0.128557956163195	0	0	0.5	0.0467529621975523	-0.128557956163195	LMMNoCorrection	20000	A1	1440	1440	0	300	0.2	LAT	PS
3	3	-0.122681574258055	-0.313921874809028	0	0	0	-0.122681574258055	-0.313921874809028	LMMNoCorrection	20000	A1	1440	1440	0	300	0.2	DIAG	LAT
4	4	-0.122681574258055	-0.313921874809028	0	0	0	-0.122681574258055	-0.313921874809028	LMMNoCorrection	20000	A1	1440	1440	0	300	0.2	DIAG	PS
5	5	-0.0539126212076389	-0.363968824913194	0	0	0	-0.0539126212076389	-0.363968824913194	LMMNoCorrection	20000	A1	1440	1440	0	300	0.2	PS	LAT
6	6	-0.0539126212076389	-0.363968824913194	0	0.5	0	-0.0539126212076389	-0.363968824913194	LMMNoCorrection	20000	A1	1440	1440	0	300	0.2	PS	PS
7	1	0.048584818371007	0.719460516996527	0	0	0	0.048584818371007	0.719460516996527	LMMNoCorrection	20000	A2	1440	1440	0	300	0.2	LAT	LAT
8	2	0.048584818371007	0.719460516996527	0	0.5	0	0.048584818371007	0.719460516996527	LMMNoCorrection	20000	A2	1440	1440	0	300	0.2	LAT	PS
9	3	-0.0637888695848767	0.447428793524305	0	0.5	0	-0.0637888695848767	0.447428793524305	LMMNoCorrection	20000	A2	1440	1440	0	300	0.2	DIAG	LAT
10	4	-0.0637888695848767	0.447428793524305	0	0.5	0	-0.0637888695848767	0.447428793524305	LMMNoCorrection	20000	A2	1440	1440	0	300	0.2	DIAG	PS
11	5	-0.00456080016250001	0.0738580095486108	0	1	1	-0.00456080016250001	0.0738580095486108	LMMNoCorrection	20000	A2	1440	1440	0	300	0.2	PS	LAT
12	6	-0.00456080016250001	0.0738580095486108	0	1	1	-0.00456080016250001	0.0738580095486108	LMMNoCorrection	20000	A2	1440	1440	0	300	0.2	PS	PS
13	1	0.029455514886816	-0.165525473159722	0	1	0.5	0.029455514886816	-0.165525473159722	LMMNoCorrection	20000	A3	1440	1440	0	300	0.2	LAT	LAT
14	2	0.029455514886816	-0.165525473159722	0	1	1	0.029455514886816	-0.165525473159722	LMMNoCorrection	20000	A3	1440	1440	0	300	0.2	LAT	PS
15	3	0.0598053195927082	0.162654561440972	0	0.5	0.5	0.0598053195927082	0.162654561440972	LMMNoCorrection	20000	A3	1440	1440	0	300	0.2	DIAG	LAT
16	4	0.0598053195927082	0.162654561440972	0	0	0	0.0598053195927082	0.162654561440972	LMMNoCorrection	20000	A3	1440	1440	0	300	0.2	DIAG	PS
17	5	-0.218328632576215	-0.42806718845486	0	0	0	-0.218328632576215	-0.42806718845486	LMMNoCorrection	20000	A3	1440	1440	0	300	0.2	PS	LAT
18	6	-0.218328632576215	-0.42806718845486	0	0	0	-0.218328632576215	-0.42806718845486	LMMNoCorrection	20000	A3	1440	1440	0	300	0.2	PS	PS
19	1	0.174285585188715	0.537944607013889	0	0	0	0.174285585188715	0.537944607013889	LMMNoCorrection	20000	A4	1440	1440	0	300	0.2	LAT	LAT
20	2	0.174285585188715	0.537944607013889	0	0	0	0.174285585188715	0.537944607013889	LMMNoCorrection	20000	A4	1440	1440	0	300	0.2	LAT	PS
21	3	0.042172472502458	0.538935205729166	0	0.5	0	0.042172472502458	0.538935205729166	LMMNoCorrection	20000	A4	1440	1440	0	300	0.2	DIAG	LAT
22	4	0.042172472502458	0.538935205729166	0	0.5	0	0.042172472502458	0.538935205729166	LMMNoCorrection	20000	A4	1440	1440	0	300	0.2	DIAG	PS
23	5	-0.028526114171875	-0.384003767204861	0	0.5	0	-0.028526114171875	-0.384003767204861	LMMNoCorrection	20000	A4	1440	1440	0	300	0.2	PS	LAT
24	6	-0.028526114171875	-0.384003767204861	0	1	0	-0.028526114171875	-0.384003767204861	LMMNoCorrection	20000	A4	1440	1440	0	300	0.2	PS	PS
25	1	0.000443156771701399	0.179556786840278	0	1	0	0.000443156771701399	0.179556786840278	LMMNoCorrection	20000	A5	1440	1440	0	300	0.2	LAT	LAT
26	2	0.000443156771701399	0.179556786840278	0	1	0	0.000443156771701399	0.179556786840278	LMMNoCorrection	20000	A5	1440	1440	0	300	0.2	LAT	PS
27	3	0.015947585563715	0.454710180815972	0	1	0	0.015947585563715	0.454710180815972	LMMNoCorrection	20000	A5	1440	1440	0	300	0.2	DIAG	LAT
28	4	0.015947585563715	0.454710180815972	0	0	0	0.015947585563715	0.454710180815972	LMMNoCorrection	20000	A5	1440	1440	0	300	0.2	DIAG	PS
29	5	-0.0597085502371527	0.160612335347223	0	0.5	0.5	-0.0597085502371527	0.160612335347223	LMMNoCorrection	20000	A5	1440	1440	0	300	0.2	PS	LAT
30	6	-0.0597085502371527	0.160612335347223	0	0	0.5	-0.0597085502371527	0.160612335347223	LMMNoCorrection	20000	A5	1440	1440	0	300	0.2	PS	PS
31	1	-0.11500810975	-0.0812711505555554	0	0	1	-0.11500810975	-0.0812711505555554	LMMNoCorrection	20000	A6	1440	1440	0	300	0.2	LAT	LAT
32	2	-0.11500810975	-0.0812711505555554	0	0	1	-0.11500810975	-0.0812711505555554	LMMNoCorrection	20000	A6	1440	1440	0	300	0.2	LAT	PS
33	3	0.00960674520177088	-0.405549893576389	0	1	0	0.00960674520177088	-0.405549893576389	LMMNoCorrection	20000	A6	1440	1440	0	300	0.2	DIAG	LAT
34	4	0.00960674520177088	-0.405549893576389	0	1	0	0.00960674520177088	-0.405549893576389	LMMNoCorrection	20000	A6	1440	1440	0	300	0.2	DIAG	PS
35	5	0.0182869612722222	0.426528552447917	0	1	0	0.0182869612722222	0.426528552447917	LMMNoCorrection	20000	A6	1440	1440	0	300	0.2	PS	LAT
36	6	0.0182869612722222	0.426528552447917	0	1	0	0.0182869612722222	0.426528552447917	LMMNoCorrection	20000	A6	1440	1440	0	300	0.2	PS	PS
37	1	-0.123014246588281	-0.906297765746529	0	0	0	-0.123014246588281	-0.906297765746529	LMMNoCorrection	20000	A7	1440	1440	0	300	0.2	LAT	LAT
38	2	-0.123014246588281	-0.906297765746529	0	0	0	-0.123014246588281	-0.906297765746529	LMMNoCorrection	20000	A7	1440	1440	0	300	0.2	LAT	PS
39	3	0.128591360751215	0.613438419010417	0	0	0	0.128591360751215	0.613438419010417	LMMNoCorrection	20000	A7	1440	1440	0	300	0.2	DIAG	LAT
40	4	0.128591360751215	0.613438419010417	0	0	0	0.128591360751215	0.613438419010417	LMMNoCorrection	20000	A7	1440	1440	0	300	0.2	DIAG	PS
41	5	0.0408351408793403	0.383065724097222	0	0.5	0	0.0408351408793403	0.383065724097222	LMMNoCorrection	20000	A7	1440	1440	0	300	0.2	PS	LAT
42	6	0.0408351408793403	0.383065724097222	0	1	0	0.0408351408793403	0.383065724097222	LMMNoCorrection	20000	A7	1440	1440	0	300	0.2	PS	PS
43	1	-0.17564850915	-0.655274599288195	0	0	0	-0.17564850915	-0.655274599288195	LMMNoCorrection	20000	A8	1440	1440	0	300	0.2	LAT	LAT
44	2	-0.17564850915	-0.655274599288195	0	0	0	-0.17564850915	-0.655274599288195	LMMNoCorrection	20000	A8	1440	1440	0	300	0.2	LAT	PS
45	3	0.133248012174826	1.21758722671875	0	0	0	0.133248012174826	1.21758722671875	LMMNoCorrection	20000	A8	1440	1440	0	300	0.2	DIAG	LAT
46	4	0.133248012174826	1.21758722671875	0	0	0	0.133248012174826	1.21758722671875	LMMNoCorrection	20000	A8	1440	1440	0	300	0.2	DIAG	PS
47	5	0.0410901822830209	-0.0414757500347226	0	0.5	0.5	0.0410901822830209	-0.0414757500347226	LMMNoCorrection	20000	A8	1440	1440	0	300	0.2	PS	LAT
48	6	0.0410901822830209	-0.0414757500347226	0	0.5	0.5	0.0410901822830209	-0.0414757500347226	LMMNoCorrection	20000	A8	1440	1440	0	300	0.2	PS	PS
49	1	0.0643896114255209	0.583090661493056	0	0.5	0	0.0643896114255209	0.583090661493056	LMMNoCorrection	20000	A9	1440	1440	0	300	0.2	LAT	LAT
50	2	0.0643896114255209	0.583090661493056	0	0.5	0	0.0643896114255209	0.583090661493056	LMMNoCorrection	20000	A9	1440	1440	0	300	0.2	LAT	PS
51	3	0.124744679458073	0.562390506319444	0	0	0	0.124744679458073	0.562390506319444	LMMNoCorrection	20000	A9	1440	1440	0	300	0.2	DIAG	LAT
52	4	0.124744679458073	0.562390506319444	0	0	0	0.124744679458073	0.562390506319444	LMMNoCorrection	20000	A9	1440	1440	0	300	0.2	DIAG	PS
53	5	-0.0485431354720486	0.461481827656251	0	0.5	0	-0.0485431354720486	0.461481827656251	LMMNoCorrection	20000	A9	1440	1440	0	300	0.2	PS	LAT
54	6	-0.0485431354720486	0.461481827656251	0	0	0	-0.0485431354720486	0.461481827656251	LMMNoCorrection	20000	A9	1440	1440	0	300	0.2	PS	PS
55	1	0.162561680511458	0.976268067378472	0	0	0	0.162561680511458	0.976268067378472	LMMNoCorrection	20000	A10	1440	1440	0	300	0.2	LAT	LAT
56	2	0.162561680511458	0.976268067378472	0	0	0	0.162561680511458	0.976268067378472	LMMNoCorrection	20000	A10	1440	1440	0	300	0.2	LAT	PS
57	3	-0.111999399971528	-0.574095771440972	0	0	0	-0.111999399971528	-0.574095771440972	LMMNoCorrection	20000	A10	1440	1440	0	300	0.2	DIAG	LAT
58	4	-0.111999399971528	-0.574095771440972	0	0.5	0	-0.111999399971528	-0.574095771440972	LMMNoCorrection	20000	A10	1440	1440	0	300	0.2	DIAG	PS
59	5	-0.143056601468403	-0.643047291302084	0	0	0	-0.143056601468403	-0.643047291302084	LMMNoCorrection	20000	A10	1440	1440	0	300	0.2	PS	LAT
60	6	-0.143056601468403	-0.643047291302084	0	0	0	-0.143056601468403	-0.643047291302084	LMMNoCorrection	20000	A10	1440	1440	0	300	0.2	PS	PS
61	1	-0.0104574481487847	-0.357802688958333	0	0.5	0	-0.0104574481487847	-0.357802688958333	LMMNoCorrection	20000	A11	1440	1440	0	300	0.2	LAT	LAT
62	2	-0.0104574481487847	-0.357802688958333	0	1	0	-0.0104574481487847	-0.357802688958333	LMMNoCorrection	20000	A11	1440	1440	0	300	0.2	LAT	PS
63	3	0.162178152973958	1.41706374432292	0	0	0	0.162178152973958	1.41706374432292	LMMNoCorrection	20000	A11	1440	1440	0	300	0.2	DIAG	LAT
64	4	0.162178152973958	1.41706374432292	0	0	0	0.162178152973958	1.41706374432292	LMMNoCorrection	20000	A11	1440	1440	0	300	0.2	DIAG	PS
65	5	-0.0609313131854028	0.0785454911111111	0	0.5	1	-0.0609313131854028	0.0785454911111111	LMMNoCorrection	20000	A11	1440	1440	0	300	0.2	PS	LAT
66	6	-0.0609313131854028	0.0785454911111111	0	0	0	-0.0609313131854028	0.0785454911111111	LMMNoCorrection	20000	A11	1440	1440	0	300	0.2	PS	PS
67	1	0.043260574440625	0.377462034930556	0	0	0	0.043260574440625	0.377462034930556	LMMNoCorrection	20000	A12	1440	1440	0	300	0.2	LAT	LAT
68	2	0.043260574440625	0.377462034930556	0	1	0	0.043260574440625	0.377462034930556	LMMNoCorrection	20000	A12	1440	1440	0	300	0.2	LAT	PS
69	3	0.0701411690015972	0.241911413125	0	0.5	0	0.0701411690015972	0.241911413125	LMMNoCorrection	20000	A12	1440	1440	0	300	0.2	DIAG	LAT
70	4	0.0701411690015972	0.241911413125	0	0.5	0.5	0.0701411690015972	0.241911413125	LMMNoCorrection	20000	A12	1440	1440	0	300	0.2	DIAG	PS
