	V1	c-q	nc-q	true-q	c-p	nc-p	c-bias	nc-bias	type	L	rep	gwas_size	test_size	h2	num_causal	env	pheno	test
1	1	-0.00453742122119789	-0.0198661784587191	0	0	0	-0.00453742122119789	-0.0198661784587191	LMMNoCorrection	20000	A1	1440	1440	0	20000		PS	PS
2	2	-0.0030647795310571	0.00130434412615741	0	0.4	0.8	-0.0030647795310571	0.00130434412615741	LMMNoCorrection	19000	A1	1440	1440	0	19000		PS	PS
3	3	-0.00105480539079861	0.0177101070003859	0	0.7	0	-0.00105480539079861	0.0177101070003859	LMMNoCorrection	18000	A1	1440	1440	0	18000		PS	PS
4	4	0.00156057270046298	-0.00601253358217593	0	0.4	0.5	0.00156057270046298	-0.00601253358217593	LMMNoCorrection	17000	A1	1440	1440	0	17000		PS	PS
5	5	0.003033757082581	0.0141566748418211	0	0.6	0.4	0.003033757082581	0.0141566748418211	LMMNoCorrection	16000	A1	1440	1440	0	16000		PS	PS
6	6	-0.00146617273456788	-0.00614890807291666	0	0.6	0.5	-0.00146617273456788	-0.00614890807291666	LMMNoCorrection	15000	A1	1440	1440	0	15000		PS	PS
7	7	0.00262937914272764	0.0204133204533179	0	0	0	0.00262937914272764	0.0204133204533179	LMMNoCorrection	14000	A1	1440	1440	0	14000		PS	PS
8	8	0.000816035598495365	0.0143597922415123	0	0.9	0	0.000816035598495365	0.0143597922415123	LMMNoCorrection	13000	A1	1440	1440	0	13000		PS	PS
9	9	0.00268865516367669	0.000317916005015435	0	0.2	1	0.00268865516367669	0.000317916005015435	LMMNoCorrection	12000	A1	1440	1440	0	12000		PS	PS
10	10	0.00417654783032408	0.0277164790914353	0	0.1	0	0.00417654783032408	0.0277164790914353	LMMNoCorrection	11000	A1	1440	1440	0	11000		PS	PS
11	11	-0.000540907329783951	-0.00557200342785495	0	0.8	0.3	-0.000540907329783951	-0.00557200342785495	LMMNoCorrection	10000	A1	1440	1440	0	10000		PS	PS
12	12	0.0023387056474537	0.00885618617091049	0	0.2	0.1	0.0023387056474537	0.00885618617091049	LMMNoCorrection	9000	A1	1440	1440	0	9000		PS	PS
13	13	-2.44214136188139e-05	-0.0100115050694444	0	0.9	0	-2.44214136188139e-05	-0.0100115050694444	LMMNoCorrection	8000	A1	1440	1440	0	8000		PS	PS
14	14	-0.0017881108724151	0.00446790391396605	0	0.2	0.3	-0.0017881108724151	0.00446790391396605	LMMNoCorrection	7000	A1	1440	1440	0	7000		PS	PS
15	15	0.00196865072797068	0.00411616329282408	0	0	0.1	0.00196865072797068	0.00411616329282408	LMMNoCorrection	6000	A1	1440	1440	0	6000		PS	PS
16	16	-0.00100117454089506	0.0077373886728395	0	0.4	0.1	-0.00100117454089506	0.0077373886728395	LMMNoCorrection	4000	A1	1440	1440	0	4000		PS	PS
17	17	0.00113292689776234	0.0110810511766975	0	0.2	0	0.00113292689776234	0.0110810511766975	LMMNoCorrection	2000	A1	1440	1440	0	2000		PS	PS
18	1	0.00135747832297453	0.00994713971257717	0	0.6	0.1	0.00135747832297453	0.00994713971257717	LMMNoCorrection	20000	A2	1440	1440	0	20000		PS	PS
19	2	0.00252294577005866	-0.000368444209104864	0	0.2	1	0.00252294577005866	-0.000368444209104864	LMMNoCorrection	19000	A2	1440	1440	0	19000		PS	PS
20	3	0.00308891776940586	0.0251940074459876	0	0.3	0	0.00308891776940586	0.0251940074459876	LMMNoCorrection	18000	A2	1440	1440	0	18000		PS	PS
21	4	0.00222697893248457	0.0115131605478395	0	0.4	0.1	0.00222697893248457	0.0115131605478395	LMMNoCorrection	17000	A2	1440	1440	0	17000		PS	PS
22	5	0.0039125212038233	0.0123584817824074	0	0	0.3	0.0039125212038233	0.0123584817824074	LMMNoCorrection	16000	A2	1440	1440	0	16000		PS	PS
23	6	0.00149073499791667	0.00940712484182094	0	0.3	0.1	0.00149073499791667	0.00940712484182094	LMMNoCorrection	15000	A2	1440	1440	0	15000		PS	PS
24	7	0.00252962985351082	0.00820701074459873	0	0.1	0	0.00252962985351082	0.00820701074459873	LMMNoCorrection	14000	A2	1440	1440	0	14000		PS	PS
25	8	0.00236168192600308	0.00896725867862649	0	0.2	0.2	0.00236168192600308	0.00896725867862649	LMMNoCorrection	13000	A2	1440	1440	0	13000		PS	PS
26	9	0.00305394630090662	0.0194525614988425	0	0.1	0	0.00305394630090662	0.0194525614988425	LMMNoCorrection	12000	A2	1440	1440	0	12000		PS	PS
27	10	0.00313678045667438	0.00602816330246925	0	0.3	0.2	0.00313678045667438	0.00602816330246925	LMMNoCorrection	11000	A2	1440	1440	0	11000		PS	PS
28	11	0.000548699736651236	0.0176625920177469	0	1	0	0.000548699736651236	0.0176625920177469	LMMNoCorrection	10000	A2	1440	1440	0	10000		PS	PS
29	12	0.000904325523533961	0.00996729957754625	0	0.7	0	0.000904325523533961	0.00996729957754625	LMMNoCorrection	9000	A2	1440	1440	0	9000		PS	PS
30	13	0.000406103823097998	-0.000218715877700602	0	0.7	1	0.000406103823097998	-0.000218715877700602	LMMNoCorrection	8000	A2	1440	1440	0	8000		PS	PS
31	14	0.00262804517511573	0.00696494135802467	0	0.2	0	0.00262804517511573	0.00696494135802467	LMMNoCorrection	7000	A2	1440	1440	0	7000		PS	PS
32	15	0.00109934033323689	0.0137624419020062	0	0.6	0	0.00109934033323689	0.0137624419020062	LMMNoCorrection	6000	A2	1440	1440	0	6000		PS	PS
33	16	0.000242252544637342	-5.72877044753003e-05	0	0.8	1	0.000242252544637342	-5.72877044753003e-05	LMMNoCorrection	4000	A2	1440	1440	0	4000		PS	PS
34	17	0.00105998407407408	0.00510506631944444	0	0.2	0.1	0.00105998407407408	0.00510506631944444	LMMNoCorrection	2000	A2	1440	1440	0	2000		PS	PS
35	1	-2.49966113040092e-05	0.0252764050405093	0	1	0	-2.49966113040092e-05	0.0252764050405093	LMMNoCorrection	20000	A3	1440	1440	0	20000		PS	PS
36	2	0.00292506578682484	0.0114234795293211	0	0.6	0.1	0.00292506578682484	0.0114234795293211	LMMNoCorrection	19000	A3	1440	1440	0	19000		PS	PS
37	3	-0.000522984614081781	0.00363757782600311	0	1	0.6	-0.000522984614081781	0.00363757782600311	LMMNoCorrection	18000	A3	1440	1440	0	18000		PS	PS
38	4	-0.00181591638859954	-0.000328414739583357	0	0.4	1	-0.00181591638859954	-0.000328414739583357	LMMNoCorrection	17000	A3	1440	1440	0	17000		PS	PS
39	5	0.00473555794396217	0.0279126414930555	0	0.2	0	0.00473555794396217	0.0279126414930555	LMMNoCorrection	16000	A3	1440	1440	0	16000		PS	PS
40	6	0.00501605113348765	0.021818574996142	0	0.1	0	0.00501605113348765	0.021818574996142	LMMNoCorrection	15000	A3	1440	1440	0	15000		PS	PS
41	7	-0.00192111690873844	0.00512395616319445	0	0.5	0.5	-0.00192111690873844	0.00512395616319445	LMMNoCorrection	14000	A3	1440	1440	0	14000		PS	PS
42	8	-9.37693042052486e-05	0.0127270509876543	0	0.9	0	-9.37693042052486e-05	0.0127270509876543	LMMNoCorrection	13000	A3	1440	1440	0	13000		PS	PS
43	9	0.00134992210484318	0.00687034138310181	0	0.5	0.3	0.00134992210484318	0.00687034138310181	LMMNoCorrection	12000	A3	1440	1440	0	12000		PS	PS
44	10	-0.000343915644000758	0.00589946691936731	0	0.4	0.4	-0.000343915644000758	0.00589946691936731	LMMNoCorrection	11000	A3	1440	1440	0	11000		PS	PS
45	11	-0.000682288000385787	0.0087290498919753	0	0.8	0	-0.000682288000385787	0.0087290498919753	LMMNoCorrection	10000	A3	1440	1440	0	10000		PS	PS
46	12	0.00152136868447146	-0.00179454576774692	0	0.1	0.7	0.00152136868447146	-0.00179454576774692	LMMNoCorrection	9000	A3	1440	1440	0	9000		PS	PS
47	13	-0.000240978425733021	0.0148068396875	0	0.9	0	-0.000240978425733021	0.0148068396875	LMMNoCorrection	8000	A3	1440	1440	0	8000		PS	PS
48	14	-0.00233943711554784	0.00071637610532408	0	0	0.8	-0.00233943711554784	0.00071637610532408	LMMNoCorrection	7000	A3	1440	1440	0	7000		PS	PS
