Error,Type
0.0129165464344847,FGr
0.01123757958367,PC1
0.0115040877774466,PC2
0.0252908833147731,PC3
0.0542106485260402,PC4
0.055519728904607,PC5
0.0739889036025394,PC6
0.0759839904172033,PC7
0.13658822659394,PC8
0.140718139585696,PC9
0.145535083568164,PC10
0.166450141434799,PC11
0.172560149684851,PC12
0.241774489293667,PC13
0.251638335231702,PC14
0.259117981542679,PC15
0.268194476950977,PC16
0.288047682324219,PC17
0.30180946683191,PC18
0.339453765061216,PC19
0.357366482089467,PC20
0.370349873369317,PC21
0.384151344952382,PC22
0.397584318549381,PC23
0.411451760913691,PC24
0.433458030318525,PC25
0.488771036915247,PC26
0.524188714449239,PC27
0.55207968222848,PC28
0.588421968081215,PC29
0.644530156919839,PC30
0.690891469554077,PC31
0.759065615804231,PC32
0.805293651819476,PC33
0.86824170504675,PC34
0.899829284171831,PC35
0.924229777178463,PC36
0.931804868264587,PC37
0.949435974733362,PC38
0.956784920602461,PC39
0.962974068247843,PC40
0.966213440914095,PC41
0.968684357821265,PC42
0.970219754599124,PC43
0.973682085319883,PC44
0.975550655850569,PC45
0.978801061809695,PC46
0.980514291867446,PC47
0.981706835694004,PC48
0.981928778571163,PC49
0.983772223287213,PC50
0.983054640997105,PC51
0.989416574202664,PC52
0.986261583343943,PC53
0.989569859119495,PC54
0.986464324921752,PC55
0.98910947137473,PC56
0.990012028684924,PC57
0.991337201790133,PC58
0.990508287845244,PC59
0.990772048686913,PC60
0.991998643980341,PC61
0.993869080878673,PC62
0.992307840836672,PC63
0.990972425345422,PC64
0.993670313005323,PC65
0.996105990479083,PC66
0.992373821796195,PC67
0.995223787479721,PC68
0.99515737680481,PC69
0.997460278474678,PC70
0.996476196095344,PC71
0.995363399232736,PC72
0.997536152351877,PC73
0.997451949724833,PC74
0.997411449565762,PC75
0.999212609860244,PC76
0.997596811949798,PC77
0.998762822436768,PC78
0.997573720180957,PC79
0.999344278720722,PC80
1.00018848603259,PC81
0.998881918939319,PC82
0.999304163706799,PC83
1.00132817834564,PC84
1.00066494855327,PC85
1.00134823763939,PC86
1.0015649628008,PC87
1.00006595133663,PC88
1.00089801973619,PC89
1.00127605627386,PC90
1.00160553265865,PC91
1.00233081433048,PC92
1.00134975922932,PC93
1.00335132293113,PC94
1.00381023926845,PC95
1.0037946885666,PC96
1.00350778100617,PC97
1.00302294663884,PC98
1.003018233497,PC99
1.00350045464674,PC100
