Pop	avg_FGr	LAT	LONG
0	-1.37048236589051	0	0
1	-1.36972362092601	0	1
2	-1.36969186080597	0	2
3	-1.37389234291726	0	3
4	-1.37297208992655	0	4
5	-1.36721611804196	0	5
6	-0.98021516076223	1	0
7	-0.979893913116028	1	1
8	-0.983364420275087	1	2
9	-0.979684378476485	1	3
10	-0.980956320914276	1	4
11	-0.980511349685307	1	5
12	-0.353069999065915	2	0
13	-0.354225557213508	2	1
14	-0.355876337962368	2	2
15	-0.351989800281107	2	3
16	-0.350464606486519	2	4
17	-0.354365579817148	2	5
18	0.350390450645572	3	0
19	0.354116638886946	3	1
20	0.353594676622612	3	2
21	0.354531090929799	3	3
22	0.353527694690169	3	4
23	0.354740323486149	3	5
24	0.981696681801443	4	0
25	0.982074620647797	4	1
26	0.979857685276741	4	2
27	0.982382099342339	4	3
28	0.982592249479189	4	4
29	0.982771116543854	4	5
30	1.36704938356778	5	0
31	1.36671595201169	5	1
32	1.37071730434943	5	2
33	1.37167566957168	5	3
34	1.37152037667653	5	4
35	1.36864180803451	5	5
