Error,Type
0.0668786673715603,FGr
0.0175602070212099,PC1
0.018263288537277,PC2
0.0394206697634048,PC3
0.0836519810926131,PC4
0.0857973405307229,PC5
0.112777565509724,PC6
0.118750475918789,PC7
0.205715393835778,PC8
0.213002931001177,PC9
0.223538545087358,PC10
0.25228476187695,PC11
0.26298329265703,PC12
0.356923176814394,PC13
0.372021019409418,PC14
0.385299305678939,PC15
0.399769549796301,PC16
0.428501715874882,PC17
0.455533566088055,PC18
0.489243188349099,PC19
0.519236347630705,PC20
0.545653973613916,PC21
0.567615976582758,PC22
0.584240470413458,PC23
0.60872496349461,PC24
0.650703904595617,PC25
0.69055893532894,PC26
0.734887170968688,PC27
0.772125010944586,PC28
0.81123976110981,PC29
0.830152188934459,PC30
0.859603396682,PC31
0.883659475268043,PC32
0.88558086327177,PC33
0.89758459219817,PC34
0.907578081109427,PC35
0.922956734203652,PC36
0.921318194098118,PC37
0.926518009732525,PC38
0.938701731924868,PC39
0.938023600550508,PC40
0.947430628389791,PC41
0.945441254774238,PC42
0.95587167570686,PC43
0.956036196032609,PC44
0.959707044323511,PC45
0.963038975076516,PC46
0.962968810219211,PC47
0.963409282541476,PC48
0.961516069573778,PC49
0.966216808881247,PC50
0.965637757963513,PC51
0.971437703720616,PC52
0.970981584351921,PC53
0.971626614550657,PC54
0.970251298835644,PC55
0.972933565899662,PC56
0.97421183479293,PC57
0.973588827762905,PC58
0.976394335260779,PC59
0.978130095573822,PC60
0.97655596317217,PC61
0.979804864018006,PC62
0.980065452366595,PC63
0.97821842520988,PC64
0.98186755093533,PC65
0.981885701945653,PC66
0.982108951980639,PC67
0.982926415516972,PC68
0.982857348866338,PC69
0.983103160420192,PC70
0.986114501678923,PC71
0.986843278162433,PC72
0.986064672894507,PC73
0.98675715316702,PC74
0.985545455326532,PC75
0.986393174870773,PC76
0.987794501458121,PC77
0.988142829120037,PC78
0.988503834805438,PC79
0.985872789429773,PC80
0.990894155644847,PC81
0.989828156231953,PC82
0.989663946200399,PC83
0.991169551568584,PC84
0.988579868310326,PC85
0.989662331772672,PC86
0.98970594977393,PC87
0.990782784493039,PC88
0.993423414582567,PC89
0.992600090086005,PC90
0.991806081426907,PC91
0.993408143329115,PC92
0.992654680153371,PC93
0.993860596459612,PC94
0.994373331371577,PC95
0.99303953075449,PC96
0.994829786404459,PC97
0.994655276624198,PC98
0.994097971518091,PC99
0.994278561489457,PC100
