Pop	avg_FGr	LAT	LONG
0	-0.49385159559052	0	0
1	-0.56675698130364	0	1
2	-0.723103258589477	0	2
3	-0.901549475782899	0	3
4	-1.0513620988908	0	4
5	-1.13336125275495	0	5
6	-0.250768582591914	1	0
7	-0.336778355129041	1	1
8	-0.539894351680367	1	2
9	-0.766149940995107	1	3
10	-0.947013716567298	1	4
11	-1.05140612328341	1	5
12	0.261739084128566	2	0
13	0.1816989707199	2	1
14	-0.147224033444461	2	2
15	-0.49637888322738	2	3
16	-0.766926379755178	2	4
17	-0.905493359961414	2	5
18	1.02536430792253	3	0
19	1.11547879969812	3	1
20	0.43949971563946	3	2
21	-0.144823429503973	3	3
22	-0.530164646563021	3	4
23	-0.717107739211889	3	5
24	1.87376401126091	4	0
25	2.97927935188055	4	1
26	1.11719374209684	4	2
27	0.185388725846446	4	3
28	-0.338922555712668	4	4
29	-0.574534078060135	4	5
30	1.78446381364579	5	0
31	1.86729609875558	5	1
32	1.02213184969887	5	2
33	0.267027149637882	5	3
34	-0.240090054222202	5	4
35	-0.496664728109712	5	5
