Pop	avg_PRS	LAT	LONG
0	-0.0176274074482181	0	0
1	-0.00230065379448808	0	1
2	-0.00715670660844748	0	2
3	0.00771797681043386	0	3
4	0.00697269072824929	0	4
5	-0.00898072136431704	0	5
6	0.00545230888432007	1	0
7	0.0128640295592392	1	1
8	-0.0100263232317876	1	2
9	0.0291602759489706	1	3
10	-0.00835343677387073	1	4
11	0.0149319222011545	1	5
12	-0.0185500179277449	2	0
13	-0.0102448417348362	2	1
14	0.00258433941313848	2	2
15	-0.00143379822585205	2	3
16	-0.00998623985264293	2	4
17	-0.00560557485677118	2	5
18	-0.00711251839447196	3	0
19	0.00274451699879166	3	1
20	-0.0145335353286537	3	2
21	0.0199007267534056	3	3
22	0.0273359150444486	3	4
23	-0.021691354468803	3	5
24	-0.00550021026020772	4	0
25	-0.0118780187825361	4	1
26	-0.00316093488373158	4	2
27	0.0115927564763354	4	3
28	0.0219351181109102	4	4
29	-0.0342244691683141	4	5
30	0.0225385607610013	5	0
31	0.0151080831330309	5	1
32	0.00827491129141253	5	2
33	-0.00842903314296577	5	3
34	-0.0210231610814755	5	4
35	0.0187048252152951	5	5
