Pop	avg_PRS	LAT	LONG
0	-0.0422702759019033	0	0
1	-0.0501346327565041	0	1
2	-0.0038871915187921	0	2
3	0.0240454845846787	0	3
4	0.040515791869405	0	4
5	0.0297368812280656	0	5
6	-0.0673717134444213	1	0
7	-0.0473739775669997	1	1
8	-0.00309125166185432	1	2
9	0.0261115104078027	1	3
10	0.0468949415504197	1	4
11	0.0483148435327717	1	5
12	-0.0801075240789243	2	0
13	-0.0646620516990153	2	1
14	0.00891490706821128	2	2
15	0.0402282075080567	2	3
16	0.0658553392358962	2	4
17	0.0604452659516459	2	5
18	-0.137893033948231	3	0
19	-0.127575551699981	3	1
20	-0.0308168664246461	3	2
21	0.0770806708738209	3	3
22	0.101852014902313	3	4
23	0.0862721668054908	3	5
24	-0.194376420436522	4	0
25	-0.159363875192638	4	1
26	-0.0725791247419822	4	2
27	0.0476515803214255	4	3
28	0.163287938240356	4	4
29	0.171822322804983	4	5
30	-0.205513916409194	5	0
31	-0.177259866184984	5	1
32	-0.0946845199755773	5	2
33	0.0326168520477602	5	3
34	0.156829732714725	5	4
35	0.330485341994343	5	5
