Pop	avg_PRS	LAT	LONG
0	-0.11255761844708	0	0
1	-0.0739599994453496	0	1
2	-0.0685909330653427	0	2
3	-0.0391285635262206	0	3
4	-0.0293581219481309	0	4
5	-0.0507229443924668	0	5
6	-0.0681424758954852	1	0
7	-0.0488004910809005	1	1
8	-0.0302172348172517	1	2
9	0.0126122741074783	1	3
10	-0.0232612308593431	1	4
11	-0.0167469008602633	1	5
12	-0.0733509779674126	2	0
13	-0.0266684301051351	2	1
14	0.0261666642896227	2	2
15	0.0219916514558599	2	3
16	-0.0073607651041444	2	4
17	-0.0274773510338467	2	5
18	-0.0509271405444526	3	0
19	-0.0171942306025542	3	1
20	0.000394971262195931	3	2
21	0.056215456561777	3	3
22	0.0455423804064817	3	4
23	-0.00593522727362948	3	5
24	-0.0238754887897379	4	0
25	-0.0202924000820517	4	1
26	0.0160371610695037	4	2
27	0.0485902196916786	4	3
28	0.0997694712732005	4	4
29	0.0782036777838257	4	5
30	0.0288047970416951	5	0
31	0.0169680719628398	5	1
32	0.0238064598640535	5	2
33	0.0500307887080897	5	3
34	0.100090043179197	5	4
35	0.189344437183299	5	5
