Pop	avg_PRS	LAT	LONG
0	-0.152862344458714	0	0
1	-0.107575655378698	0	1
2	-0.0898964756683019	0	2
3	-0.05105620305671	0	3
4	-0.0303169303331522	0	4
5	-0.062297416918104	0	5
6	-0.0997164721047607	1	0
7	-0.0736955224541445	1	1
8	-0.0490304715451653	1	2
9	0.0062036871253885	1	3
10	-0.0262271112660976	1	4
11	-0.0203522471108207	1	5
12	-0.103697118481535	2	0
13	-0.0463826989216567	2	1
14	0.0227543753661629	2	2
15	0.0346106493813103	2	3
16	0.00205001796817919	2	4
17	-0.0159756893614086	2	5
18	-0.0703301275726487	3	0
19	-0.0298921397579419	3	1
20	-0.0023714133769233	3	2
21	0.0776393811857182	3	3
22	0.0727239495438706	3	4
23	0.0183012561600999	3	5
24	-0.038021177429563	4	0
25	-0.0317150195831295	4	1
26	0.0246404345462067	4	2
27	0.0717495211120188	4	3
28	0.132918208214314	4	4
29	0.115919686702519	4	5
30	0.0186568789832162	5	0
31	0.0129848282100143	5	1
32	0.0326375966571637	5	2
33	0.0769739917462545	5	3
34	0.138905884281463	5	4
35	0.241741887595577	5	5
