Pop	avg_PRS	LAT	LONG
0	-0.00770712547460777	0	0
1	-0.00774022465870307	0	1
2	0.0171467778717082	0	2
3	0.0108540751457884	0	3
4	-0.0114637743953014	0	4
5	-0.0101475092519082	0	5
6	-0.001135729406141	1	0
7	-0.0114156069196315	1	1
8	0.00367548330031191	1	2
9	-0.0169809299837827	1	3
10	-0.00650864946276479	1	4
11	0.000907242069177025	1	5
12	0.0116072125521756	2	0
13	-0.00215261379870484	2	1
14	0.00822663915546183	2	2
15	-0.00110864579605632	2	3
16	0.000884066837355411	2	4
17	0.00579891616897404	2	5
18	0.0192421300989303	3	0
19	-0.0100127892469518	3	1
20	0.0034675921234258	3	2
21	0.0339093682601819	3	3
22	0.00621673187142577	3	4
23	-0.0138779167404802	3	5
24	-0.0139699484991656	4	0
25	0.000192023417381635	4	1
26	0.0030809362381165	4	2
27	0.0170939591699949	4	3
28	0.0323871437398694	4	4
29	-0.041253107188612	4	5
30	-0.0168675741107038	5	0
31	-0.0106782483939743	5	1
32	0.0022306858958911	5	2
33	-0.00974335803920649	5	3
34	-0.0239871966019609	5	4
35	0.0398299640524877	5	5
