Pop	avg_PRS	LAT	LONG
0	-0.158339891618036	0	0
1	-0.109048946265016	0	1
2	-0.0937112056954674	0	2
3	-0.0507069360656453	0	3
4	-0.0293808791373866	0	4
5	-0.0579071899682607	0	5
6	-0.105523907918862	1	0
7	-0.0792877069010013	1	1
8	-0.0461841179119171	1	2
9	0.0014852026977741	1	3
10	-0.0211048492525151	1	4
11	-0.0160532121313962	1	5
12	-0.100859296523985	2	0
13	-0.0515616066514666	2	1
14	0.022315468655455	2	2
15	0.0261048872807986	2	3
16	0.00227875570501696	2	4
17	-0.021785070309521	2	5
18	-0.0699530993960965	3	0
19	-0.0312987232876193	3	1
20	-0.0017675365998307	3	2
21	0.0732671445583599	3	3
22	0.0692110118639365	3	4
23	0.0120539503274139	3	5
24	-0.0317598094539636	4	0
25	-0.0215438180055693	4	1
26	0.0265655317898654	4	2
27	0.0762814666425032	4	3
28	0.131233659613412	4	4
29	0.115252516295892	4	5
30	0.0250709248462804	5	0
31	0.021366148623102	5	1
32	0.0355409607268544	5	2
33	0.0741675190060748	5	3
34	0.140815666874396	5	4
35	0.24476698758642	5	5
