Pop	avg_PRS	LAT	LONG
0	-0.107299017530477	0	0
1	-0.111816481702994	0	1
2	-0.0694007678318284	0	2
3	-0.040240005798355	0	3
4	-0.0198070512326754	0	4
5	-0.0318793059250107	0	5
6	-0.117004303042178	1	0
7	-0.0948588170980143	1	1
8	-0.0518919122353629	1	2
9	-0.0209831137394023	1	3
10	0.000294837206061485	1	4
11	0.00161688167719449	1	5
12	-0.0997783991996468	2	0
13	-0.085276014951034	2	1
14	-0.0133219994328309	2	2
15	0.0179804182542984	2	3
16	0.0451696379809098	2	4
17	0.0510082201139323	2	5
18	-0.118422245687113	3	0
19	-0.110549077963991	3	1
20	-0.0200752935140401	3	2
21	0.0852529397965553	3	3
22	0.114146878177736	3	4
23	0.107762943581468	3	5
24	-0.137964130588767	4	0
25	-0.107837861779499	4	1
26	-0.0280173824530365	4	2
27	0.0995114182850093	4	3
28	0.205742711887808	4	4
29	0.212648621026551	4	5
30	-0.128907325017	5	0
31	-0.0988052151024111	5	1
32	-0.027350343997815	5	2
33	0.0967990630185054	5	3
34	0.219630691844703	5	4
35	0.383920802972749	5	5
