Pop	avg_PRS	LAT	LONG
0	-0.0648968278903175	0	0
1	-0.0309523115370292	0	1
2	-0.0184256860483115	0	2
3	-0.0173965131994372	0	3
4	0.0139620671964722	0	4
5	-0.016332104209847	0	5
6	0.00280279246348033	1	0
7	0.0499792830691657	1	1
8	-0.0196796188341381	1	2
9	0.012797463658914	1	3
10	-0.017328427754927	1	4
11	-0.0148218911887656	1	5
12	-0.0276016677161132	2	0
13	-0.00496042206268396	2	1
14	0.0677822696197354	2	2
15	-0.0118614463618738	2	3
16	-0.018401604800046	2	4
17	-0.0113924295132894	2	5
18	-0.0382267657855426	3	0
19	0.0151772412306672	3	1
20	-0.0272813760812968	3	2
21	0.109008017080021	3	3
22	-0.0288815206550553	3	4
23	-0.0513304416887148	3	5
24	-0.018125594895759	4	0
25	-0.0126774550156132	4	1
26	-0.0248137631224052	4	2
27	-0.0390116528085687	4	3
28	0.122828739509082	4	4
29	-0.0251634492881022	4	5
30	0.00894559162913442	5	0
31	0.0159776586302782	5	1
32	-0.00352822579918296	5	2
33	-0.0100032288729669	5	3
34	-0.0294575611157174	5	4
35	0.163290862158754	5	5
