Pop	avg_PRS	LAT	LONG
0	0.0348813610495486	0	0
1	0.020646005750236	0	1
2	-0.0198013949040938	0	2
3	-0.0263249083032609	0	3
4	-0.0293360377857076	0	4
5	-0.0402250834321486	0	5
6	0.0190108508456426	1	0
7	0.0140560025897462	1	1
8	-0.00657240313074796	1	2
9	-0.0415011147301352	1	3
10	-0.0318672570982416	1	4
11	-0.0338905987644476	1	5
12	0.0174178488439284	2	0
13	0.0176838909406977	2	1
14	0.0315901523255058	2	2
15	-0.00484426856389788	2	3
16	-0.0125470260291092	2	4
17	-0.0149798541679892	2	5
18	0.0314789334599484	3	0
19	0.00527343661423362	3	1
20	0.0114262872972255	3	2
21	-0.0019844031634588	3	3
22	0.00994696565918115	3	4
23	-0.0107250470875505	3	5
24	0.0126115817586581	4	0
25	-0.00512738186797581	4	1
26	0.0122983856540276	4	2
27	0.0237561416203124	4	3
28	-0.0107503190262826	4	4
29	0.00394414609581077	4	5
30	0.0430534473850296	5	0
31	0.0213073208768166	5	1
32	-0.0117801528289521	5	2
33	-0.00160631041339627	5	3
34	-0.0116683193686926	5	4
35	-0.014850878100462	5	5
