Pop	avg_PRS	LAT	LONG
0	-0.277176896840154	0	0
1	-0.27470775933849	0	1
2	-0.32286013474614	0	2
3	-0.324326900059111	0	3
4	-0.317670530924412	0	4
5	-0.328382361833034	0	5
6	-0.205713848843204	1	0
7	-0.211613024590663	1	1
8	-0.220549712651189	1	2
9	-0.249971956718136	1	3
10	-0.236591441870151	1	4
11	-0.242357294051786	1	5
12	-0.0679256594249466	2	0
13	-0.0623046895637822	2	1
14	-0.0573638286199336	2	2
15	-0.0898287145475681	2	3
16	-0.0947345876324474	2	4
17	-0.0911815229693705	2	5
18	0.111413092082437	3	0
19	0.0783041949220465	3	1
20	0.0894300083174143	3	2
21	0.0895766172684337	3	3
22	0.0874992779154863	3	4
23	0.0672622957690086	3	5
24	0.230998186350865	4	0
25	0.20653105335888	4	1
26	0.228481470083635	4	2
27	0.241153930378363	4	3
28	0.200810553742813	4	4
29	0.222301597888197	4	5
30	0.321413016019051	5	0
31	0.30891020273346	5	1
32	0.287865439019115	5	2
33	0.303892871388175	5	3
34	0.302623094720598	5	4
35	0.296793963266542	5	5
