Pop	avg_PRS	LAT	LONG
0	-0.450941869524459	0	0
1	-0.44503520021188	0	1
2	-0.482411585745079	0	2
3	-0.490209880828308	0	3
4	-0.494889784548242	0	4
5	-0.504137585253238	0	5
6	-0.323297842013489	1	0
7	-0.340499728734357	1	1
8	-0.351522081034757	1	2
9	-0.367177630291649	1	3
10	-0.364493622422945	1	4
11	-0.362293465206099	1	5
12	-0.103159261816166	2	0
13	-0.11894163637163	2	1
14	-0.104239309763883	2	2
15	-0.132999611893682	2	3
16	-0.131381135450643	2	4
17	-0.129071965921897	2	5
18	0.151062406240078	3	0
19	0.121196236377581	3	1
20	0.130772967458146	3	2
21	0.149821929299578	3	3
22	0.131928071605116	3	4
23	0.117123192897782	3	5
24	0.351322667359933	4	0
25	0.329449673523377	4	1
26	0.342901484561417	4	2
27	0.363709136835509	4	3
28	0.331047172322882	4	4
29	0.346101628118045	4	5
30	0.491655152769206	5	0
31	0.478695491320693	5	1
32	0.455517949200602	5	2
33	0.473567088013304	5	3
34	0.471368538965036	5	4
35	0.459462410164121	5	5
