Pop	avg_PRS	LAT	LONG
0	0.00433962550227188	0	0
1	0.00638365656527513	0	1
2	-0.0215113821285312	0	2
3	-0.00144566648220364	0	3
4	-0.000459050489250149	0	4
5	-0.0086990446690198	0	5
6	-0.00278514244635945	1	0
7	0.000316515889048317	1	1
8	-0.00679996638413669	1	2
9	-0.0224616451964764	1	3
10	-0.0124055670283783	1	4
11	-0.027677258268628	1	5
12	-0.00112823737839459	2	0
13	0.00097042446640715	2	1
14	0.0151208068045662	2	2
15	-0.0112927898488793	2	3
16	-0.00638262596774007	2	4
17	0.000494105053126643	2	5
18	0.0138965471819958	3	0
19	-0.00463905027447137	3	1
20	-0.00256577737956642	3	2
21	0.00323656205786872	3	3
22	0.0134649536483851	3	4
23	0.00599910678639261	3	5
24	0.00580816381274014	4	0
25	-0.0168618685458831	4	1
26	0.00933561183808829	4	2
27	0.0170614174329468	4	3
28	-0.00387553964595584	4	4
29	0.0196485695243072	4	5
30	0.0124424254859771	5	0
31	-4.45105051441825e-05	5	1
32	-0.0230291747628685	5	2
33	0.0083976903515109	5	3
34	0.0156678321545273	5	4
35	0.0214802828464522	5	5
