Pop	avg_PRS	LAT	LONG
0	-0.0830211758181852	0	0
1	-0.100153586167652	0	1
2	-0.0929896088414565	0	2
3	-0.111229059381775	0	3
4	-0.109405249261189	0	4
5	-0.110479456307407	0	5
6	-0.0578596369662802	1	0
7	-0.0733888350324108	1	1
8	-0.0585698344656569	1	2
9	-0.0817959375285776	1	3
10	-0.0770787936122079	1	4
11	-0.0593014176982663	1	5
12	-0.0403702971046426	2	0
13	-0.000295081478042394	2	1
14	-0.0199266153383742	2	2
15	-0.0160771120946613	2	3
16	-0.00510263904673064	2	4
17	-0.0321962585585315	2	5
18	0.0394837129941875	3	0
19	0.0179469179204257	3	1
20	0.0455659707083196	3	2
21	0.0293053538103202	3	3
22	0.0433547601463088	3	4
23	0.04485433104758	3	5
24	0.0456159222928961	4	0
25	0.0509375861024353	4	1
26	0.0487780522426256	4	2
27	0.0812273009182367	4	3
28	0.0445196320960827	4	4
29	0.0405029366477435	4	5
30	0.120252066747593	5	0
31	0.109997945896765	5	1
32	0.0814084431048405	5	2
33	0.0965088317521928	5	3
34	0.111018892733528	5	4
35	0.0779619375399648	5	5
