Pop	avg_PRS	LAT	LONG
0	0.0608253045473577	0	0
1	0.0477938965855858	0	1
2	0.0521291176960908	0	2
3	0.0429074615420125	0	3
4	0.03382410990531	0	4
5	0.0250350696816582	0	5
6	0.0346277300565248	1	0
7	0.0012505804725463	1	1
8	-0.00902701115497523	1	2
9	0.0393975335500856	1	3
10	0.0127415669433978	1	4
11	0.00145609407627995	1	5
12	0.0161923915760677	2	0
13	-0.0279257322594333	2	1
14	-0.013109243814898	2	2
15	0.0197824179144255	2	3
16	0.0346296694166984	2	4
17	0.0189894862598256	2	5
18	0.00850425196040768	3	0
19	-0.025824042141779	3	1
20	-0.0324342653041098	3	2
21	-0.011521044438042	3	3
22	0.0348477799422085	3	4
23	-0.00325760938075926	3	5
24	-0.0419923915532746	4	0
25	-0.0139206090887383	4	1
26	-0.0525871463140687	4	2
27	-0.00692123316516208	4	3
28	0.0153936327452752	4	4
29	0.00295645303623689	4	5
30	-0.105160129165034	5	0
31	-0.0930801276597941	5	1
32	-0.0494432861224153	5	2
33	-0.00502991868910314	5	3
34	0.015578607738384	5	4
35	-0.0276293653947936	5	5
