Pop	avg_PRS	LAT	LONG
0	0.0374338265760219	0	0
1	0.0139909955148078	0	1
2	-0.00496421163877505	0	2
3	-0.0262567985634838	0	3
4	-0.0426983610035515	0	4
5	-0.0602095765971386	0	5
6	0.0313818011287643	1	0
7	-0.0214676459539268	1	1
8	-0.0441360531531377	1	2
9	-0.0209947871386321	1	3
10	-0.06251420437782	1	4
11	-0.0787190411617548	1	5
12	0.045370028761813	2	0
13	-0.0107764404075473	2	1
14	-0.0238209590616886	2	2
15	-0.00932640797449959	2	3
16	-0.0137542048296133	2	4
17	-0.046249033503079	2	5
18	0.0808083314367139	3	0
19	0.0377057506016037	3	1
20	0.0046811821366186	3	2
21	-0.0106965012254462	3	3
22	0.00798742292962391	3	4
23	-0.0503477799980492	3	5
24	0.0699045245992504	4	0
25	0.0904121501219524	4	1
26	0.0162815653421915	4	2
27	0.014976257076438	4	3
28	0.00645693380501358	4	4
29	-0.013504712938108	4	5
30	0.0264487749639173	5	0
31	0.0189781552089172	5	1
32	0.0202084145166291	5	2
33	0.0284137885609381	5	3
34	0.0238070324797233	5	4
35	-0.0348102162346857	5	5
