Pop	avg_PRS	LAT	LONG
0	0.0417168991430769	0	0
1	0.0134634107184365	0	1
2	-0.00559013721790402	0	2
3	-0.0348292206402949	0	3
4	-0.0532691242937449	0	4
5	-0.0766142605394935	0	5
6	0.0342481299313807	1	0
7	-0.0167460195581508	1	1
8	-0.0454898772011857	1	2
9	-0.0305388238471669	1	3
10	-0.0760917731892132	1	4
11	-0.0940388054179543	1	5
12	0.0529087350064497	2	0
13	-0.00424569468107292	2	1
14	-0.0205842931681452	2	2
15	-0.0154275198507596	2	3
16	-0.0241146285459073	2	4
17	-0.0615433200851452	2	5
18	0.0962557949260345	3	0
19	0.0490129528137773	3	1
20	0.0145049556856282	3	2
21	-0.0155882192600813	3	3
22	-0.00152084454182421	3	4
23	-0.0647407484546081	3	5
24	0.0920782416894515	4	0
25	0.110836037257178	4	1
26	0.023229470029028	4	2
27	0.0167994520173762	4	3
28	0.000628425018253264	4	4
29	-0.0271971260050149	4	5
30	0.045476682410967	5	0
31	0.0446245026215076	5	1
32	0.0314787541420499	5	2
33	0.0315907447980347	5	3
34	0.0188676783725067	5	4
35	-0.0495504300834701	5	5
