	V1	num	avg_r2	lowerci	upperci
1	1	100	0.0628746842927678	0.0545863555461937	0.0711630130393419
2	2	100	0.116501504831484	0.115803914776593	0.117199094886375
3	3	100	0.241899710876363	0.241012192159061	0.242787229593665
4	4	100	0.242084387881053	0.241192328693258	0.242976447068848
5	5	100	0.242312174940236	0.24141968023625	0.243204669644223
6	6	100	0.278732361030827	0.274084580254022	0.283380141807631
7	7	100	0.308233911305336	0.306788294416546	0.309679528194125
8	8	100	0.344456393107812	0.337676305451784	0.35123648076384
9	9	100	0.381782631987124	0.374849110447664	0.388716153526584
10	10	100	0.419829095765886	0.417559329512593	0.422098862019179
