	V1	c-q	nc-q	true-q	c-p	nc-p	c-bias	nc-bias	type	L	rep	gwas_size	test_size	h2	num_causal	env	pheno	test
1	1	0.00685149510694438	0.0117342451080247	0	0	0.107	0.00685149510694438	0.0117342451080247	10	20000	A1	2160	720	0	300	0.2	PS	PS
2	2	0.00615879935451383	0.00752037921682103	0	0.004	0.312	0.00615879935451383	0.00752037921682103	FGr	20000	A1	2160	720	0	300	0.2	PS	PS
3	3	0.0070300705755401	0.018536258904321	0	0	0.013	0.0070300705755401	0.018536258904321	NoCorrection	20000	A1	2160	720	0	300	0.2	PS	PS
4	4	-0.0034155954638895	0.104404969722222	0	0.935	0.473	-0.0034155954638895	0.104404969722222	10	20000	A1	2160	720	0	300	0.2	PS	LAT
5	5	-0.00851638104166677	0.145525716805555	0	0.88	0.323	-0.00851638104166677	0.145525716805555	FGr	20000	A1	2160	720	0	300	0.2	PS	LAT
6	6	-0.0289785461777773	-0.193592125416667	0	0.547	0.208	-0.0289785461777773	-0.193592125416667	NoCorrection	20000	A1	2160	720	0	300	0.2	PS	LAT
7	7	-6.06229884644855e-05	-0.0139149618634258	0	0.978	0.065	-6.06229884644855e-05	-0.0139149618634258	10	20000	A1	2160	720	0	300	0.2	LAT	PS
8	8	-0.00129501314409719	-0.00363054944444438	0	0.651	0.639	-0.00129501314409719	-0.00363054944444438	FGr	20000	A1	2160	720	0	300	0.2	LAT	PS
9	9	0.000880333527121937	0.0161677084645062	0	0.761	0.032	0.000880333527121937	0.0161677084645062	NoCorrection	20000	A1	2160	720	0	300	0.2	LAT	PS
10	10	-0.0222926192840277	-0.201575640624999	0	0.652	0.169	-0.0222926192840277	-0.201575640624999	10	20000	A1	2160	720	0	300	0.2	LAT	LAT
11	11	-0.0207534134274309	-0.102679860763889	0	0.668	0.476	-0.0207534134274309	-0.102679860763889	FGr	20000	A1	2160	720	0	300	0.2	LAT	LAT
12	12	0.126881772120139	1.48071554180555	0	0.006	0	0.126881772120139	1.48071554180555	NoCorrection	20000	A1	2160	720	0	300	0.2	LAT	LAT
13	13	0.00427730107858796	-0.00847731598765426	0	0.125	0.25	0.00427730107858796	-0.00847731598765426	10	20000	A1	2160	720	0	300	0.2	DIAG	PS
14	14	0.0038678734630787	-0.00722379165895055	0	0.176	0.296	0.0038678734630787	-0.00722379165895055	FGr	20000	A1	2160	720	0	300	0.2	DIAG	PS
15	15	0.00427006321249228	-0.00499017584104931	0	0.166	0.462	0.00427006321249228	-0.00499017584104931	NoCorrection	20000	A1	2160	720	0	300	0.2	DIAG	PS
16	16	0.0028071068048611	-0.0155173391666664	0	0.949	0.926	0.0028071068048611	-0.0155173391666664	10	20000	A1	2160	720	0	300	0.2	DIAG	LAT
