	c-q	nc-q	true-q	c-p	nc-p	c-bias	nc-bias	type	L	rep	gwas_size	test_size	h2	num_causal	env	pheno	test
1	-0.00271720005681325	-0.00383106822145064	0	0.4	0.7	-0.00271720005681325	-0.00383106822145064	10	20000	A1	1440	1440	0	20000		PS	PS
2	-0.00198743694236107	0.00269151639274694	0	0.5	0.9	-0.00198743694236107	0.00269151639274694	35	20000	A1	1440	1440	0	20000		PS	PS
3	-0.00272491892875191	-0.00223391179012344	0	0	0.9	-0.00272491892875191	-0.00223391179012344	FGr	20000	A1	1440	1440	0	20000		PS	PS
4	-0.00453743251947914	-0.0198660850790895	0	0.1	0	-0.00453743251947914	-0.0198660850790895	NoCorrection	20000	A1	1440	1440	0	20000		PS	PS
5	-0.000699816147955249	-0.00362293057098766	0	0.6	0.5	-0.000699816147955249	-0.00362293057098766	10	10000	A1	1440	1440	0	10000		PS	PS
6	-0.00100207774030864	-0.00355160853973768	0	0.6	0.3	-0.00100207774030864	-0.00355160853973768	35	10000	A1	1440	1440	0	10000		PS	PS
7	-0.00126834347087191	-0.0102441152256944	0	0.7	0.1	-0.00126834347087191	-0.0102441152256944	FGr	10000	A1	1440	1440	0	10000		PS	PS
8	-0.000386248275848766	-0.00341253527199075	0	0.9	0.6	-0.000386248275848766	-0.00341253527199075	NoCorrection	10000	A1	1440	1440	0	10000		PS	PS
9	0.00128346189425154	0.00130886211419754	0	0	0.8	0.00128346189425154	0.00130886211419754	10	6000	A1	1440	1440	0	6000		PS	PS
10	0.00091348559378858	0.00506182808641977	0	0.6	0.4	0.00091348559378858	0.00506182808641977	35	6000	A1	1440	1440	0	6000		PS	PS
11	0.0012875012150463	9.55968942901358e-05	0	0.6	1	0.0012875012150463	9.55968942901358e-05	FGr	6000	A1	1440	1440	0	6000		PS	PS
12	0.00233895611840277	0.00692423760995373	0	0.1	0.2	0.00233895611840277	0.00692423760995373	NoCorrection	6000	A1	1440	1440	0	6000		PS	PS
