	V1	c-q	nc-q	true-q	c-p	nc-p	c-bias	nc-bias	type	L	rep	gwas_size	test_size	h2	num_causal	env	pheno	test
1	1	-0.0491871768144098	0.141360269131944	0	0.277	0.255	-0.0491871768144098	0.141360269131944	10	20000	A1	2160	720	0	300	0.2	DIAG	LAT
2	2	-0.039384984976493	-0.00899272489583338	0	0.385	0.95	-0.039384984976493	-0.00899272489583338	50	20000	A1	2160	720	0	300	0.2	DIAG	LAT
3	3	-0.025136631421441	0.209324132309027	0	0.613	0.098	-0.025136631421441	0.209324132309027	100	20000	A1	2160	720	0	300	0.2	DIAG	LAT
4	4	-0.0665873566560764	0.0837577570833333	0	0.23	0.578	-0.0665873566560764	0.0837577570833333	500	20000	A1	2160	720	0	300	0.2	DIAG	LAT
5	5	0.00523061903090273	-0.378963353993056	0	0.935	0.04	0.00523061903090273	-0.378963353993056	1000	20000	A1	2160	720	0	300	0.2	DIAG	LAT
6	6	-0.0745764602611111	-0.137442946388889	0	0.089	0.272	-0.0745764602611111	-0.137442946388889	FGr	20000	A1	2160	720	0	300	0.2	DIAG	LAT
7	7	-0.0753864378625348	-0.107164837083333	0	0.088	0.37	-0.0753864378625348	-0.107164837083333	NoCorrection	20000	A1	2160	720	0	300	0.2	DIAG	LAT
8	8	-0.0491871768144098	0.141360269131944	0	0.261	0.297	-0.0491871768144098	0.141360269131944	10	20000	A1	2160	720	0	300	0.2	DIAG	PS
9	9	-0.039384984976493	-0.00899272489583338	0	0.359	0.944	-0.039384984976493	-0.00899272489583338	50	20000	A1	2160	720	0	300	0.2	DIAG	PS
10	10	-0.025136631421441	0.209324132309027	0	0.573	0.124	-0.025136631421441	0.209324132309027	100	20000	A1	2160	720	0	300	0.2	DIAG	PS
11	11	-0.0665873566560764	0.0837577570833333	0	0.222	0.575	-0.0665873566560764	0.0837577570833333	500	20000	A1	2160	720	0	300	0.2	DIAG	PS
12	12	0.00523061903090273	-0.378963353993056	0	0.929	0.05	0.00523061903090273	-0.378963353993056	1000	20000	A1	2160	720	0	300	0.2	DIAG	PS
13	13	-0.0624620175065972	-0.0353021500868055	0	0.145	0.792	-0.0624620175065972	-0.0353021500868055	FGr	20000	A1	2160	720	0	300	0.2	DIAG	PS
14	14	-0.0753864378625348	-0.107164837083333	0	0.087	0.402	-0.0753864378625348	-0.107164837083333	NoCorrection	20000	A1	2160	720	0	300	0.2	DIAG	PS
