	V1	c-q	nc-q	true-q	c-p	nc-p	c-bias	nc-bias	type	L	rep	gwas_size	test_size	h2	num_causal	env	pheno	test
1	1	0.008101853934343	0.049658337330247	0	0.1	0	0.008101853934343	0.049658337330247	10	20000	A1	2160	720	0	20000		PS	PS
2	2	0.00413344093254247	0.0145230547762346	0	0.381	0.241	0.00413344093254247	0.0145230547762346	35	20000	A1	2160	720	0	20000		PS	PS
3	3	0.00256669235079555	0.0142139729513889	0	0.635	0.268	0.00256669235079555	0.0142139729513889	100	20000	A1	2160	720	0	20000		PS	PS
4	4	0.00120963639147379	0.0112013152546297	0	0.816	0.337	0.00120963639147379	0.0112013152546297	FGr	20000	A1	2160	720	0	20000		PS	PS
5	5	0.0200357211957523	0.0946173974035494	0	0	0	0.0200357211957523	0.0946173974035494	NoCorrection	20000	A1	2160	720	0	20000		PS	PS
6	6	0.0142933709014352	0.063343362966821	0	0	0	0.0142933709014352	0.063343362966821	10	8000	A1	2160	720	0	8000		PS	PS
7	7	0.00992199326279473	0.0294152401195987	0	0.01	0.001	0.00992199326279473	0.0294152401195987	35	8000	A1	2160	720	0	8000		PS	PS
8	8	0.010450506932716	0.0216114931365741	0	0.007	0.021	0.010450506932716	0.0216114931365741	100	8000	A1	2160	720	0	8000		PS	PS
9	9	0.00916828953564813	0.029997217962963	0	0.013	0	0.00916828953564813	0.029997217962963	FGr	8000	A1	2160	720	0	8000		PS	PS
10	10	0.0266557487871142	0.123897285443673	0	0	0	0.0266557487871142	0.123897285443673	NoCorrection	8000	A1	2160	720	0	8000		PS	PS
11	11	0.00533307254089503	0.045564744714506	0	0.075	0	0.00533307254089503	0.045564744714506	10	2000	A1	2160	720	0	2000		PS	PS
12	12	0.00213197037577158	0.0349545914737653	0	0.419	0	0.00213197037577158	0.0349545914737653	35	2000	A1	2160	720	0	2000		PS	PS
13	13	0.00161941492283948	0.0356658033564813	0	0.584	0	0.00161941492283948	0.0356658033564813	100	2000	A1	2160	720	0	2000		PS	PS
14	14	0.00406051139814813	0.0409158781635802	0	0.152	0	0.00406051139814813	0.0409158781635802	FGr	2000	A1	2160	720	0	2000		PS	PS
15	15	0.0105164434290123	0.0983090996141974	0	0.007	0	0.0105164434290123	0.0983090996141974	NoCorrection	2000	A1	2160	720	0	2000		PS	PS
16	1	0.0043614143757137	0.0569084827469136	0	0.418	0	0.0043614143757137	0.0569084827469136	10	20000	A2	2160	720	0	20000		PS	PS
17	2	-0.00119961794321765	0.0242583246064814	0	0.806	0.057	-0.00119961794321765	0.0242583246064814	35	20000	A2	2160	720	0	20000		PS	PS
18	3	-0.00404685405000774	0.0180390043364197	0	0.503	0.18	-0.00404685405000774	0.0180390043364197	100	20000	A2	2160	720	0	20000		PS	PS
19	4	-0.00294144516714509	0.012769823919753	0	0.594	0.327	-0.00294144516714509	0.012769823919753	FGr	20000	A2	2160	720	0	20000		PS	PS
20	5	0.017534366975081	0.140769442040895	0	0.002	0	0.017534366975081	0.140769442040895	NoCorrection	20000	A2	2160	720	0	20000		PS	PS
21	6	0.00210833812954471	0.042184078757716	0	0.525	0	0.00210833812954471	0.042184078757716	10	8000	A2	2160	720	0	8000		PS	PS
22	7	-0.00225308488279324	0.0298729687847221	0	0.512	0.001	-0.00225308488279324	0.0298729687847221	35	8000	A2	2160	720	0	8000		PS	PS
23	8	-0.0050249491736883	0.0243390742515431	0	0.121	0.002	-0.0050249491736883	0.0243390742515431	100	8000	A2	2160	720	0	8000		PS	PS
24	9	-0.0033145138078704	0.0111046198341049	0	0.314	0.218	-0.0033145138078704	0.0111046198341049	FGr	8000	A2	2160	720	0	8000		PS	PS
25	10	0.00815400804602621	0.0848958949807097	0	0.01	0	0.00815400804602621	0.0848958949807097	NoCorrection	8000	A2	2160	720	0	8000		PS	PS
26	11	0.0180479466369599	0.0641538343364198	0	0	0	0.0180479466369599	0.0641538343364198	10	2000	A2	2160	720	0	2000		PS	PS
27	12	0.0147734713685802	0.045772254205247	0	0	0	0.0147734713685802	0.045772254205247	35	2000	A2	2160	720	0	2000		PS	PS
28	13	0.0145722583279321	0.0503886322145062	0	0.001	0	0.0145722583279321	0.0503886322145062	100	2000	A2	2160	720	0	2000		PS	PS
29	14	0.0143726669371528	0.0451485840277778	0	0	0	0.0143726669371528	0.0451485840277778	FGr	2000	A2	2160	720	0	2000		PS	PS
30	15	0.0271805268904321	0.123422291319444	0	0	0	0.0271805268904321	0.123422291319444	NoCorrection	2000	A2	2160	720	0	2000		PS	PS
31	1	0.0147601160512539	0.0612534450771605	0	0.006	0	0.0147601160512539	0.0612534450771605	10	20000	A3	2160	720	0	20000		PS	PS
32	2	0.0103428942977624	0.0358096991705247	0	0.053	0.001	0.0103428942977624	0.0358096991705247	35	20000	A3	2160	720	0	20000		PS	PS
33	3	0.00892498748535496	0.0337481140162037	0	0.1	0	0.00892498748535496	0.0337481140162037	100	20000	A3	2160	720	0	20000		PS	PS
34	4	0.00764690017632717	0.0215395516358024	0	0.156	0.089	0.00764690017632717	0.0215395516358024	FGr	20000	A3	2160	720	0	20000		PS	PS
35	5	0.0306219634250887	0.157561578225309	0	0	0	0.0306219634250887	0.157561578225309	NoCorrection	20000	A3	2160	720	0	20000		PS	PS
36	6	0.00184305837797069	0.0443665293904321	0	0.582	0	0.00184305837797069	0.0443665293904321	10	8000	A3	2160	720	0	8000		PS	PS
37	7	-0.00109586656944441	0.025557917669753	0	0.746	0.003	-0.00109586656944441	0.025557917669753	35	8000	A3	2160	720	0	8000		PS	PS
38	8	-0.00138614725077159	0.0226524257253086	0	0.689	0.006	-0.00138614725077159	0.0226524257253086	100	8000	A3	2160	720	0	8000		PS	PS
39	9	-0.00476856484237266	-0.00130504747299387	0	0.183	0.89	-0.00476856484237266	-0.00130504747299387	FGr	8000	A3	2160	720	0	8000		PS	PS
40	10	0.0122048429165895	0.101737074282407	0	0.001	0	0.0122048429165895	0.101737074282407	NoCorrection	8000	A3	2160	720	0	8000		PS	PS
41	11	0.0069314734571759	0.0585533074845678	0	0.303	0	0.0069314734571759	0.0585533074845678	10	2000	A3	2160	720	0	2000		PS	PS
42	12	0.00723761632561728	0.049770081095679	0	0.172	0	0.00723761632561728	0.049770081095679	35	2000	A3	2160	720	0	2000		PS	PS
43	13	0.00597678946296296	0.0383288760416667	0	0.271	0.001	0.00597678946296296	0.0383288760416667	100	2000	A3	2160	720	0	2000		PS	PS
44	14	0.005123430160625	0.0530231415123456	0	0.391	0	0.005123430160625	0.0530231415123456	FGr	2000	A3	2160	720	0	2000		PS	PS
45	15	0.0228204098287037	0.161785466550926	0	0	0	0.0228204098287037	0.161785466550926	NoCorrection	2000	A3	2160	720	0	2000		PS	PS
46	1	0.00225567684406249	0.00186547255401238	0	0.6	0.877	0.00225567684406249	0.00186547255401238	10	20000	A4	2160	720	0	20000		PS	PS
47	2	6.8532201466029e-05	-0.00565216472608026	0	0.989	0.648	6.8532201466029e-05	-0.00565216472608026	35	20000	A4	2160	720	0	20000		PS	PS
48	3	-0.000496632136712987	-0.00535657309027781	0	0.932	0.693	-0.000496632136712987	-0.00535657309027781	100	20000	A4	2160	720	0	20000		PS	PS
49	4	-0.00141246652580518	-0.0124398041087963	0	0.752	0.32	-0.00141246652580518	-0.0124398041087963	FGr	20000	A4	2160	720	0	20000		PS	PS
50	5	0.0109674174255092	0.0573974228858025	0	0.025	0	0.0109674174255092	0.0573974228858025	NoCorrection	20000	A4	2160	720	0	20000		PS	PS
51	6	0.00588521602060186	0.0601373972685185	0	0.108	0	0.00588521602060186	0.0601373972685185	10	8000	A4	2160	720	0	8000		PS	PS
52	7	0.000766476426080246	0.032615813888889	0	0.822	0.001	0.000766476426080246	0.032615813888889	35	8000	A4	2160	720	0	8000		PS	PS
53	8	0.00198219347039351	0.0317147812615741	0	0.571	0.001	0.00198219347039351	0.0317147812615741	100	8000	A4	2160	720	0	8000		PS	PS
54	9	0.0012868309234568	0.0352676634375	0	0.706	0	0.0012868309234568	0.0352676634375	FGr	8000	A4	2160	720	0	8000		PS	PS
55	10	0.0175013022261574	0.112286251944445	0	0	0	0.0175013022261574	0.112286251944445	NoCorrection	8000	A4	2160	720	0	8000		PS	PS
56	11	0.00601375278171292	0.0675419198688271	0	0.052	0	0.00601375278171292	0.0675419198688271	10	2000	A4	2160	720	0	2000		PS	PS
57	12	0.00591447058140431	0.0568210347993827	0	0.054	0	0.00591447058140431	0.0568210347993827	35	2000	A4	2160	720	0	2000		PS	PS
58	13	0.00382985074228393	0.0447797816743827	0	0.293	0	0.00382985074228393	0.0447797816743827	100	2000	A4	2160	720	0	2000		PS	PS
59	14	0.00282972150154319	0.0618939606095679	0	0.318	0	0.00282972150154319	0.0618939606095679	FGr	2000	A4	2160	720	0	2000		PS	PS
60	15	0.0192956833707562	0.125292659220679	0	0	0	0.0192956833707562	0.125292659220679	NoCorrection	2000	A4	2160	720	0	2000		PS	PS
61	1	0.0090744096641628	0.0576352662538579	0	0.098	0	0.0090744096641628	0.0576352662538579	10	20000	A5	2160	720	0	20000		PS	PS
62	2	0.00212554087743055	0.0121334524575616	0	0.69	0.318	0.00212554087743055	0.0121334524575616	35	20000	A5	2160	720	0	20000		PS	PS
63	3	0.00195718430954861	0.0190623647878084	0	0.712	0.132	0.00195718430954861	0.0190623647878084	100	20000	A5	2160	720	0	20000		PS	PS
64	4	0.000498480334243815	0.0217334236265431	0	0.939	0.068	0.000498480334243815	0.0217334236265431	FGr	20000	A5	2160	720	0	20000		PS	PS
65	5	0.018755157859402	0.124895317006173	0	0.001	0	0.018755157859402	0.124895317006173	NoCorrection	20000	A5	2160	720	0	20000		PS	PS
66	6	0.00988051899525464	0.051852491882716	0	0.003	0	0.00988051899525464	0.051852491882716	10	8000	A5	2160	720	0	8000		PS	PS
67	7	0.00349918005149692	0.0166619347453704	0	0.296	0.058	0.00349918005149692	0.0166619347453704	35	8000	A5	2160	720	0	8000		PS	PS
68	8	0.00338528278734569	0.0106115327006173	0	0.347	0.204	0.00338528278734569	0.0106115327006173	100	8000	A5	2160	720	0	8000		PS	PS
69	9	0.00103727053591821	0.00599143727237651	0	0.786	0.533	0.00103727053591821	0.00599143727237651	FGr	8000	A5	2160	720	0	8000		PS	PS
70	10	0.0172843168751543	0.0963127273186728	0	0	0	0.0172843168751543	0.0963127273186728	NoCorrection	8000	A5	2160	720	0	8000		PS	PS
71	11	0.00874400143672838	0.0448141429012345	0	0.022	0.001	0.00874400143672838	0.0448141429012345	10	2000	A5	2160	720	0	2000		PS	PS
72	12	0.00841586708190584	0.0345530817901234	0	0.023	0	0.00841586708190584	0.0345530817901234	35	2000	A5	2160	720	0	2000		PS	PS
73	13	0.00690212448487652	0.0300662080246913	0	0.05	0.003	0.00690212448487652	0.0300662080246913	100	2000	A5	2160	720	0	2000		PS	PS
74	14	0.00708490254255401	0.0417626054783951	0	0.034	0	0.00708490254255401	0.0417626054783951	FGr	2000	A5	2160	720	0	2000		PS	PS
75	15	0.0174848555108025	0.137616589621914	0	0	0	0.0174848555108025	0.137616589621914	NoCorrection	2000	A5	2160	720	0	2000		PS	PS
76	1	0.00535603746952157	0.0486456864583333	0	0.3	0	0.00535603746952157	0.0486456864583333	10	20000	A6	2160	720	0	20000		PS	PS
77	2	0.000967934042430513	0.0249631350347222	0	0.84	0.045	0.000967934042430513	0.0249631350347222	35	20000	A6	2160	720	0	20000		PS	PS
78	3	0.00129880743846447	0.0163266086959876	0	0.802	0.201	0.00129880743846447	0.0163266086959876	100	20000	A6	2160	720	0	20000		PS	PS
