	V1	c-q	nc-q	true-q	c-p	nc-p	c-bias	nc-bias	type	L	rep	gwas_size	test_size	h2	num_causal	env	pheno	test
1	1	-0.00271720005681325	-0.00383106822145064	0	0.4	0.7	-0.00271720005681325	-0.00383106822145064	10	20000	A1	1440	1440	0	20000		PS	PS
2	2	-0.00198743694236107	0.00269151639274694	0	0.5	0.9	-0.00198743694236107	0.00269151639274694	35	20000	A1	1440	1440	0	20000		PS	PS
3	3	-0.00272491892875191	-0.00223391179012344	0	0	0.9	-0.00272491892875191	-0.00223391179012344	FGr	20000	A1	1440	1440	0	20000		PS	PS
4	4	-0.00453743251947914	-0.0198660850790895	0	0.1	0	-0.00453743251947914	-0.0198660850790895	NoCorrection	20000	A1	1440	1440	0	20000		PS	PS
5	5	-0.00381487440293209	0.000588689847608054	0	0.3	1	-0.00381487440293209	0.000588689847608054	10	19000	A1	1440	1440	0	19000		PS	PS
6	6	-0.00283158038973765	-0.00113392358024687	0	0.3	0.9	-0.00283158038973765	-0.00113392358024687	35	19000	A1	1440	1440	0	19000		PS	PS
7	7	-0.00462739578960261	-0.00994822611882715	0	0.2	0.4	-0.00462739578960261	-0.00994822611882715	FGr	19000	A1	1440	1440	0	19000		PS	PS
8	8	-0.003021502420081	0.00172510008294754	0	0.3	0.9	-0.003021502420081	0.00172510008294754	NoCorrection	19000	A1	1440	1440	0	19000		PS	PS
9	9	-0.00305692778090277	0.000645307883873543	0	0.6	1	-0.00305692778090277	0.000645307883873543	10	18000	A1	1440	1440	0	18000		PS	PS
10	10	-0.00361935387064043	0.000866569351851887	0	0.3	0.9	-0.00361935387064043	0.000866569351851887	35	18000	A1	1440	1440	0	18000		PS	PS
11	11	-0.00251602373211805	0.0117966086786266	0	0.4	0.1	-0.00251602373211805	0.0117966086786266	FGr	18000	A1	1440	1440	0	18000		PS	PS
12	12	-0.000493657253761571	0.0226067700000001	0	0.8	0	-0.000493657253761571	0.0226067700000001	NoCorrection	18000	A1	1440	1440	0	18000		PS	PS
13	13	0.00200633181373459	0.00835557397569443	0	0.3	0.5	0.00200633181373459	0.00835557397569443	10	17000	A1	1440	1440	0	17000		PS	PS
14	14	0.0017628463160494	-0.00272478745949074	0	0.6	0.8	0.0017628463160494	-0.00272478745949074	35	17000	A1	1440	1440	0	17000		PS	PS
15	15	0.00155159073256174	-0.00732363379822531	0	0.4	0.3	0.00155159073256174	-0.00732363379822531	FGr	17000	A1	1440	1440	0	17000		PS	PS
16	16	0.00143759208739585	-0.00750050000000001	0	0.6	0.3	0.00143759208739585	-0.00750050000000001	NoCorrection	17000	A1	1440	1440	0	17000		PS	PS
17	17	0.00344050492524689	0.011518010459105	0	0.4	0	0.00344050492524689	0.011518010459105	10	16000	A1	1440	1440	0	16000		PS	PS
18	18	0.00302431984189812	0.011906576396605	0	0.3	0	0.00302431984189812	0.011906576396605	35	16000	A1	1440	1440	0	16000		PS	PS
19	19	0.00206617375489968	0.00692817530285499	0	0.6	0.3	0.00206617375489968	0.00692817530285499	FGr	16000	A1	1440	1440	0	16000		PS	PS
20	20	0.00303387071307869	0.0146370659934414	0	0.2	0.1	0.00303387071307869	0.0146370659934414	NoCorrection	16000	A1	1440	1440	0	16000		PS	PS
21	21	-0.00274847271817129	-0.0115765805401234	0	0.3	0	-0.00274847271817129	-0.0115765805401234	10	15000	A1	1440	1440	0	15000		PS	PS
22	22	-0.00280526453009258	-0.0104670833545525	0	0.1	0.1	-0.00280526453009258	-0.0104670833545525	35	15000	A1	1440	1440	0	15000		PS	PS
23	23	-0.00281489090084876	-0.0134599901678241	0	0.3	0.1	-0.00281489090084876	-0.0134599901678241	FGr	15000	A1	1440	1440	0	15000		PS	PS
24	24	-0.00146615698603393	-0.00614892416859567	0	0.6	0.3	-0.00146615698603393	-0.00614892416859567	NoCorrection	15000	A1	1440	1440	0	15000		PS	PS
25	25	0.00132897958788582	0.000415802309027778	0	0.8	1	0.00132897958788582	0.000415802309027778	10	14000	A1	1440	1440	0	14000		PS	PS
26	26	0.00129284927505789	0.00285485042438273	0	0.6	0.7	0.00129284927505789	0.00285485042438273	35	14000	A1	1440	1440	0	14000		PS	PS
27	27	0.00154435663880404	0.00488159772569447	0	0.7	0.5	0.00154435663880404	0.00488159772569447	FGr	14000	A1	1440	1440	0	14000		PS	PS
28	28	0.00262937755244987	0.0204133171180556	0	0.2	0	0.00262937755244987	0.0204133171180556	NoCorrection	14000	A1	1440	1440	0	14000		PS	PS
29	29	0.000426650499228391	0.00445311379629628	0	0.9	0.8	0.000426650499228391	0.00445311379629628	10	13000	A1	1440	1440	0	13000		PS	PS
30	30	0.000463720125270062	0.000606723686342516	0	0.8	0.8	0.000463720125270062	0.000606723686342516	35	13000	A1	1440	1440	0	13000		PS	PS
31	31	-0.000291345661188275	0.00599257073109562	0	0.9	0.2	-0.000291345661188275	0.00599257073109562	FGr	13000	A1	1440	1440	0	13000		PS	PS
32	32	0.00113487903873456	0.018987963449074	0	0.9	0	0.00113487903873456	0.018987963449074	NoCorrection	13000	A1	1440	1440	0	13000		PS	PS
33	33	0.00132266248186726	-0.00282335267746911	0	0.9	0.6	0.00132266248186726	-0.00282335267746911	10	12000	A1	1440	1440	0	12000		PS	PS
34	34	0.000919888622222192	-0.0101167627546296	0	0.5	0	0.000919888622222192	-0.0101167627546296	35	12000	A1	1440	1440	0	12000		PS	PS
35	35	0.00221370650054011	-0.000749969429012341	0	0.6	0.9	0.00221370650054011	-0.000749969429012341	FGr	12000	A1	1440	1440	0	12000		PS	PS
36	36	0.00268863426030092	0.00031805216820988	0	0.3	1	0.00268863426030092	0.00031805216820988	NoCorrection	12000	A1	1440	1440	0	12000		PS	PS
37	37	0.00223000552332176	0.0111071606365741	0	0.6	0	0.00223000552332176	0.0111071606365741	10	11000	A1	1440	1440	0	11000		PS	PS
38	38	0.00134954278020834	0.0101470968152006	0	0.5	0	0.00134954278020834	0.0101470968152006	35	11000	A1	1440	1440	0	11000		PS	PS
39	39	0.00120236994463735	0.00311301432291674	0	0.9	0.6	0.00120236994463735	0.00311301432291674	FGr	11000	A1	1440	1440	0	11000		PS	PS
40	40	0.00417654694238041	0.0277164592901235	0	0	0	0.00417654694238041	0.0277164592901235	NoCorrection	11000	A1	1440	1440	0	11000		PS	PS
41	41	-0.000699816147955249	-0.00362293057098766	0	0.6	0.5	-0.000699816147955249	-0.00362293057098766	10	10000	A1	1440	1440	0	10000		PS	PS
42	42	-0.00100207774030864	-0.00355160853973768	0	0.6	0.3	-0.00100207774030864	-0.00355160853973768	35	10000	A1	1440	1440	0	10000		PS	PS
43	43	-0.00126834347087191	-0.0102441152256944	0	0.7	0.1	-0.00126834347087191	-0.0102441152256944	FGr	10000	A1	1440	1440	0	10000		PS	PS
44	44	-0.000386248275848766	-0.00341253527199075	0	0.9	0.6	-0.000386248275848766	-0.00341253527199075	NoCorrection	10000	A1	1440	1440	0	10000		PS	PS
45	45	0.00150321470138502	0.00504875964891975	0	0.5	0.3	0.00150321470138502	0.00504875964891975	10	9000	A1	1440	1440	0	9000		PS	PS
46	46	0.00146813802777776	0.00252138580439814	0	0.5	0.3	0.00146813802777776	0.00252138580439814	35	9000	A1	1440	1440	0	9000		PS	PS
47	47	0.000434601033371906	-0.00253863690779324	0	0.6	0.7	0.000434601033371906	-0.00253863690779324	FGr	9000	A1	1440	1440	0	9000		PS	PS
48	48	0.00344289352546296	0.013411672820216	0	0.1	0	0.00344289352546296	0.013411672820216	NoCorrection	9000	A1	1440	1440	0	9000		PS	PS
49	49	0.000862957042438281	-0.00449123430169753	0	0.7	0.3	0.000862957042438281	-0.00449123430169753	10	8000	A1	1440	1440	0	8000		PS	PS
50	50	0.00119435271560572	-0.00275889295910492	0	0.4	0.7	0.00119435271560572	-0.00275889295910492	35	8000	A1	1440	1440	0	8000		PS	PS
51	51	-0.000207661136149681	-0.00919543303047839	0	0.9	0.1	-0.000207661136149681	-0.00919543303047839	FGr	8000	A1	1440	1440	0	8000		PS	PS
