	V1	c-q	nc-q	true-q	c-p	nc-p	c-bias	nc-bias	type	L	rep	gwas_size	test_size	h2	num_causal	env	pheno	test
1	1	-0.0491871433526042	0.141360276423611	0	0.268	0.259	-0.0491871433526042	0.141360276423611	long	20000	A1	2160	720	0	300	0.2	DIAG	LAT
2	2	-0.0745764602611111	-0.137442946388889	0	0.062	0.246	-0.0745764602611111	-0.137442946388889	long	20000	A1	2160	720	0	300	0.2	DIAG	LAT
3	3	-0.0753864378625348	-0.107164837083333	0	0.09	0.409	-0.0753864378625348	-0.107164837083333	long	20000	A1	2160	720	0	300	0.2	DIAG	LAT
4	1	-0.0742592412583334	-0.17009754296875	0	0.075	0.207	-0.0742592412583334	-0.17009754296875	long	20000	A2	2160	720	0	300	0.2	DIAG	LAT
5	2	-0.0884275514623264	-0.408368836354167	0	0.053	0	-0.0884275514623264	-0.408368836354167	long	20000	A2	2160	720	0	300	0.2	DIAG	LAT
6	3	-0.0933924835299478	-0.379684902829861	0	0.032	0.004	-0.0933924835299478	-0.379684902829861	long	20000	A2	2160	720	0	300	0.2	DIAG	LAT
7	1	0.0251793101232466	-0.0272433438888888	0	0.605	0.844	0.0251793101232466	-0.0272433438888888	long	20000	A3	2160	720	0	300	0.2	DIAG	LAT
8	2	0.121258488418056	0.68398245546875	0	0.014	0	0.121258488418056	0.68398245546875	long	20000	A3	2160	720	0	300	0.2	DIAG	LAT
9	3	0.122027566507812	0.691798587725694	0	0.009	0	0.122027566507812	0.691798587725694	long	20000	A3	2160	720	0	300	0.2	DIAG	LAT
10	1	0.0478593117800346	-0.185851332413195	0	0.277	0.157	0.0478593117800346	-0.185851332413195	long	20000	A4	2160	720	0	300	0.2	DIAG	LAT
11	2	0.0634483935253474	-0.0454300857812502	0	0.172	0.731	0.0634483935253474	-0.0454300857812502	long	20000	A4	2160	720	0	300	0.2	DIAG	LAT
12	3	0.0656551587263888	-0.057883472326389	0	0.15	0.672	0.0656551587263888	-0.057883472326389	long	20000	A4	2160	720	0	300	0.2	DIAG	LAT
13	1	0.0191493201479166	0.121901361875	0	0.684	0.38	0.0191493201479166	0.121901361875	long	20000	A5	2160	720	0	300	0.2	DIAG	LAT
14	2	-0.0703884136154514	-0.597542452760417	0	0.196	0	-0.0703884136154514	-0.597542452760417	long	20000	A5	2160	720	0	300	0.2	DIAG	LAT
15	3	-0.0686607874411458	-0.537885742899305	0	0.158	0	-0.0686607874411458	-0.537885742899305	long	20000	A5	2160	720	0	300	0.2	DIAG	LAT
16	1	0.0632059040484896	-0.113168729305556	0	0.21	0.437	0.0632059040484896	-0.113168729305556	long	20000	A6	2160	720	0	300	0.2	DIAG	LAT
17	2	0.110041791201042	0.324582089513888	0	0.028	0.018	0.110041791201042	0.324582089513888	long	20000	A6	2160	720	0	300	0.2	DIAG	LAT
18	3	0.107891493368594	0.257341898072917	0	0.032	0.056	0.107891493368594	0.257341898072917	long	20000	A6	2160	720	0	300	0.2	DIAG	LAT
19	1	-0.0242649344100694	-0.109210040868055	0	0.629	0.437	-0.0242649344100694	-0.109210040868055	long	20000	A7	2160	720	0	300	0.2	DIAG	LAT
20	2	0.0320385776961806	0.320670030642361	0	0.509	0.008	0.0320385776961806	0.320670030642361	long	20000	A7	2160	720	0	300	0.2	DIAG	LAT
21	3	0.0366612917536459	0.364825629895833	0	0.443	0.006	0.0366612917536459	0.364825629895833	long	20000	A7	2160	720	0	300	0.2	DIAG	LAT
