	FGr	10	35	100	rep	gwas_size	test_size	test	L
1	0.0519433204632164	0.0692613694906156	0.0301061653470667	0.0257291713991005	A1	2160	720	PS	20000
2	0.0557610167397223	0.0703317042190976	0.0305392015852759	0.026948350837703	A1	2160	720	PS	19000
3	0.0558214209685966	0.0716929206628973	0.0316703475066645	0.0276632472642834	A1	2160	720	PS	18000
4	0.0614367927960517	0.0758235169196363	0.0336766459470522	0.0289744054614167	A1	2160	720	PS	17000
5	0.0650854912011684	0.0744704650782115	0.0348763607540851	0.0307530999886558	A1	2160	720	PS	16000
6	0.0715198858263682	0.0746196404793558	0.0373477139856967	0.0324031581059702	A1	2160	720	PS	15000
7	0.0732085819908895	0.0748646803763632	0.0404300445217939	0.0342120254706005	A1	2160	720	PS	14000
8	0.0814439661096105	0.0835701555235026	0.0466792487492828	0.0401615059661833	A1	2160	720	PS	13000
9	0.0852148677718106	0.0802704575893954	0.0453163431889377	0.0385187573002103	A1	2160	720	PS	12000
10	0.0868185031832293	0.076374180810244	0.0480649063317679	0.0417454104745458	A1	2160	720	PS	11000
11	0.0958561095393957	0.0781483957519973	0.0511254355984432	0.0448655521572181	A1	2160	720	PS	10000
12	0.108967794281113	0.0879614711497124	0.0577945167576184	0.0501848737676902	A1	2160	720	PS	9000
13	0.128283622098466	0.0953511218854612	0.0655799883672549	0.0568756972156582	A1	2160	720	PS	8000
14	0.153829014991155	0.091370922249867	0.0663976983233562	0.057761408097971	A1	2160	720	PS	7000
15	0.163628305425459	0.0980643518655146	0.0771263482416321	0.0691086501810397	A1	2160	720	PS	6000
16	0.0480832885075599	0.0709784644011446	0.0268399942009964	0.0244635113962428	A2	2160	720	PS	20000
17	0.0509147755379795	0.0740967457793478	0.0290987371966833	0.0263941824303269	A2	2160	720	PS	19000
18	0.0522457589786035	0.074589466229008	0.0306413179230343	0.0263565481528061	A2	2160	720	PS	18000
19	0.0554412905823743	0.0726843317756745	0.0314074760421081	0.027773722891339	A2	2160	720	PS	17000
20	0.0575813754389493	0.0711385385787709	0.0326331371465866	0.0285016008994999	A2	2160	720	PS	16000
