Pop	avg_PRS	LAT	LONG
0	-0.00660929103504466	0	0
1	-0.0370604312991091	0	1
2	-0.014203619790948	0	2
3	0.00247128700751912	0	3
4	-0.0161711383863501	0	4
5	-0.0171038555212403	0	5
6	-0.0197376459903389	1	0
7	0.0376961220749171	1	1
8	0.00142619659713215	1	2
9	-0.000693259792145639	1	3
10	-0.0137007760275015	1	4
11	-0.00626652864274925	1	5
12	-0.0246637904096921	2	0
13	-0.0211888194947359	2	1
14	0.0346928432826992	2	2
15	-0.014408279520955	2	3
16	-0.0185297455237863	2	4
17	-0.00986370920700756	2	5
18	-0.0261247519967211	3	0
19	-0.0218362116166215	3	1
20	-0.00921057594331698	3	2
21	0.107535010574462	3	3
22	-0.0274195544608124	3	4
23	-0.0133512712697871	3	5
24	-0.033323611700929	4	0
25	-0.0340543420021778	4	1
26	-0.0192905894003042	4	2
27	-3.42138346626012e-06	4	3
28	0.124958878647092	4	4
29	-0.0270904573583715	4	5
30	-0.0179758009146506	5	0
31	-0.0257446659517816	5	1
32	-0.0470999598764781	5	2
33	-0.00759606089294306	5	3
34	0.00201362425718548	5	4
35	0.219528202968958	5	5
