Pop	avg_PRS	LAT	LONG
0	-0.0360415078107582	0	0
1	-0.0187115023744579	0	1
2	0.00422050963865917	0	2
3	0.0127827469263006	0	3
4	-0.0117358676804463	0	4
5	-0.0156841905803598	0	5
6	0.015420505480944	1	0
7	0.0104281264845391	1	1
8	-0.0147835710115513	1	2
9	-0.007750678375532	1	3
10	-0.0360955925523602	1	4
11	-0.00164549699213818	1	5
12	0.0216341732528	2	0
13	-0.00236284980654491	2	1
14	0.00560816051108382	2	2
15	0.00043299481327053	2	3
16	-0.0147983725783036	2	4
17	0.00777726518502292	2	5
18	0.00633821280971849	3	0
19	0.0141252752657163	3	1
20	0.0018202871869819	3	2
21	0.00943710178404097	3	3
22	0.00604149287831779	3	4
23	0.027581967306502	3	5
24	-0.00899879256755718	4	0
25	0.00554367020462784	4	1
26	-0.00134510799376022	4	2
27	-0.0160478315581664	4	3
28	-0.032924572720948	4	4
29	0.0296081035519539	4	5
30	0.02912529479055	5	0
31	0.0146793118684088	5	1
32	0.0354316326363119	5	2
33	-0.0168073410675608	5	3
34	-0.0208849781921569	5	4
35	-0.00141857871314691	5	5
