Pop	avg_PRS	LAT	LONG
0	-0.0268586276938439	0	0
1	-0.0203955630286622	0	1
2	-0.0331402200884841	0	2
3	0.0074939554341438	0	3
4	-0.0110460956543269	0	4
5	-0.0332704949979987	0	5
6	0.0207554499945897	1	0
7	-0.022708809817466	1	1
8	0.0113062040844447	1	2
9	-0.00462212094630515	1	3
10	-0.00560694460551955	1	4
11	-0.0210117382658971	1	5
12	-0.00580836807050184	2	0
13	-0.0298064221998401	2	1
14	0.00904232882103173	2	2
15	0.0180016953754166	2	3
16	-0.00430906981688349	2	4
17	-0.019087551078873	2	5
18	0.03380872450623	3	0
19	0.0103478165419142	3	1
20	0.00579880732354521	3	2
21	-0.00386924204508115	3	3
22	0.0151197232502397	3	4
23	0.0262585201627729	3	5
24	0.0384360411587694	4	0
25	-0.0258262237473458	4	1
26	-0.0109306733022505	4	2
27	0.0147774338029556	4	3
28	-0.00128548586160695	4	4
29	0.00280124737984865	4	5
30	0.0059287216978578	5	0
31	0.024866993382392	5	1
32	-0.00217682745147721	5	2
33	-0.00548782105576553	5	3
34	0.0193520003494181	5	4
35	0.0231526364625594	5	5
