Pop	avg_PRS	LAT	LONG
0	0.0201142739518988	0	0
1	0.0156798542496489	0	1
2	5.08067212473099e-06	0	2
3	0.0106520436332117	0	3
4	-0.0187440197646079	0	4
5	-0.0805426836612015	0	5
6	0.033684704214897	1	0
7	-0.00336704440739382	1	1
8	0.0274825498356542	1	2
9	-0.0238505225896672	1	3
10	-0.0322673861070364	1	4
11	-0.051602900451844	1	5
12	-0.00029274098917499	2	0
13	-0.0200026875345927	2	1
14	0.00315467185518319	2	2
15	0.0121438834485463	2	3
16	-0.0276696216695627	2	4
17	-0.0500554206542081	2	5
18	0.0412700308769359	3	0
19	0.0193539830185284	3	1
20	-0.00353814096846953	3	2
21	-0.0244110753842817	3	3
22	0.000608380271185699	3	4
23	0.00291809553883453	3	5
24	0.0370776101925082	4	0
25	-0.0175267171629493	4	1
26	-0.00633506606171123	4	2
27	0.016109006618493	4	3
28	0.00104546465049132	4	4
29	7.84421578003083e-05	4	5
30	0.0203034366622508	5	0
31	0.0424708076960714	5	1
32	0.00976122532134811	5	2
33	-0.00747674869305511	5	3
34	0.0293119352657708	5	4
35	0.0244572959683727	5	5
