Pop	avg_PRS	LAT	LONG
0	-0.00286545065375959	0	0
1	-0.00327137029411339	0	1
2	-0.0128244261615425	0	2
3	-0.000685104151644277	0	3
4	-0.035796569420431	0	4
5	-0.0915774159703171	0	5
6	0.0192558510146126	1	0
7	-0.00944417071181659	1	1
8	0.0212984602664376	1	2
9	-0.0236263758700373	1	3
10	-0.0419376498324613	1	4
11	-0.0559881695568379	1	5
12	-0.00182164477397857	2	0
13	-0.0201738947439173	2	1
14	0.00351040757687425	2	2
15	0.0128041273483072	2	3
16	-0.0281745316982676	2	4
17	-0.0538219140005581	2	5
18	0.0494838068535282	3	0
19	0.0140919560199075	3	1
20	0.00565169406786391	3	2
21	-0.017490564838911	3	3
22	0.0101718367310328	3	4
23	0.00881747102227968	3	5
24	0.0388498492423356	4	0
25	-0.0101066384797089	4	1
26	-0.00283283931907379	4	2
27	0.016904298309721	4	3
28	0.0089622254348909	4	4
29	0.0185671032245642	4	5
30	0.032348101717779	5	0
31	0.0523532069342472	5	1
32	0.0173764859797087	5	2
33	-7.52295139424127e-05	5	3
34	0.0462884076916133	5	4
35	0.0357786705556153	5	5
