Pop	avg_PRS	LAT	LONG
0	0.0244602262159189	0	0
1	0.0237196540010812	0	1
2	-0.00186561717939931	0	2
3	0.00314976948098263	0	3
4	-0.00012789919142026	0	4
5	0.018871972174988	0	5
6	-0.00372133380275761	1	0
7	-0.000532174149613012	1	1
8	0.0183113691845064	1	2
9	0.00456859375400966	1	3
10	0.0027134932820909	1	4
11	-0.0280622771488266	1	5
12	0.0370511419560938	2	0
13	0.0100770821732821	2	1
14	0.00916769896867246	2	2
15	-0.0181990706524093	2	3
16	-0.00260693560232065	2	4
17	0.0040129822264521	2	5
18	0.0238599727452736	3	0
19	0.0138964597385694	3	1
20	0.00570613438036217	3	2
21	0.00439436416876548	3	3
22	0.00676798702750937	3	4
23	0.00666199145569429	3	5
24	0.0193020699283956	4	0
25	-0.0138971918344167	4	1
26	-0.00492428033061767	4	2
27	-0.035110646128698	4	3
28	-0.0126129334828676	4	4
29	-0.00149938481409876	4	5
30	-0.00307035535615733	5	0
31	6.57327476099368e-05	5	1
32	-0.0447338009517104	5	2
33	-0.0257491552443733	5	3
34	-0.0326266378011146	5	4
35	-0.00741900193945719	5	5
